forecast_alberta_internal_load,datetime_,rolling_30day_avg_price,solar_generation,temp_calgary,temp_edmonton,temp_fortmc,wind_generation,ws_calgary,ws_edmonton,ws_fortmc,hour_of_day,day_of_week,day_of_month,week_of_month,month,year,is_winter,pool_price_lag_1,pool_price_lag_2,pool_price_lag_3,pool_price_lag_4,pool_price_lag_5,pool_price_lag_6,pool_price_lag_7,pool_price_lag_8,pool_price_lag_9,pool_price_lag_10,pool_price_lag_11,pool_price_lag_12,pool_price_lag_13,pool_price_lag_14,pool_price_lag_15,pool_price_lag_16,pool_price_lag_17,pool_price_lag_18,pool_price_lag_19,pool_price_lag_20,pool_price_lag_21,pool_price_lag_22,pool_price_lag_23,pool_price_lag_24,alberta_internal_load_lag_1,alberta_internal_load_lag_2,alberta_internal_load_lag_3,alberta_internal_load_lag_4,alberta_internal_load_lag_5,alberta_internal_load_lag_6,alberta_internal_load_lag_7,alberta_internal_load_lag_8,alberta_internal_load_lag_9,alberta_internal_load_lag_10,alberta_internal_load_lag_11,alberta_internal_load_lag_12,alberta_internal_load_lag_13,alberta_internal_load_lag_14,alberta_internal_load_lag_15,alberta_internal_load_lag_16,alberta_internal_load_lag_17,alberta_internal_load_lag_18,alberta_internal_load_lag_19,alberta_internal_load_lag_20,alberta_internal_load_lag_21,alberta_internal_load_lag_22,alberta_internal_load_lag_23,alberta_internal_load_lag_24
10792,2025-05-29 00:00:00,34.42,1108.13,26.5,28.0,30.3,329.11,16.1,16.7,10.9,0,3,29,5,5,2025,0,28.65,27.55,54.12,58.83,55.74,34.38,21.73,14.39,2.68,1.65,0.0,0.0,0.0,2.83,20.18,24.16,34.51,20.0,0.42,4.0,20.39,18.76,18.06,13.74,10923.0,10802.0,10702.0,10592.0,10499.0,10472.0,10306.0,10132.0,9943.0,9719.0,9445.0,8999.0,8728.0,8728.0,8710.0,8788.0,8873.0,9060.0,9386.0,9737.0,9961.0,10068.0,10187.0,10330.0
10626,2025-05-29 01:00:00,35.08,614.61,26.0,27.5,29.9,445.83,15.9,16.5,10.0,1,3,29,5,5,2025,0,44.5,28.65,27.55,54.12,58.83,55.74,34.38,21.73,14.39,2.68,1.65,0.0,0.0,0.0,2.83,20.18,24.16,34.51,20.0,0.42,4.0,20.39,18.76,18.06,10792.0,10923.0,10802.0,10702.0,10592.0,10499.0,10472.0,10306.0,10132.0,9943.0,9719.0,9445.0,8999.0,8728.0,8728.0,8710.0,8788.0,8873.0,9060.0,9386.0,9737.0,9961.0,10068.0,10187.0
10414,2025-05-29 02:00:00,36.07,190.15,25.2,26.6,28.6,654.49,14.8,14.8,7.2,2,3,29,5,5,2025,0,502.28,44.5,28.65,27.55,54.12,58.83,55.74,34.38,21.73,14.39,2.68,1.65,0.0,0.0,0.0,2.83,20.18,24.16,34.51,20.0,0.42,4.0,20.39,18.76,10626.0,10792.0,10923.0,10802.0,10702.0,10592.0,10499.0,10472.0,10306.0,10132.0,9943.0,9719.0,9445.0,8999.0,8728.0,8728.0,8710.0,8788.0,8873.0,9060.0,9386.0,9737.0,9961.0,10068.0
10225,2025-05-29 03:00:00,36.78,10.29,22.9,24.7,25.5,994.7,10.5,11.8,6.4,3,3,29,5,5,2025,0,747.25,502.28,44.5,28.65,27.55,54.12,58.83,55.74,34.38,21.73,14.39,2.68,1.65,0.0,0.0,0.0,2.83,20.18,24.16,34.51,20.0,0.42,4.0,20.39,10414.0,10626.0,10792.0,10923.0,10802.0,10702.0,10592.0,10499.0,10472.0,10306.0,10132.0,9943.0,9719.0,9445.0,8999.0,8728.0,8728.0,8710.0,8788.0,8873.0,9060.0,9386.0,9737.0,9961.0
10053,2025-05-29 04:00:00,36.92,0.0,20.1,22.4,22.3,1402.49,8.4,11.0,6.3,4,3,29,5,5,2025,0,652.37,747.25,502.28,44.5,28.65,27.55,54.12,58.83,55.74,34.38,21.73,14.39,2.68,1.65,0.0,0.0,0.0,2.83,20.18,24.16,34.51,20.0,0.42,4.0,10225.0,10414.0,10626.0,10792.0,10923.0,10802.0,10702.0,10592.0,10499.0,10472.0,10306.0,10132.0,9943.0,9719.0,9445.0,8999.0,8728.0,8728.0,8710.0,8788.0,8873.0,9060.0,9386.0,9737.0
9710,2025-05-29 05:00:00,36.74,0.0,18.0,20.9,19.8,1856.79,7.2,10.7,5.8,5,3,29,5,5,2025,0,224.18,652.37,747.25,502.28,44.5,28.65,27.55,54.12,58.83,55.74,34.38,21.73,14.39,2.68,1.65,0.0,0.0,0.0,2.83,20.18,24.16,34.51,20.0,0.42,10053.0,10225.0,10414.0,10626.0,10792.0,10923.0,10802.0,10702.0,10592.0,10499.0,10472.0,10306.0,10132.0,9943.0,9719.0,9445.0,8999.0,8728.0,8728.0,8710.0,8788.0,8873.0,9060.0,9386.0
9426,2025-05-29 06:00:00,36.68,0.0,16.5,19.8,17.7,2283.02,7.2,11.5,5.0,6,3,29,5,5,2025,0,66.99,224.18,652.37,747.25,502.28,44.5,28.65,27.55,54.12,58.83,55.74,34.38,21.73,14.39,2.68,1.65,0.0,0.0,0.0,2.83,20.18,24.16,34.51,20.0,9710.0,10053.0,10225.0,10414.0,10626.0,10792.0,10923.0,10802.0,10702.0,10592.0,10499.0,10472.0,10306.0,10132.0,9943.0,9719.0,9445.0,8999.0,8728.0,8728.0,8710.0,8788.0,8873.0,9060.0
9220,2025-05-29 07:00:00,36.65,0.0,15.3,19.2,16.0,2561.93,4.1,12.7,4.6,7,3,29,5,5,2025,0,57.64,66.99,224.18,652.37,747.25,502.28,44.5,28.65,27.55,54.12,58.83,55.74,34.38,21.73,14.39,2.68,1.65,0.0,0.0,0.0,2.83,20.18,24.16,34.51,9426.0,9710.0,10053.0,10225.0,10414.0,10626.0,10792.0,10923.0,10802.0,10702.0,10592.0,10499.0,10472.0,10306.0,10132.0,9943.0,9719.0,9445.0,8999.0,8728.0,8728.0,8710.0,8788.0,8873.0
9071,2025-05-29 08:00:00,36.54,0.0,14.3,18.7,15.0,2728.0,3.1,13.9,4.6,8,3,29,5,5,2025,0,56.59,57.64,66.99,224.18,652.37,747.25,502.28,44.5,28.65,27.55,54.12,58.83,55.74,34.38,21.73,14.39,2.68,1.65,0.0,0.0,0.0,2.83,20.18,24.16,9220.0,9426.0,9710.0,10053.0,10225.0,10414.0,10626.0,10792.0,10923.0,10802.0,10702.0,10592.0,10499.0,10472.0,10306.0,10132.0,9943.0,9719.0,9445.0,8999.0,8728.0,8728.0,8710.0,8788.0
8971,2025-05-29 09:00:00,36.44,0.0,13.5,18.0,14.2,2832.32,4.3,13.3,4.7,9,3,29,5,5,2025,0,55.76,56.59,57.64,66.99,224.18,652.37,747.25,502.28,44.5,28.65,27.55,54.12,58.83,55.74,34.38,21.73,14.39,2.68,1.65,0.0,0.0,0.0,2.83,20.18,9071.0,9220.0,9426.0,9710.0,10053.0,10225.0,10414.0,10626.0,10792.0,10923.0,10802.0,10702.0,10592.0,10499.0,10472.0,10306.0,10132.0,9943.0,9719.0,9445.0,8999.0,8728.0,8728.0,8710.0
8931,2025-05-29 10:00:00,36.4,0.0,12.9,17.4,13.5,2905.13,6.7,14.6,5.0,10,3,29,5,5,2025,0,52.46,55.76,56.59,57.64,66.99,224.18,652.37,747.25,502.28,44.5,28.65,27.55,54.12,58.83,55.74,34.38,21.73,14.39,2.68,1.65,0.0,0.0,0.0,2.83,8971.0,9071.0,9220.0,9426.0,9710.0,10053.0,10225.0,10414.0,10626.0,10792.0,10923.0,10802.0,10702.0,10592.0,10499.0,10472.0,10306.0,10132.0,9943.0,9719.0,9445.0,8999.0,8728.0,8728.0
8916,2025-05-29 11:00:00,36.29,38.7,12.0,16.7,12.8,2984.51,5.2,14.4,5.0,11,3,29,5,5,2025,0,58.48,52.46,55.76,56.59,57.64,66.99,224.18,652.37,747.25,502.28,44.5,28.65,27.55,54.12,58.83,55.74,34.38,21.73,14.39,2.68,1.65,0.0,0.0,0.0,8931.0,8971.0,9071.0,9220.0,9426.0,9710.0,10053.0,10225.0,10414.0,10626.0,10792.0,10923.0,10802.0,10702.0,10592.0,10499.0,10472.0,10306.0,10132.0,9943.0,9719.0,9445.0,8999.0,8728.0
