,pool_price ($/MWh),Grid Power Flow (MW),Battery Output (MW),Charging Power (MW),Discharging Power (MW),State-of-charge (SOC),Charge Status
2025-07-12 15:00:00,28.67,7902.38,-9.0,-9.0,0.0,0.5275,1
2025-07-12 16:00:00,29.67,7987.34,0.0,0.0,0.0,0.5275,0
2025-07-12 17:00:00,29.15,8157.67,-8.89,-8.89,0.0,0.95,1
2025-07-12 18:00:00,29.54,8393.97,0.0,0.0,0.0,0.95,0
2025-07-12 19:00:00,41.24,8765.06,0.0,0.0,0.0,0.95,0
2025-07-12 20:00:00,72.87,9114.09,9.0,0.0,9.0,0.4763,0
2025-07-12 21:00:00,60.57,9137.68,7.15,0.0,7.15,0.1,0
2025-07-12 22:00:00,43.86,9063.38,0.0,0.0,0.0,0.1,0
2025-07-12 23:00:00,24.85,8781.2,0.0,0.0,0.0,0.1,0
2025-07-13 00:00:00,16.57,8399.59,-9.0,-9.0,0.0,0.5275,1
2025-07-13 01:00:00,19.19,8236.3,-8.89,-8.89,0.0,0.95,1
2025-07-13 02:00:00,23.64,8128.2,0.0,0.0,0.0,0.95,0
2025-07-13 03:00:00,23.95,8041.71,0.0,0.0,0.0,0.95,0
2025-07-13 04:00:00,26.27,7975.92,7.15,0.0,7.15,0.5737,0
2025-07-13 05:00:00,32.82,7935.33,9.0,0.0,9.0,0.1,0
2025-07-13 06:00:00,23.01,7832.39,0.0,0.0,0.0,0.1,0
2025-07-13 07:00:00,11.88,7744.08,0.0,0.0,0.0,0.1,0
2025-07-13 08:00:00,9.16,7870.17,-9.0,-9.0,0.0,0.5275,1
2025-07-13 09:00:00,9.31,8017.37,-8.89,-8.89,0.0,0.95,1
2025-07-13 10:00:00,10.65,8076.67,0.0,0.0,0.0,0.95,0
2025-07-13 11:00:00,12.27,8096.69,0.0,0.0,0.0,0.95,0
2025-07-13 12:00:00,17.93,8183.47,0.0,0.0,0.0,0.95,0
2025-07-13 13:00:00,24.21,8189.17,7.15,0.0,7.15,0.5737,0
2025-07-13 14:00:00,28.27,8215.58,9.0,0.0,9.0,0.1,0
