,begin_datetime_mpt,forecast_alberta_internal_load
23,2025-03-18 23:00,10290
24,2025-03-19 00:00,10095
25,2025-03-19 01:00,9993
26,2025-03-19 02:00,9937
27,2025-03-19 03:00,9927
28,2025-03-19 04:00,9968
29,2025-03-19 05:00,10116
30,2025-03-19 06:00,10479
31,2025-03-19 07:00,10862
32,2025-03-19 08:00,10901
33,2025-03-19 09:00,10878
34,2025-03-19 10:00,10824
35,2025-03-19 11:00,10770
36,2025-03-19 12:00,10684
37,2025-03-19 13:00,10658
38,2025-03-19 14:00,10620
39,2025-03-19 15:00,10619
40,2025-03-19 16:00,10683
41,2025-03-19 17:00,10714
42,2025-03-19 18:00,10619
43,2025-03-19 19:00,10636
44,2025-03-19 20:00,10762
45,2025-03-19 21:00,10628
46,2025-03-19 22:00,10389
