,begin_datetime_mpt,alberta_internal_load
16,2025-03-19 16:00,10756
17,2025-03-19 17:00,10818
18,2025-03-19 18:00,10688
19,2025-03-19 19:00,10744
20,2025-03-19 20:00,10899
21,2025-03-19 21:00,10723
22,2025-03-19 22:00,10449
23,2025-03-19 23:00,10133
24,2025-03-20 00:00,9992
25,2025-03-20 01:00,9879
26,2025-03-20 02:00,9859
27,2025-03-20 03:00,9854
28,2025-03-20 04:00,9871
29,2025-03-20 05:00,10066
30,2025-03-20 06:00,10486
31,2025-03-20 07:00,10942
32,2025-03-20 08:00,11032
33,2025-03-20 09:00,11058
34,2025-03-20 10:00,11047
35,2025-03-20 11:00,10963
36,2025-03-20 12:00,10895
37,2025-03-20 13:00,10815
38,2025-03-20 14:00,10750
39,2025-03-20 15:00,10781
40,2025-03-20 16:00,10787
41,2025-03-20 17:00,10760
42,2025-03-20 18:00,10646
43,2025-03-20 19:00,10645
44,2025-03-20 20:00,10767
45,2025-03-20 21:00,10642
46,2025-03-20 22:00,10408
47,2025-03-20 23:00,10158
48,2025-03-21 00:00,9989
49,2025-03-21 01:00,9891
50,2025-03-21 02:00,9838
51,2025-03-21 03:00,9829
52,2025-03-21 04:00,9879
53,2025-03-21 05:00,10030
54,2025-03-21 06:00,10378
55,2025-03-21 07:00,10743
56,2025-03-21 08:00,10832
57,2025-03-21 09:00,10873
58,2025-03-21 10:00,10869
59,2025-03-21 11:00,10824
60,2025-03-21 12:00,10743
61,2025-03-21 13:00,10700
62,2025-03-21 14:00,10646
63,2025-03-21 15:00,10599
