datetime_,alberta_internal_load,forecast_pool_price,rolling_30day_avg_price,solar_generation,temp_calgary,temp_edmonton,temp_fortmc,wind_generation,ws_calgary,ws_edmonton,ws_fortmc,hour_of_day,day_of_week,day_of_month,week_of_month,month,year,is_winter,pool_price_lag_1,pool_price_lag_2,pool_price_lag_3,pool_price_lag_4,pool_price_lag_5,pool_price_lag_6,pool_price_lag_7,pool_price_lag_8,pool_price_lag_9,pool_price_lag_10,pool_price_lag_11,pool_price_lag_12,pool_price_lag_13,pool_price_lag_14,pool_price_lag_15,pool_price_lag_16,pool_price_lag_17,pool_price_lag_18,pool_price_lag_19,pool_price_lag_20,pool_price_lag_21,pool_price_lag_22,pool_price_lag_23,pool_price_lag_24,alberta_internal_load_lag_1,alberta_internal_load_lag_2,alberta_internal_load_lag_3,alberta_internal_load_lag_4,alberta_internal_load_lag_5,alberta_internal_load_lag_6,alberta_internal_load_lag_7,alberta_internal_load_lag_8,alberta_internal_load_lag_9,alberta_internal_load_lag_10,alberta_internal_load_lag_11,alberta_internal_load_lag_12,alberta_internal_load_lag_13,alberta_internal_load_lag_14,alberta_internal_load_lag_15,alberta_internal_load_lag_16,alberta_internal_load_lag_17,alberta_internal_load_lag_18,alberta_internal_load_lag_19,alberta_internal_load_lag_20,alberta_internal_load_lag_21,alberta_internal_load_lag_22,alberta_internal_load_lag_23,alberta_internal_load_lag_24
2025-03-20 16:00:00,10787,18.98,28.25,727.12,8.1,2.4,-6.4,2073.92,26.9,3.8,10.5,16,3,20,3,3,2025,1,18.56,19.83,25.56,24.74,25.47,21.36,19.08,26.04,22.73,23.58,18.4,17.79,15.85,14.01,14.54,13.7,13.78,11.33,16.16,26.38,59.55,55.44,33.08,33.97,10781.0,10750.0,10815.0,10895.0,10963.0,11047.0,11058.0,11032.0,10942.0,10486.0,10066.0,9871.0,9854.0,9859.0,9879.0,9992.0,10133.0,10449.0,10723.0,10899.0,10744.0,10688.0,10818.0,10756.0
2025-03-20 17:00:00,10760,24.95,28.26,575.42,7.4,2.5,-5.7,2085.39,25.3,5.4,10.2,17,3,20,3,3,2025,1,18.98,18.56,19.83,25.56,24.74,25.47,21.36,19.08,26.04,22.73,23.58,18.4,17.79,15.85,14.01,14.54,13.7,13.78,11.33,16.16,26.38,59.55,55.44,33.08,10787.0,10781.0,10750.0,10815.0,10895.0,10963.0,11047.0,11058.0,11032.0,10942.0,10486.0,10066.0,9871.0,9854.0,9859.0,9879.0,9992.0,10133.0,10449.0,10723.0,10899.0,10744.0,10688.0,10818.0
2025-03-20 18:00:00,10646,19.96,28.25,259.93,4.9,2.2,-5.5,1900.94,28.5,5.4,9.8,18,3,20,3,3,2025,1,24.95,18.98,18.56,19.83,25.56,24.74,25.47,21.36,19.08,26.04,22.73,23.58,18.4,17.79,15.85,14.01,14.54,13.7,13.78,11.33,16.16,26.38,59.55,55.44,10760.0,10787.0,10781.0,10750.0,10815.0,10895.0,10963.0,11047.0,11058.0,11032.0,10942.0,10486.0,10066.0,9871.0,9854.0,9859.0,9879.0,9992.0,10133.0,10449.0,10723.0,10899.0,10744.0,10688.0
2025-03-20 19:00:00,10645,21.05,28.23,28.76,4.6,1.3,-5.9,1803.97,24.3,3.7,9.7,19,3,20,3,3,2025,1,19.96,24.95,18.98,18.56,19.83,25.56,24.74,25.47,21.36,19.08,26.04,22.73,23.58,18.4,17.79,15.85,14.01,14.54,13.7,13.78,11.33,16.16,26.38,59.55,10646.0,10760.0,10787.0,10781.0,10750.0,10815.0,10895.0,10963.0,11047.0,11058.0,11032.0,10942.0,10486.0,10066.0,9871.0,9854.0,9859.0,9879.0,9992.0,10133.0,10449.0,10723.0,10899.0,10744.0
2025-03-20 20:00:00,10767,25.28,28.23,0.0,3.5,0.4,-7.1,1785.97,11.8,2.0,9.4,20,3,20,3,3,2025,1,21.05,19.96,24.95,18.98,18.56,19.83,25.56,24.74,25.47,21.36,19.08,26.04,22.73,23.58,18.4,17.79,15.85,14.01,14.54,13.7,13.78,11.33,16.16,26.38,10645.0,10646.0,10760.0,10787.0,10781.0,10750.0,10815.0,10895.0,10963.0,11047.0,11058.0,11032.0,10942.0,10486.0,10066.0,9871.0,9854.0,9859.0,9879.0,9992.0,10133.0,10449.0,10723.0,10899.0
2025-03-20 21:00:00,10642,25.06,28.23,0.0,1.3,-0.6,-8.9,1850.29,6.6,2.3,11.5,21,3,20,3,3,2025,1,25.28,21.05,19.96,24.95,18.98,18.56,19.83,25.56,24.74,25.47,21.36,19.08,26.04,22.73,23.58,18.4,17.79,15.85,14.01,14.54,13.7,13.78,11.33,16.16,10767.0,10645.0,10646.0,10760.0,10787.0,10781.0,10750.0,10815.0,10895.0,10963.0,11047.0,11058.0,11032.0,10942.0,10486.0,10066.0,9871.0,9854.0,9859.0,9879.0,9992.0,10133.0,10449.0,10723.0
2025-03-20 22:00:00,10408,19.03,28.21,0.0,-0.2,-1.5,-10.4,2008.29,6.1,3.1,11.9,22,3,20,3,3,2025,1,25.06,25.28,21.05,19.96,24.95,18.98,18.56,19.83,25.56,24.74,25.47,21.36,19.08,26.04,22.73,23.58,18.4,17.79,15.85,14.01,14.54,13.7,13.78,11.33,10642.0,10767.0,10645.0,10646.0,10760.0,10787.0,10781.0,10750.0,10815.0,10895.0,10963.0,11047.0,11058.0,11032.0,10942.0,10486.0,10066.0,9871.0,9854.0,9859.0,9879.0,9992.0,10133.0,10449.0
2025-03-20 23:00:00,10158,17.29,28.18,0.0,-0.9,-2.2,-11.3,2192.71,6.4,3.8,9.8,23,3,20,3,3,2025,1,19.03,25.06,25.28,21.05,19.96,24.95,18.98,18.56,19.83,25.56,24.74,25.47,21.36,19.08,26.04,22.73,23.58,18.4,17.79,15.85,14.01,14.54,13.7,13.78,10408.0,10642.0,10767.0,10645.0,10646.0,10760.0,10787.0,10781.0,10750.0,10815.0,10895.0,10963.0,11047.0,11058.0,11032.0,10942.0,10486.0,10066.0,9871.0,9854.0,9859.0,9879.0,9992.0,10133.0
2025-03-21 00:00:00,9989,15.01,28.16,0.0,-1.9,-2.9,-12.1,2478.66,4.2,4.1,9.9,0,4,21,3,3,2025,1,17.29,19.03,25.06,25.28,21.05,19.96,24.95,18.98,18.56,19.83,25.56,24.74,25.47,21.36,19.08,26.04,22.73,23.58,18.4,17.79,15.85,14.01,14.54,13.7,10158.0,10408.0,10642.0,10767.0,10645.0,10646.0,10760.0,10787.0,10781.0,10750.0,10815.0,10895.0,10963.0,11047.0,11058.0,11032.0,10942.0,10486.0,10066.0,9871.0,9854.0,9859.0,9879.0,9992.0
2025-03-21 01:00:00,9891,15.77,28.13,0.0,-2.2,-3.3,-12.9,2611.37,3.3,4.8,10.4,1,4,21,3,3,2025,1,15.01,17.29,19.03,25.06,25.28,21.05,19.96,24.95,18.98,18.56,19.83,25.56,24.74,25.47,21.36,19.08,26.04,22.73,23.58,18.4,17.79,15.85,14.01,14.54,9989.0,10158.0,10408.0,10642.0,10767.0,10645.0,10646.0,10760.0,10787.0,10781.0,10750.0,10815.0,10895.0,10963.0,11047.0,11058.0,11032.0,10942.0,10486.0,10066.0,9871.0,9854.0,9859.0,9879.0
