,Timestamp,Temperature (°C)
23,2025-03-18 23:00:00,-1.4
24,2025-03-19 00:00:00,-2.2
25,2025-03-19 01:00:00,-2.6
26,2025-03-19 02:00:00,-2.9
27,2025-03-19 03:00:00,-3.0
28,2025-03-19 04:00:00,-3.5
29,2025-03-19 05:00:00,-4.1
30,2025-03-19 06:00:00,-4.7
31,2025-03-19 07:00:00,-5.5
32,2025-03-19 08:00:00,-6.3
33,2025-03-19 09:00:00,-4.6
34,2025-03-19 10:00:00,-1.0
35,2025-03-19 11:00:00,1.3
36,2025-03-19 12:00:00,3.6
37,2025-03-19 13:00:00,5.3
38,2025-03-19 14:00:00,6.8
39,2025-03-19 15:00:00,6.8
40,2025-03-19 16:00:00,7.4
41,2025-03-19 17:00:00,7.9
42,2025-03-19 18:00:00,8.0
43,2025-03-19 19:00:00,7.1
44,2025-03-19 20:00:00,4.1
45,2025-03-19 21:00:00,2.5
46,2025-03-19 22:00:00,1.6
