,Timestamp,Temperature (°C)
23,2025-03-18 23:00:00,-5.1
24,2025-03-19 00:00:00,-6.2
25,2025-03-19 01:00:00,-7.2
26,2025-03-19 02:00:00,-8.1
27,2025-03-19 03:00:00,-8.1
28,2025-03-19 04:00:00,-8.5
29,2025-03-19 05:00:00,-9.5
30,2025-03-19 06:00:00,-10.7
31,2025-03-19 07:00:00,-11.7
32,2025-03-19 08:00:00,-12.2
33,2025-03-19 09:00:00,-11.7
34,2025-03-19 10:00:00,-10.7
35,2025-03-19 11:00:00,-9.1
36,2025-03-19 12:00:00,-6.0
37,2025-03-19 13:00:00,-2.0
38,2025-03-19 14:00:00,0.0
39,2025-03-19 15:00:00,1.1
40,2025-03-19 16:00:00,1.7
41,2025-03-19 17:00:00,1.9
42,2025-03-19 18:00:00,1.9
43,2025-03-19 19:00:00,1.1
44,2025-03-19 20:00:00,-0.1
45,2025-03-19 21:00:00,-1.6
46,2025-03-19 22:00:00,-3.1
