,datetime_,wind_generation
0,2025-03-20 16:00,2073.92
1,2025-03-20 17:00,2085.39
2,2025-03-20 18:00,1900.94
3,2025-03-20 19:00,1803.97
4,2025-03-20 20:00,1785.97
5,2025-03-20 21:00,1850.29
6,2025-03-20 22:00,2008.29
7,2025-03-20 23:00,2192.71
8,2025-03-21 00:00,2478.66
9,2025-03-21 01:00,2611.37
10,2025-03-21 02:00,2689.17
11,2025-03-21 03:00,2695.76
12,2025-03-21 04:00,2573.39
13,2025-03-21 05:00,2431.55
14,2025-03-21 06:00,2373.11
15,2025-03-21 07:00,2402.69
16,2025-03-21 08:00,2484.69
17,2025-03-21 09:00,2543.23
18,2025-03-21 10:00,2610.17
19,2025-03-21 11:00,2830.34
20,2025-03-21 12:00,3163.38
21,2025-03-21 13:00,3420.44
22,2025-03-21 14:00,3521.12
23,2025-03-21 15:00,3496.84
