,Timestamp,Wind Speed (km/h)
23,2025-03-18 23:00:00,16.9
24,2025-03-19 00:00:00,15.5
25,2025-03-19 01:00:00,14.4
26,2025-03-19 02:00:00,13.6
27,2025-03-19 03:00:00,12.1
28,2025-03-19 04:00:00,10.8
29,2025-03-19 05:00:00,7.9
30,2025-03-19 06:00:00,7.0
31,2025-03-19 07:00:00,6.8
32,2025-03-19 08:00:00,4.8
33,2025-03-19 09:00:00,3.3
34,2025-03-19 10:00:00,1.9
35,2025-03-19 11:00:00,7.3
36,2025-03-19 12:00:00,8.8
37,2025-03-19 13:00:00,8.6
38,2025-03-19 14:00:00,8.7
39,2025-03-19 15:00:00,9.9
40,2025-03-19 16:00:00,11.7
41,2025-03-19 17:00:00,11.1
42,2025-03-19 18:00:00,9.5
43,2025-03-19 19:00:00,6.4
44,2025-03-19 20:00:00,7.2
45,2025-03-19 21:00:00,3.0
46,2025-03-19 22:00:00,4.8
