begin_datetime_mpt,alberta_internal_load,forecast_alberta_internal_load
2022-03-23 00:00,9146,9170
2022-03-23 01:00,9083,9075
2022-03-23 02:00,9020,9029
2022-03-23 03:00,9007,9012
2022-03-23 04:00,9043,9023
2022-03-23 05:00,9292,9228
2022-03-23 06:00,9687,9600
2022-03-23 07:00,10067,10003
2022-03-23 08:00,10130,10097
2022-03-23 09:00,10180,10177
2022-03-23 10:00,10216,10220
2022-03-23 11:00,10257,10233
2022-03-23 12:00,10159,10209
2022-03-23 13:00,10138,10137
2022-03-23 14:00,10122,10094
2022-03-23 15:00,10093,10097
2022-03-23 16:00,10091,10139
2022-03-23 17:00,10094,10070
2022-03-23 18:00,9952,9942
2022-03-23 19:00,9975,9918
2022-03-23 20:00,10070,10088
2022-03-23 21:00,9882,9912
2022-03-23 22:00,9588,9630
2022-03-23 23:00,9338,9345
2022-03-24 00:00,9167,9185
2022-03-24 01:00,9102,9097
2022-03-24 02:00,9066,9044
2022-03-24 03:00,9038,9062
2022-03-24 04:00,9087,9074
2022-03-24 05:00,9223,9248
2022-03-24 06:00,9612,9561
2022-03-24 07:00,10100,9988
2022-03-24 08:00,10230,10216
2022-03-24 09:00,10300,10279
2022-03-24 10:00,10284,10311
2022-03-24 11:00,10251,10316
2022-03-24 12:00,10178,10202
2022-03-24 13:00,10172,10163
2022-03-24 14:00,10140,10139
2022-03-24 15:00,10149,10128
2022-03-24 16:00,10174,10161
2022-03-24 17:00,10190,10171
2022-03-24 18:00,10033,10060
2022-03-24 19:00,10028,10016
2022-03-24 20:00,10129,10177
2022-03-24 21:00,9962,9997
2022-03-24 22:00,9706,9745
2022-03-24 23:00,9467,9478
2022-03-25 00:00,9379,9340
2022-03-25 01:00,9307,9329
2022-03-25 02:00,9254,9234
2022-03-25 03:00,9280,9271
2022-03-25 04:00,9351,9329
2022-03-25 05:00,9529,9510
2022-03-25 06:00,9881,9883
2022-03-25 07:00,10263,10193
2022-03-25 08:00,10378,10381
2022-03-25 09:00,10408,10428
2022-03-25 10:00,10415,10413
2022-03-25 11:00,10389,10409
2022-03-25 12:00,10332,10332
2022-03-25 13:00,10291,10295
2022-03-25 14:00,10210,10249
2022-03-25 15:00,10132,10159
2022-03-25 16:00,10161,10128
2022-03-25 17:00,10145,10170
2022-03-25 18:00,10054,10035
2022-03-25 19:00,10080,10056
2022-03-25 20:00,10230,10213
2022-03-25 21:00,10110,10119
2022-03-25 22:00,9894,9903
2022-03-25 23:00,9648,9687
2022-03-26 00:00,9413,9467
2022-03-26 01:00,9326,9304
2022-03-26 02:00,9299,9259
2022-03-26 03:00,9275,9267
2022-03-26 04:00,9287,9289
2022-03-26 05:00,9312,9353
2022-03-26 06:00,9442,9399
2022-03-26 07:00,9639,9578
2022-03-26 08:00,9811,9794
2022-03-26 09:00,9957,9940
2022-03-26 10:00,10002,10032
2022-03-26 11:00,9944,10040
2022-03-26 12:00,9857,9918
2022-03-26 13:00,9774,9787
2022-03-26 14:00,9769,9747
2022-03-26 15:00,9764,9723
