begin_datetime_mpt,pool_price,forecast_pool_price,rolling_30day_avg
2022-03-17 00:00,46.40,43.43,101.84
2022-03-17 01:00,44.99,48.58,101.81
2022-03-17 02:00,48.34,44.97,101.79
2022-03-17 03:00,61.04,49.34,101.78
2022-03-17 04:00,48.83,47.88,101.75
2022-03-17 05:00,48.60,45.30,101.73
2022-03-17 06:00,71.22,68.86,101.74
2022-03-17 07:00,165.47,92.63,101.88
2022-03-17 08:00,73.95,84.10,101.89
2022-03-17 09:00,68.34,66.89,101.90
2022-03-17 10:00,64.37,68.84,101.87
2022-03-17 11:00,63.95,64.23,101.86
2022-03-17 12:00,58.45,58.36,101.84
2022-03-17 13:00,57.10,58.36,101.58
2022-03-17 14:00,48.50,41.74,101.11
2022-03-17 15:00,62.82,63.91,100.62
2022-03-17 16:00,64.40,58.36,100.09
2022-03-17 17:00,65.73,66.32,99.01
2022-03-17 18:00,58.17,48.56,97.95
2022-03-17 19:00,63.20,68.40,96.92
2022-03-17 20:00,67.21,81.64,96.44
2022-03-17 21:00,61.81,68.06,95.88
2022-03-17 22:00,46.83,47.12,95.55
2022-03-17 23:00,37.99,38.57,95.46
2022-03-18 00:00,36.72,35.89,95.42
2022-03-18 01:00,37.57,37.35,95.42
2022-03-18 02:00,37.75,36.21,95.40
2022-03-18 03:00,36.81,33.66,95.37
2022-03-18 04:00,47.11,39.34,95.35
2022-03-18 05:00,64.51,64.98,95.33
2022-03-18 06:00,71.01,68.86,95.13
2022-03-18 07:00,69.37,70.63,94.21
2022-03-18 08:00,73.84,71.17,93.69
2022-03-18 09:00,173.05,196.33,93.02
2022-03-18 10:00,88.17,73.34,92.35
2022-03-18 11:00,155.74,111.11,92.02
2022-03-18 12:00,155.59,338.00,92.07
2022-03-18 13:00,121.51,184.23,92.12
2022-03-18 14:00,157.87,113.13,92.23
2022-03-18 15:00,76.41,70.82,92.23
2022-03-18 16:00,70.54,74.41,92.22
2022-03-18 17:00,56.59,58.81,92.01
2022-03-18 18:00,49.08,44.79,91.68
2022-03-18 19:00,57.25,61.79,91.19
2022-03-18 20:00,57.44,182.64,91.12
2022-03-18 21:00,46.14,49.19,91.06
2022-03-18 22:00,43.37,43.55,91.00
2022-03-18 23:00,43.71,41.88,90.90
2022-03-19 00:00,39.08,43.69,90.86
2022-03-19 01:00,38.16,37.87,90.81
2022-03-19 02:00,41.47,37.29,90.79
2022-03-19 03:00,46.04,45.65,90.80
2022-03-19 04:00,50.22,49.12,90.82
2022-03-19 05:00,60.64,47.70,90.86
2022-03-19 06:00,70.92,64.43,90.91
2022-03-19 07:00,85.48,72.18,90.97
2022-03-19 08:00,236.25,106.03,91.23
2022-03-19 09:00,173.79,101.56,91.40
2022-03-19 10:00,140.36,172.68,91.53
2022-03-19 11:00,114.95,94.95,91.64
2022-03-19 12:00,64.76,67.99,91.66
2022-03-19 13:00,43.35,49.94,91.65
2022-03-19 14:00,38.52,39.11,91.64
2022-03-19 15:00,43.28,42.54,91.63
2022-03-19 16:00,48.77,58.88,91.63
2022-03-19 17:00,51.21,48.05,91.61
2022-03-19 18:00,51.19,58.46,91.58
2022-03-19 19:00,56.13,53.12,91.55
2022-03-19 20:00,60.44,63.14,91.53
2022-03-19 21:00,58.49,60.81,91.53
2022-03-19 22:00,52.25,55.78,91.53
2022-03-19 23:00,49.25,48.31,91.53
2022-03-20 00:00,58.58,63.31,91.53
2022-03-20 01:00,47.57,49.63,91.51
2022-03-20 02:00,45.53,44.44,91.52
2022-03-20 03:00,40.49,40.30,91.52
2022-03-20 04:00,38.41,38.96,91.50
2022-03-20 05:00,38.92,39.07,91.46
2022-03-20 06:00,40.30,45.08,91.43
2022-03-20 07:00,38.67,37.64,91.39
2022-03-20 08:00,38.25,38.68,91.30
2022-03-20 09:00,38.38,38.41,91.22
2022-03-20 10:00,40.29,38.28,90.96
2022-03-20 11:00,54.36,48.06,90.57
