,Timestamp_mst,Temperature (degree C)
0,2022-03-23 00:00:00,6.4
1,2022-03-23 01:00:00,8.9
81,2022-03-23 02:00:00,6.7
2,2022-03-23 03:00:00,5.5
3,2022-03-23 04:00:00,4.6
4,2022-03-23 05:00:00,2.7
82,2022-03-23 06:00:00,3.2
5,2022-03-23 07:00:00,3.6
6,2022-03-23 08:00:00,7.6
7,2022-03-23 09:00:00,7.8
8,2022-03-23 10:00:00,10.3
9,2022-03-23 11:00:00,9.1
10,2022-03-23 12:00:00,10.9
11,2022-03-23 13:00:00,11.5
12,2022-03-23 14:00:00,13.1
13,2022-03-23 15:00:00,16.9
14,2022-03-23 16:00:00,18.0
15,2022-03-23 17:00:00,17.5
16,2022-03-23 18:00:00,16.6
17,2022-03-23 19:00:00,13.0
83,2022-03-23 20:00:00,11.2
18,2022-03-23 21:00:00,11.6
19,2022-03-23 22:00:00,5.9
20,2022-03-23 23:00:00,4.2
21,2022-03-24 00:00:00,1.6
22,2022-03-24 01:00:00,-0.2
23,2022-03-24 02:00:00,-0.2
84,2022-03-24 03:00:00,0.1
24,2022-03-24 04:00:00,0.6
25,2022-03-24 05:00:00,0.4
85,2022-03-24 06:00:00,0.6
26,2022-03-24 07:00:00,0.2
86,2022-03-24 08:00:00,0.6
27,2022-03-24 09:00:00,1.6
87,2022-03-24 10:00:00,3.1
88,2022-03-24 11:00:00,4.3
89,2022-03-24 12:00:00,5.1
90,2022-03-24 13:00:00,2.9
28,2022-03-24 14:00:00,3.8
29,2022-03-24 15:00:00,3.4
30,2022-03-24 16:00:00,4.4
31,2022-03-24 17:00:00,3.1
32,2022-03-24 18:00:00,3.5
33,2022-03-24 19:00:00,1.7
34,2022-03-24 20:00:00,1.3
91,2022-03-24 21:00:00,0.2
92,2022-03-24 22:00:00,-1.1
93,2022-03-24 23:00:00,-2.2
94,2022-03-25 00:00:00,-2.9
95,2022-03-25 01:00:00,-3.5
35,2022-03-25 02:00:00,-4.6
36,2022-03-25 03:00:00,-4.5
96,2022-03-25 04:00:00,-6.1
37,2022-03-25 05:00:00,-4.2
38,2022-03-25 06:00:00,-3.9
39,2022-03-25 07:00:00,-3.7
97,2022-03-25 08:00:00,-2.9
40,2022-03-25 09:00:00,-1.1
41,2022-03-25 10:00:00,0.9
42,2022-03-25 11:00:00,1.8
98,2022-03-25 12:00:00,3.3
43,2022-03-25 13:00:00,4.2
44,2022-03-25 14:00:00,6.2
99,2022-03-25 15:00:00,7.5
45,2022-03-25 16:00:00,7.8
46,2022-03-25 17:00:00,8.5
47,2022-03-25 18:00:00,7.1
48,2022-03-25 19:00:00,6.7
49,2022-03-25 20:00:00,5.0
100,2022-03-25 21:00:00,3.2
101,2022-03-25 22:00:00,1.4
102,2022-03-25 23:00:00,0.1
103,2022-03-26 00:00:00,-0.4
104,2022-03-26 01:00:00,-2.5
50,2022-03-26 02:00:00,-3.7
51,2022-03-26 03:00:00,-3.4
52,2022-03-26 04:00:00,-5.0
53,2022-03-26 05:00:00,-5.8
54,2022-03-26 06:00:00,-6.3
55,2022-03-26 07:00:00,-5.4
56,2022-03-26 08:00:00,-4.0
57,2022-03-26 09:00:00,-2.6
58,2022-03-26 10:00:00,-1.5
59,2022-03-26 11:00:00,0.8
60,2022-03-26 12:00:00,1.9
105,2022-03-26 13:00:00,2.6
61,2022-03-26 14:00:00,3.5
62,2022-03-26 15:00:00,4.9
63,2022-03-26 16:00:00,5.8
64,2022-03-26 17:00:00,5.6
65,2022-03-26 18:00:00,5.0
66,2022-03-26 19:00:00,4.4
67,2022-03-26 20:00:00,3.9
68,2022-03-26 21:00:00,2.5
69,2022-03-26 22:00:00,2.6
70,2022-03-26 23:00:00,0.5
71,2022-03-27 00:00:00,-1.7
72,2022-03-27 01:00:00,-2.5
73,2022-03-27 02:00:00,-1.8
74,2022-03-27 03:00:00,-2.8
75,2022-03-27 04:00:00,-3.2
76,2022-03-27 05:00:00,-1.8
77,2022-03-27 06:00:00,-1.5
78,2022-03-27 07:00:00,-3.2
79,2022-03-27 08:00:00,-0.2
80,2022-03-27 09:00:00,4.0
106,2022-03-27 10:00:00,6.4
107,2022-03-27 11:00:00,8.5
173,2022-03-27 12:00:00,9.3
174,2022-03-27 13:00:00,11.4
175,2022-03-27 14:00:00,11.6
108,2022-03-27 15:00:00,13.7
109,2022-03-27 16:00:00,13.7
110,2022-03-27 17:00:00,14.2
111,2022-03-27 18:00:00,13.3
112,2022-03-27 19:00:00,10.9
113,2022-03-27 20:00:00,8.4
176,2022-03-27 21:00:00,3.8
177,2022-03-27 22:00:00,1.7
178,2022-03-27 23:00:00,0.4
179,2022-03-28 00:00:00,-0.7
180,2022-03-28 01:00:00,-0.9
181,2022-03-28 02:00:00,-1.0
114,2022-03-28 03:00:00,-1.2
115,2022-03-28 04:00:00,-1.6
182,2022-03-28 05:00:00,-2.0
183,2022-03-28 06:00:00,-2.4
116,2022-03-28 07:00:00,-2.4
117,2022-03-28 08:00:00,-1.8
118,2022-03-28 09:00:00,-0.9
119,2022-03-28 10:00:00,0.0
120,2022-03-28 11:00:00,0.4
121,2022-03-28 12:00:00,0.5
122,2022-03-28 13:00:00,0.8
123,2022-03-28 14:00:00,1.1
124,2022-03-28 15:00:00,2.4
125,2022-03-28 16:00:00,3.0
126,2022-03-28 17:00:00,2.5
127,2022-03-28 18:00:00,1.2
128,2022-03-28 19:00:00,0.2
129,2022-03-28 20:00:00,-1.1
184,2022-03-28 21:00:00,-1.2
185,2022-03-28 22:00:00,-1.4
130,2022-03-29 00:00:00,-2.3
186,2022-03-29 01:00:00,-1.4
131,2022-03-29 02:00:00,-2.8
132,2022-03-29 03:00:00,-3.6
133,2022-03-29 04:00:00,-4.6
134,2022-03-29 05:00:00,-4.5
187,2022-03-29 06:00:00,-5.6
135,2022-03-29 07:00:00,-5.5
136,2022-03-29 08:00:00,-2.3
188,2022-03-29 09:00:00,0.2
189,2022-03-29 10:00:00,1.8
137,2022-03-29 11:00:00,3.3
138,2022-03-29 12:00:00,6.1
139,2022-03-29 13:00:00,5.9
140,2022-03-29 14:00:00,7.8
141,2022-03-29 15:00:00,9.4
190,2022-03-29 16:00:00,9.1
142,2022-03-29 17:00:00,9.8
143,2022-03-29 18:00:00,8.9
144,2022-03-29 19:00:00,6.2
145,2022-03-29 20:00:00,4.9
191,2022-03-29 21:00:00,3.5
192,2022-03-29 22:00:00,2.2
