,Timestamp_mst,Temperature (degree C)
11,2022-03-17 00:00:00,-2.8
12,2022-03-17 01:00:00,-2.7
0,2022-03-17 02:00:00,-3.5
13,2022-03-17 03:00:00,-4.3
1,2022-03-17 04:00:00,-4.3
14,2022-03-17 05:00:00,-4.0
15,2022-03-17 06:00:00,-5.2
16,2022-03-17 07:00:00,-5.4
17,2022-03-17 08:00:00,-4.1
2,2022-03-17 09:00:00,-2.2
3,2022-03-17 10:00:00,0.7
18,2022-03-17 11:00:00,2.6
19,2022-03-17 12:00:00,3.2
4,2022-03-17 13:00:00,3.2
20,2022-03-17 14:00:00,3.6
21,2022-03-17 15:00:00,3.6
22,2022-03-17 16:00:00,4.6
23,2022-03-17 17:00:00,4.5
24,2022-03-17 18:00:00,1.6
25,2022-03-17 19:00:00,3.3
26,2022-03-17 20:00:00,-1.1
27,2022-03-17 21:00:00,-0.6
28,2022-03-17 22:00:00,-1.5
29,2022-03-17 23:00:00,0.7
30,2022-03-18 00:00:00,1.0
31,2022-03-18 01:00:00,-1.1
32,2022-03-18 02:00:00,-2.4
33,2022-03-18 03:00:00,-2.5
5,2022-03-18 04:00:00,-2.3
6,2022-03-18 05:00:00,-2.5
34,2022-03-18 06:00:00,-5.1
35,2022-03-18 07:00:00,-4.2
36,2022-03-18 08:00:00,-2.2
37,2022-03-18 09:00:00,-0.2
38,2022-03-18 10:00:00,2.1
39,2022-03-18 11:00:00,2.7
40,2022-03-18 12:00:00,3.6
41,2022-03-18 13:00:00,4.2
42,2022-03-18 14:00:00,4.1
43,2022-03-18 15:00:00,5.0
44,2022-03-18 16:00:00,4.3
45,2022-03-18 17:00:00,4.0
7,2022-03-18 18:00:00,3.3
46,2022-03-18 19:00:00,0.2
47,2022-03-18 20:00:00,-0.1
48,2022-03-18 21:00:00,-0.3
49,2022-03-18 22:00:00,-0.3
8,2022-03-18 23:00:00,-0.4
50,2022-03-19 00:00:00,-1.8
51,2022-03-19 01:00:00,-2.2
52,2022-03-19 02:00:00,-4.7
53,2022-03-19 03:00:00,-5.1
54,2022-03-19 04:00:00,-6.6
55,2022-03-19 05:00:00,-6.0
56,2022-03-19 06:00:00,-4.6
57,2022-03-19 07:00:00,-5.2
58,2022-03-19 08:00:00,-5.3
9,2022-03-19 09:00:00,-2.1
59,2022-03-19 10:00:00,0.6
60,2022-03-19 11:00:00,2.6
61,2022-03-19 12:00:00,4.5
62,2022-03-19 13:00:00,3.9
63,2022-03-19 14:00:00,4.4
10,2022-03-19 15:00:00,4.5
81,2022-03-19 16:00:00,5.5
82,2022-03-19 17:00:00,5.9
83,2022-03-19 18:00:00,4.0
64,2022-03-19 19:00:00,2.7
84,2022-03-19 20:00:00,2.6
85,2022-03-19 21:00:00,2.4
86,2022-03-19 22:00:00,2.0
87,2022-03-19 23:00:00,1.8
88,2022-03-20 00:00:00,0.7
89,2022-03-20 01:00:00,-0.5
90,2022-03-20 02:00:00,-0.6
91,2022-03-20 03:00:00,-1.0
92,2022-03-20 04:00:00,-0.6
93,2022-03-20 05:00:00,0.1
94,2022-03-20 06:00:00,0.3
95,2022-03-20 07:00:00,0.2
96,2022-03-20 08:00:00,-0.2
97,2022-03-20 09:00:00,-0.7
98,2022-03-20 10:00:00,-0.8
99,2022-03-20 11:00:00,-1.0
100,2022-03-20 12:00:00,-0.9
101,2022-03-20 13:00:00,0.0
102,2022-03-20 14:00:00,2.0
103,2022-03-20 15:00:00,2.9
104,2022-03-20 16:00:00,3.8
105,2022-03-20 17:00:00,3.8
106,2022-03-20 18:00:00,3.2
107,2022-03-20 19:00:00,-1.3
108,2022-03-20 20:00:00,-3.8
109,2022-03-20 21:00:00,-7.4
110,2022-03-20 22:00:00,-7.4
111,2022-03-20 23:00:00,-7.2
112,2022-03-21 00:00:00,-8.0
113,2022-03-21 01:00:00,-8.2
114,2022-03-21 02:00:00,-7.8
115,2022-03-21 03:00:00,-9.0
65,2022-03-21 04:00:00,-8.7
66,2022-03-21 05:00:00,-9.2
67,2022-03-21 06:00:00,-9.6
116,2022-03-21 07:00:00,-8.4
68,2022-03-21 08:00:00,-4.6
117,2022-03-21 09:00:00,-1.4
118,2022-03-21 10:00:00,0.9
119,2022-03-21 11:00:00,3.1
69,2022-03-21 12:00:00,3.4
120,2022-03-21 13:00:00,5.6
121,2022-03-21 14:00:00,6.4
122,2022-03-21 15:00:00,6.3
123,2022-03-21 16:00:00,7.0
124,2022-03-21 17:00:00,5.7
125,2022-03-21 18:00:00,5.8
126,2022-03-21 19:00:00,4.6
127,2022-03-21 20:00:00,2.4
70,2022-03-21 21:00:00,0.7
128,2022-03-21 22:00:00,0.2
129,2022-03-21 23:00:00,-0.2
71,2022-03-22 00:00:00,-0.6
130,2022-03-22 01:00:00,-2.1
131,2022-03-22 02:00:00,-1.5
72,2022-03-22 03:00:00,-3.9
73,2022-03-22 04:00:00,-3.7
132,2022-03-22 05:00:00,-4.1
133,2022-03-22 06:00:00,-4.7
134,2022-03-22 07:00:00,-2.8
135,2022-03-22 08:00:00,-1.1
74,2022-03-22 09:00:00,0.8
75,2022-03-22 10:00:00,3.1
136,2022-03-22 11:00:00,4.0
137,2022-03-22 12:00:00,4.7
138,2022-03-22 13:00:00,5.2
139,2022-03-22 14:00:00,6.6
140,2022-03-22 15:00:00,5.9
141,2022-03-22 16:00:00,5.5
142,2022-03-22 17:00:00,5.6
143,2022-03-22 18:00:00,5.7
144,2022-03-22 19:00:00,3.5
76,2022-03-22 20:00:00,3.7
145,2022-03-22 21:00:00,3.5
146,2022-03-22 22:00:00,3.6
147,2022-03-22 23:00:00,3.9
148,2022-03-23 00:00:00,2.9
149,2022-03-23 01:00:00,3.5
150,2022-03-23 02:00:00,4.2
151,2022-03-23 03:00:00,3.8
152,2022-03-23 04:00:00,2.0
153,2022-03-23 05:00:00,1.7
154,2022-03-23 06:00:00,2.7
155,2022-03-23 07:00:00,1.7
156,2022-03-23 08:00:00,2.1
157,2022-03-23 09:00:00,2.8
158,2022-03-23 10:00:00,4.1
77,2022-03-23 11:00:00,4.6
78,2022-03-23 12:00:00,7.0
159,2022-03-23 13:00:00,8.8
79,2022-03-23 14:00:00,12.0
160,2022-03-23 15:00:00,11.5
161,2022-03-23 16:00:00,12.2
162,2022-03-23 17:00:00,13.1
163,2022-03-23 18:00:00,8.8
80,2022-03-23 19:00:00,9.4
176,2022-03-23 20:00:00,5.7
177,2022-03-23 21:00:00,4.7
178,2022-03-23 22:00:00,4.1
179,2022-03-23 23:00:00,1.5
180,2022-03-24 00:00:00,1.5
181,2022-03-24 01:00:00,1.0
182,2022-03-24 02:00:00,1.6
183,2022-03-24 03:00:00,1.7
164,2022-03-24 04:00:00,1.4
184,2022-03-24 05:00:00,0.5
185,2022-03-24 06:00:00,0.0
165,2022-03-24 07:00:00,-0.6
186,2022-03-24 08:00:00,0.5
166,2022-03-24 09:00:00,1.9
