,Timestamp_mst,Temperature (degree C)
17272,2022-03-17 00:00:00,-5.4
17273,2022-03-17 01:00:00,-4.6
17274,2022-03-17 02:00:00,-4.1
17275,2022-03-17 03:00:00,0.0
17276,2022-03-17 04:00:00,-0.9
17277,2022-03-17 05:00:00,-2.7
17278,2022-03-17 06:00:00,-2.6
17279,2022-03-17 07:00:00,-2.6
17280,2022-03-17 08:00:00,0.5
17282,2022-03-17 09:00:00,3.0
17281,2022-03-17 10:00:00,5.3
17283,2022-03-17 11:00:00,6.7
17284,2022-03-17 12:00:00,7.9
17285,2022-03-17 13:00:00,8.7
17286,2022-03-17 14:00:00,8.8
17287,2022-03-17 15:00:00,8.6
17288,2022-03-17 16:00:00,8.7
17289,2022-03-17 17:00:00,9.1
17290,2022-03-17 18:00:00,8.5
17291,2022-03-17 19:00:00,6.3
17292,2022-03-17 20:00:00,5.1
17293,2022-03-17 21:00:00,3.7
17294,2022-03-17 22:00:00,2.8
17295,2022-03-17 23:00:00,2.3
17296,2022-03-18 00:00:00,0.6
17297,2022-03-18 01:00:00,0.2
17298,2022-03-18 02:00:00,0.2
17299,2022-03-18 03:00:00,0.2
17300,2022-03-18 04:00:00,-0.1
17301,2022-03-18 05:00:00,-0.7
17302,2022-03-18 06:00:00,-0.9
17303,2022-03-18 07:00:00,-1.8
17304,2022-03-18 08:00:00,-0.4
17305,2022-03-18 09:00:00,1.4
17306,2022-03-18 10:00:00,2.9
17307,2022-03-18 11:00:00,4.5
17308,2022-03-18 12:00:00,5.7
17271,2022-03-18 13:00:00,6.3
17310,2022-03-18 14:00:00,7.6
17311,2022-03-18 15:00:00,8.0
17312,2022-03-18 16:00:00,7.4
17313,2022-03-18 17:00:00,7.0
17314,2022-03-18 18:00:00,5.3
17315,2022-03-18 19:00:00,3.3
17316,2022-03-18 20:00:00,3.1
17317,2022-03-18 21:00:00,0.5
17318,2022-03-18 22:00:00,-1.5
17319,2022-03-18 23:00:00,-2.0
17320,2022-03-19 00:00:00,-4.4
17321,2022-03-19 01:00:00,-3.3
17322,2022-03-19 02:00:00,-7.4
17323,2022-03-19 03:00:00,-7.4
17324,2022-03-19 04:00:00,-9.4
