,Timestamp_mst,WIND_SPEED
0,2022-03-23 00:00:00,10.0
1,2022-03-23 01:00:00,7.0
81,2022-03-23 02:00:00,4.0
2,2022-03-23 03:00:00,2.0
3,2022-03-23 04:00:00,2.0
4,2022-03-23 05:00:00,8.0
82,2022-03-23 06:00:00,3.0
5,2022-03-23 07:00:00,8.0
6,2022-03-23 08:00:00,5.0
7,2022-03-23 09:00:00,3.0
8,2022-03-23 10:00:00,5.0
9,2022-03-23 11:00:00,14.0
10,2022-03-23 12:00:00,12.0
11,2022-03-23 13:00:00,8.0
12,2022-03-23 14:00:00,12.0
13,2022-03-23 15:00:00,11.0
14,2022-03-23 16:00:00,23.0
15,2022-03-23 17:00:00,29.0
16,2022-03-23 18:00:00,19.0
17,2022-03-23 19:00:00,22.0
83,2022-03-23 20:00:00,23.0
18,2022-03-23 21:00:00,19.0
19,2022-03-23 22:00:00,61.0
20,2022-03-23 23:00:00,41.0
21,2022-03-24 00:00:00,50.0
22,2022-03-24 01:00:00,41.0
23,2022-03-24 02:00:00,31.0
84,2022-03-24 03:00:00,32.0
24,2022-03-24 04:00:00,24.0
25,2022-03-24 05:00:00,27.0
85,2022-03-24 06:00:00,21.0
26,2022-03-24 07:00:00,17.0
86,2022-03-24 08:00:00,18.0
27,2022-03-24 09:00:00,20.0
87,2022-03-24 10:00:00,26.0
88,2022-03-24 11:00:00,18.0
89,2022-03-24 12:00:00,9.0
90,2022-03-24 13:00:00,25.0
28,2022-03-24 14:00:00,9.0
29,2022-03-24 15:00:00,16.0
30,2022-03-24 16:00:00,21.0
31,2022-03-24 17:00:00,5.0
32,2022-03-24 18:00:00,3.0
33,2022-03-24 19:00:00,4.0
34,2022-03-24 20:00:00,5.0
91,2022-03-24 21:00:00,7.0
92,2022-03-24 22:00:00,1.0
93,2022-03-24 23:00:00,3.0
94,2022-03-25 00:00:00,1.0
95,2022-03-25 01:00:00,4.0
35,2022-03-25 02:00:00,3.0
36,2022-03-25 03:00:00,2.0
96,2022-03-25 04:00:00,1.0
37,2022-03-25 05:00:00,9.0
38,2022-03-25 06:00:00,9.0
39,2022-03-25 07:00:00,9.0
97,2022-03-25 08:00:00,13.0
40,2022-03-25 09:00:00,8.0
41,2022-03-25 10:00:00,10.0
42,2022-03-25 11:00:00,16.0
98,2022-03-25 12:00:00,14.0
43,2022-03-25 13:00:00,17.0
44,2022-03-25 14:00:00,23.0
99,2022-03-25 15:00:00,16.0
45,2022-03-25 16:00:00,16.0
46,2022-03-25 17:00:00,19.0
47,2022-03-25 18:00:00,19.0
48,2022-03-25 19:00:00,16.0
49,2022-03-25 20:00:00,24.0
100,2022-03-25 21:00:00,24.0
101,2022-03-25 22:00:00,9.0
102,2022-03-25 23:00:00,10.0
103,2022-03-26 00:00:00,19.0
104,2022-03-26 01:00:00,8.0
50,2022-03-26 02:00:00,2.0
51,2022-03-26 03:00:00,3.0
52,2022-03-26 04:00:00,7.0
53,2022-03-26 05:00:00,8.0
54,2022-03-26 06:00:00,7.0
55,2022-03-26 07:00:00,5.0
56,2022-03-26 08:00:00,6.0
57,2022-03-26 09:00:00,7.0
58,2022-03-26 10:00:00,4.0
