iter	RMSE
0	109.4309383
1	102.2477633
2	95.23544254
3	89.70849848
4	83.85302115
5	78.91839979
6	74.64412257
7	70.92261733
8	67.25932308
9	64.00622757
10	61.0483829
11	58.24371289
12	55.79257583
13	53.56791706
14	51.68476487
15	50.04489079
16	48.42927869
17	47.12843103
18	45.97285455
19	44.90762956
20	43.81307432
21	42.99390634
22	41.99441738
23	41.24131513
24	40.57275247
25	39.93768834
26	39.301812
27	38.68755449
28	38.23823287
29	37.78910735
30	37.30789709
31	36.90438188
32	36.62322734
33	36.30039987
34	35.97042934
35	35.69959022
36	35.47199721
37	35.1274693
38	35.00475494
39	34.74092224
40	34.64067448
41	34.49412522
42	34.20159719
43	33.95097727
44	33.7024098
45	33.44075663
46	33.17329605
47	32.99071641
48	32.8349043
49	32.73167586
50	32.63394122
51	32.49076577
52	32.35206058
53	32.18448119
54	32.05991571
55	31.81419397
56	31.67578844
57	31.5815425
58	31.48193988
59	31.38908995
60	31.27385202
61	31.11139381
62	31.05297088
63	30.96405568
64	30.86064204
65	30.78330316
66	30.73959664
67	30.53831724
68	30.47551583
69	30.32322261
70	30.21473169
71	30.12159233
72	29.9521203
73	29.89379278
74	29.8198356
75	29.62159026
76	29.52350144
77	29.37046035
78	29.25773288
79	29.12724544
80	28.9347007
81	28.795787
82	28.73852991
83	28.58476631
84	28.48592354
85	28.43548013
86	28.31474601
87	28.19806829
88	28.10118599
89	28.07046768
90	27.83676191
91	27.68452623
92	27.50159777
93	27.37647357
94	27.31507388
95	27.22297308
96	27.11172428
97	27.06329272
98	26.92934696
99	26.7931812
100	26.73586261
101	26.6187875
102	26.49164797
103	26.3378676
104	26.28923812
105	26.20485793
106	26.15034338
107	26.10749492
108	25.96735364
109	25.86623403
110	25.83427747
111	25.77582517
112	25.64953525
113	25.60734678
114	25.570702
115	25.52765861
116	25.4859317
117	25.38362889
118	25.32285438
119	25.27151409
120	25.2193934
121	25.17559367
122	25.05142132
123	24.87590641
124	24.63053789
125	24.59263556
126	24.56430611
127	24.47149937
128	24.44168299
129	24.32654923
130	24.2469211
131	24.21753141
132	24.09733935
133	24.01484476
134	23.96349025
135	23.88943443
136	23.75245362
137	23.62715534
138	23.577268
139	23.51522241
140	23.45599158
141	23.39598792
142	23.33583508
143	23.28761434
144	23.23963202
145	23.21915285
146	23.18272777
147	23.08004258
148	23.03665774
149	22.95069058
150	22.85787889
151	22.82553882
152	22.7488875
153	22.69169399
154	22.59621779
155	22.47970044
156	22.4482552
157	22.36011941
158	22.32460711
159	22.28616292
160	22.19795405
161	22.11136564
162	22.0381649
163	21.93054842
164	21.9044591
165	21.80957384
166	21.78601491
167	21.75886645
168	21.732318
169	21.70299913
170	21.66540843
171	21.58991598
172	21.57096555
173	21.51840387
174	21.49098747
175	21.40153107
176	21.37651728
177	21.31713157
178	21.303033
179	21.27978348
180	21.25654876
181	21.18691234
182	21.00356051
183	20.89838925
184	20.7742455
185	20.71432257
186	20.69092883
187	20.6685368
188	20.62710655
189	20.55085314
190	20.50360748
191	20.47179534
192	20.4493363
193	20.40651017
194	20.34942521
195	20.31436248
196	20.24987786
197	20.21090637
198	20.13476678
199	20.0616324
200	20.0347022
201	19.98037205
202	19.9598621
203	19.89339404
204	19.86708993
205	19.82442284
206	19.7211877
207	19.68116414
208	19.57965093
209	19.53016395
210	19.47919203
211	19.41210141
212	19.35514079
213	19.29105275
214	19.27364227
215	19.21366869
216	19.09705401
217	19.03233572
218	18.96714447
219	18.92173471
220	18.89089521
221	18.86900231
222	18.8291951
223	18.74612322
224	18.68905718
225	18.6255625
226	18.60735305
227	18.5883881
228	18.51786825
229	18.46499896
230	18.44869627
231	18.38600148
232	18.35392552
233	18.32617095
234	18.26958206
235	18.24948614
236	18.2373479
237	18.22401221
238	18.08606214
239	18.07457787
240	17.97930403
241	17.96378189
242	17.89501946
243	17.84268604
244	17.76154259
245	17.70611491
246	17.68286572
247	17.66008901
248	17.55737243
249	17.52067634
250	17.50448827
251	17.46866193
252	17.41282526
253	17.36278138
254	17.34688722
255	17.31021012
256	17.29494152
257	17.25876693
258	17.23129312
259	17.2151137
260	17.11512873
261	17.06763469
262	17.05302914
263	17.0154766
