iter	Passed	Remaining
0	63	63436
1	76	38255
2	87	29013
3	101	25174
4	112	22326
5	125	20850
6	141	20079
7	156	19432
8	168	18583
9	183	18197
10	196	17639
11	210	17352
12	223	16932
13	234	16498
14	247	16285
15	261	16060
16	283	16393
17	310	16923
18	326	16835
19	340	16674
20	353	16480
21	364	16218
22	380	16161
23	393	15994
24	405	15803
25	416	15606
26	428	15433
27	437	15190
28	449	15048
29	459	14843
30	469	14664
31	480	14520
32	491	14393
33	500	14228
34	511	14099
35	525	14059
36	534	13919
37	546	13825
38	555	13699
39	566	13604
40	577	13504
41	588	13430
42	599	13352
43	611	13289
44	623	13231
45	635	13180
46	650	13190
47	662	13137
48	671	13036
49	681	12954
50	693	12899
51	702	12816
52	714	12768
53	725	12710
54	739	12713
55	750	12654
56	761	12596
57	770	12520
58	782	12472
59	794	12442
60	808	12449
61	822	12443
62	836	12441
63	848	12402
64	860	12383
65	872	12354
66	885	12324
67	897	12300
68	907	12249
69	919	12215
70	931	12193
71	945	12188
72	958	12167
73	970	12141
74	981	12109
75	994	12085
76	1006	12060
77	1017	12025
78	1031	12030
79	1044	12012
80	1057	11993
81	1069	11975
82	1080	11936
83	1092	11913
84	1104	11887
85	1115	11853
86	1129	11850
87	1145	11868
88	1155	11831
89	1167	11808
90	1179	11780
91	1191	11762
92	1203	11735
93	1214	11704
94	1226	11688
95	1239	11670
96	1250	11641
97	1262	11619
98	1275	11612
99	1294	11646
100	1311	11670
101	1325	11668
102	1339	11661
103	1350	11632
104	1362	11611
105	1373	11583
106	1385	11564
107	1397	11544
108	1409	11520
109	1420	11491
110	1433	11479
111	1446	11471
112	1457	11443
113	1469	11420
114	1481	11404
115	1492	11377
116	1503	11348
117	1516	11334
118	1527	11308
119	1544	11323
120	1562	11349
121	1574	11329
122	1586	11310
123	1598	11291
124	1608	11261
125	1620	11241
126	1635	11239
127	1653	11265
128	1667	11261
129	1680	11243
130	1691	11221
131	1702	11195
132	1713	11172
133	1724	11144
134	1735	11118
135	1748	11108
136	1762	11105
137	1773	11077
138	1784	11054
139	1796	11036
140	1808	11018
141	1820	11002
142	1833	10989
143	1847	10981
144	1859	10963
145	1870	10941
146	1882	10925
147	1894	10907
148	1907	10893
149	1920	10880
150	1933	10869
151	1945	10854
152	1958	10840
153	1970	10827
154	1982	10807
155	1994	10789
156	2005	10770
157	2018	10758
158	2033	10754
159	2045	10740
160	2058	10727
161	2070	10709
162	2083	10698
163	2094	10675
