Forecast Transaction Date,Min,Most Likely,Max,Actual,MCR,Pct Min,Pct Most Likely,Pct Max
2025-03-05 00:00,0,0,0,0,1812,0,0,0
2025-03-05 01:00,0,0,0,0,1812,0,0,0
2025-03-05 02:00,0,0,0,0,1812,0,0,0
2025-03-05 03:00,0,0,0,0,1812,0,0,0
2025-03-05 04:00,0,0,0,0,1812,0,0,0
2025-03-05 05:00,0,0,0,0,1812,0,0,0
2025-03-05 06:00,0.35,0.84,1.19,0,1812,0.02,0.05,0.07
2025-03-05 07:00,50.92,72.26,92.99,47.3,1812,2.81,3.99,5.13
2025-03-05 08:00,201.59,257.22,310.67,301.72,1812,11.13,14.2,17.15
2025-03-05 09:00,362.23,444.05,525.94,623.9,1812,19.99,24.51,29.03
2025-03-05 10:00,578.84,670.1,780.64,928.04,1812,31.94,36.98,43.08
2025-03-05 11:00,848.23,933.75,1065.79,1132.64,1812,46.81,51.53,58.82
2025-03-05 12:00,1019.19,1162.64,1266.44,1314.13,1812,56.25,64.16,69.89
2025-03-05 13:00,1086.55,1215.45,1368.46,1187.41,1812,59.96,67.08,75.52
2025-03-05 14:00,917.71,1087.41,1148.42,1028.72,1812,50.65,60.01,63.38
2025-03-05 15:00,675.25,833.81,867.4,923.04,1812,37.27,46.02,47.87
2025-03-05 16:00,345.57,517.14,529.75,566.93,1812,19.07,28.54,29.24
2025-03-05 17:00,98.02,151.67,169.39,154.6,1812,5.41,8.37,9.35
2025-03-05 18:00,3.51,6.08,7.51,32.89,1812,0.19,0.34,0.41
2025-03-05 19:00,0,0,0,41.82,1812,0,0,0
2025-03-05 20:00,0,0,0,13.3,1812,0,0,0
2025-03-05 21:00,0,0,0,0,1812,0,0,0
2025-03-05 22:00,0,0,0,0,1812,0,0,0
2025-03-05 23:00,0,0,0,0,1812,0,0,0
2025-03-06 00:00,0,0,0,0,1812,0,0,0
2025-03-06 01:00,0,0,0,0,1812,0,0,0
2025-03-06 02:00,0,0,0,0,1812,0,0,0
2025-03-06 03:00,0,0,0,0,1812,0,0,0
2025-03-06 04:00,0,0,0,0,1812,0,0,0
2025-03-06 05:00,0,0,0,0,1812,0,0,0
2025-03-06 06:00,0.58,1.64,3,0,1812,0.03,0.09,0.17
2025-03-06 07:00,128.17,147.9,177.33,109.26,1812,7.07,8.16,9.79
2025-03-06 08:00,544.47,591.36,701.31,767.93,1812,30.05,32.64,38.7
2025-03-06 09:00,980.69,1062.45,1218.91,1365.38,1812,54.12,58.63,67.27
2025-03-06 10:00,1411.8,1494.82,1603.75,1562.13,1812,77.91,82.5,88.51
2025-03-06 11:00,1465.23,1525.8,1600.68,1558.64,1812,80.86,84.21,88.34
2025-03-06 12:00,1492.24,1537.3,1605.38,1412.61,1812,82.35,84.84,88.6
2025-03-06 13:00,1432.2,1526.64,1592.65,1494.54,1812,79.04,84.25,87.89
2025-03-06 14:00,1267.05,1360.99,1417.27,1536.03,1812,69.93,75.11,78.22
2025-03-06 15:00,1234.25,1316.89,1343.37,1516.31,1812,68.12,72.68,74.14
2025-03-06 16:00,820.45,880.2,904.61,1171.54,1812,45.28,48.58,49.92
2025-03-06 17:00,257,297.04,316.82,408.33,1812,14.18,16.39,17.48
2025-03-06 18:00,16.07,19.12,20,37.18,1812,0.89,1.06,1.1
2025-03-06 19:00,0,0,0,15.9,1812,0,0,0
2025-03-06 20:00,0,0,0,3.67,1812,0,0,0
2025-03-06 21:00,0,0,0,0,1812,0,0,0
2025-03-06 22:00,0,0,0,0,1812,0,0,0
2025-03-06 23:00,0,0,0,0,1812,0,0,0
2025-03-07 00:00,0.09,0.09,0.09,,1812,0,0,0
2025-03-07 01:00,0,0,0,,1812,0,0,0
2025-03-07 02:00,0,0,0,,1812,0,0,0
2025-03-07 03:00,0,0,0,,1812,0,0,0
2025-03-07 04:00,0,0,0,,1812,0,0,0
2025-03-07 05:00,0,0,0,,1812,0,0,0
2025-03-07 06:00,1.53,2.58,3.59,,1812,0.08,0.14,0.2
2025-03-07 07:00,149.26,192.42,218.72,,1812,8.24,10.62,12.07
2025-03-07 08:00,657.19,746.29,786.49,,1812,36.27,41.19,43.4
2025-03-07 09:00,1211.56,1271.25,1303.11,,1812,66.86,70.16,71.92
2025-03-07 10:00,1415.54,1451.67,1477.55,,1812,78.12,80.11,81.54
2025-03-07 11:00,1437.43,1469.15,1495.16,,1812,79.33,81.08,82.51
2025-03-07 12:00,1428.35,1462.37,1497.01,,1812,78.83,80.7,82.62
2025-03-07 13:00,1439.89,1477.5,1516.4,,1812,79.46,81.54,83.69
2025-03-07 14:00,1432.18,1466.57,1500.89,,1812,79.04,80.94,82.83
2025-03-07 15:00,1263.89,1296.3,1327.86,,1812,69.75,71.54,73.28
2025-03-07 16:00,783.17,821.79,875.72,,1812,43.22,45.35,48.33
2025-03-07 17:00,228.14,249.32,287.7,,1812,12.59,13.76,15.88
2025-03-07 18:00,13.1,14.98,16.95,,1812,0.72,0.83,0.94
2025-03-07 19:00,0,0,0,,1812,0,0,0
2025-03-07 20:00,0,0,0,,1812,0,0,0
2025-03-07 21:00,0,0,0,,1812,0,0,0
2025-03-07 22:00,0,0,0,,1812,0,0,0
2025-03-07 23:00,0,0,0,,1812,0,0,0
2025-03-08 00:00,0,0,0,,1812,0,0,0
2025-03-08 01:00,0,0,0,,1812,0,0,0
2025-03-08 02:00,0,0,0,,1812,0,0,0
2025-03-08 03:00,0,0,0,,1812,0,0,0
2025-03-08 04:00,0,0,0,,1812,0,0,0
2025-03-08 05:00,0,0,0,,1812,0,0,0
2025-03-08 06:00,1.9,3.48,4.02,,1812,0.1,0.19,0.22
2025-03-08 07:00,102.05,183.4,221.51,,1812,5.63,10.12,12.22
2025-03-08 08:00,363.81,663.73,710.69,,1812,20.08,36.63,39.22
2025-03-08 09:00,612.02,989.69,1042.35,,1812,33.78,54.62,57.52
2025-03-08 10:00,682.91,1045.57,1110.73,,1812,37.69,57.7,61.3
2025-03-08 11:00,708.35,1033.42,1083.96,,1812,39.09,57.03,59.82
2025-03-08 12:00,720.1,1040.55,1110.7,,1812,39.74,57.43,61.3
2025-03-08 13:00,771.44,1052.02,1254.87,,1812,42.57,58.06,69.25
2025-03-08 14:00,718.4,1034.37,1369.39,,1812,39.65,57.08,75.57
2025-03-08 15:00,658.1,960.89,1280.79,,1812,36.32,53.03,70.68
2025-03-08 16:00,446.1,663.94,852.3,,1812,24.62,36.64,47.04
2025-03-08 17:00,132.6,212.39,269.48,,1812,7.32,11.72,14.87
2025-03-08 18:00,7,12.6,16.88,,1812,0.39,0.7,0.93
2025-03-08 19:00,0,0,0,,1812,0,0,0
2025-03-08 20:00,0,0,0,,1812,0,0,0
2025-03-08 21:00,0,0,0,,1812,0,0,0
2025-03-08 22:00,0,0,0,,1812,0,0,0
2025-03-08 23:00,0,0,0,,1812,0,0,0
2025-03-09 00:00,0,0,0,,1812,0,0,0
2025-03-09 01:00,0,0,0,,1812,0,0,0
2025-03-09 03:00,0,0,0,,1812,0,0,0
2025-03-09 04:00,0,0,0,,1812,0,0,0
2025-03-09 05:00,0,0,0,,1812,0,0,0
2025-03-09 06:00,0,0,0,,1812,0,0,0
2025-03-09 07:00,1.28,2.99,4.08,,1812,0.07,0.17,0.23
2025-03-09 08:00,84.2,159.79,179.36,,1812,4.65,8.82,9.9
2025-03-09 09:00,347.48,587.73,671.09,,1812,19.18,32.44,37.04
2025-03-09 10:00,652.36,987.04,1058.25,,1812,36,54.47,58.4
2025-03-09 11:00,803.27,1214.67,1302.97,,1812,44.33,67.03,71.91
2025-03-09 12:00,885.73,1266.95,1332.3,,1812,48.88,69.92,73.53
2025-03-09 13:00,963.47,1282.61,1365.29,,1812,53.17,70.78,75.35
2025-03-09 14:00,982.98,1270.34,1393.63,,1812,54.25,70.11,76.91
2025-03-09 15:00,830.07,1158.25,1380.11,,1812,45.81,63.92,76.17
2025-03-09 16:00,472.04,958.09,1237.22,,1812,26.05,52.87,68.28
2025-03-09 17:00,226.29,611.74,832.26,,1812,12.49,33.76,45.93
2025-03-09 18:00,61.79,193.73,250.6,,1812,3.41,10.69,13.83
2025-03-09 19:00,3.7,12.71,16.23,,1812,0.2,0.7,0.9
2025-03-09 20:00,0,0,0,,1812,0,0,0
2025-03-09 21:00,0,0,0,,1812,0,0,0
2025-03-09 22:00,0,0,0,,1812,0,0,0
2025-03-09 23:00,0,0,0,,1812,0,0,0
2025-03-10 00:00,0,0,0,,1812,0,0,0
2025-03-10 01:00,0,0,0,,1812,0,0,0
2025-03-10 02:00,0,0,0,,1812,0,0,0
2025-03-10 03:00,0,0,0,,1812,0,0,0
2025-03-10 04:00,0,0,0,,1812,0,0,0
2025-03-10 05:00,0,0,0,,1812,0,0,0
2025-03-10 06:00,0,0,0,,1812,0,0,0
2025-03-10 07:00,0.71,1.57,3.26,,1812,0.04,0.09,0.18
2025-03-10 08:00,47.29,87.97,164.6,,1812,2.61,4.85,9.08
2025-03-10 09:00,186.94,360.52,658.79,,1812,10.32,19.9,36.36
2025-03-10 10:00,356.88,683.69,1157.69,,1812,19.7,37.73,63.89
2025-03-10 11:00,520.89,919.52,1383.08,,1812,28.75,50.75,76.33
2025-03-10 12:00,623.99,1062.63,1447.82,,1812,34.44,58.64,79.9
2025-03-10 13:00,713.1,1177.81,1458.46,,1812,39.35,65,80.49
2025-03-10 14:00,706.66,1280.44,1470.7,,1812,39,70.66,81.16
2025-03-10 15:00,592.36,1327.88,1447.31,,1812,32.69,73.28,79.87
2025-03-10 16:00,432.1,1240.13,1282.32,,1812,23.85,68.44,70.77
2025-03-10 17:00,223.21,878.15,900.36,,1812,12.32,48.46,49.69
2025-03-10 18:00,58.66,296.95,319.07,,1812,3.24,16.39,17.61
2025-03-10 19:00,3.35,20.45,22.83,,1812,0.18,1.13,1.26
2025-03-10 20:00,0,0,0,,1812,0,0,0
2025-03-10 21:00,0,0,0,,1812,0,0,0
2025-03-10 22:00,0,0,0,,1812,0,0,0
2025-03-10 23:00,0,0,0,,1812,0,0,0
2025-03-11 00:00,0,0,0,,1812,0,0,0
2025-03-11 01:00,0,0,0,,1812,0,0,0
2025-03-11 02:00,0,0,0,,1812,0,0,0
2025-03-11 03:00,0,0,0,,1812,0,0,0
2025-03-11 04:00,0,0,0,,1812,0,0,0
2025-03-11 05:00,0,0,0,,1812,0,0,0
2025-03-11 06:00,0,0,0,,1812,0,0,0
2025-03-11 07:00,0.85,2.1,3.84,,1812,0.05,0.12,0.21
2025-03-11 08:00,41.94,111.86,185.37,,1812,2.31,6.17,10.23
2025-03-11 09:00,165.47,413.68,674.49,,1812,9.13,22.83,37.22
2025-03-11 10:00,299.41,648.13,1013.14,,1812,16.52,35.77,55.91
2025-03-11 11:00,404.79,756.27,1126.13,,1812,22.34,41.74,62.15
2025-03-11 12:00,516.43,828.55,1159.44,,1812,28.5,45.73,63.99
2025-03-11 13:00,640.28,917.81,1212.4,,1812,35.34,50.65,66.91
2025-03-11 14:00,695.16,973.93,1267.28,,1812,38.36,53.75,69.94
2025-03-11 15:00,663.03,954.55,1255.41,,1812,36.59,52.68,69.28
2025-03-11 16:00,589.51,871.72,1159.7,,1812,32.53,48.11,64
2025-03-11 17:00,357.68,599.58,845.67,,1812,19.74,33.09,46.67
2025-03-11 18:00,109.64,204.58,301.48,,1812,6.05,11.29,16.64
2025-03-11 19:00,7.76,13.82,20.12,,1812,0.43,0.76,1.11
2025-03-11 20:00,0,0,0,,1812,0,0,0
2025-03-11 21:00,0,0,0,,1812,0,0,0
2025-03-11 22:00,0,0,0,,1812,0,0,0
2025-03-11 23:00,0,0,0,,1812,0,0,0
2025-03-12 00:00,0,0,0,,1812,0,0,0
2025-03-12 01:00,0,0,0,,1812,0,0,0
2025-03-12 02:00,0,0,0,,1812,0,0,0
2025-03-12 03:00,0,0,0,,1812,0,0,0
2025-03-12 04:00,0,0,0,,1812,0,0,0
2025-03-12 05:00,0,0,0,,1812,0,0,0
2025-03-12 06:00,0,0,0,,1812,0,0,0
2025-03-12 07:00,1.61,3.35,3.74,,1812,0.09,0.18,0.21
2025-03-12 08:00,59.94,124.28,135.35,,1812,3.31,6.86,7.47
2025-03-12 09:00,223.1,423.5,475.99,,1812,12.31,23.37,26.27
2025-03-12 10:00,399.55,679.19,728.94,,1812,22.05,37.48,40.23
2025-03-12 11:00,526.4,799.51,843.59,,1812,29.05,44.12,46.56
2025-03-12 12:00,626.19,883.32,1003.64,,1812,34.56,48.75,55.39
2025-03-12 13:00,722.23,958.61,1108.79,,1812,39.86,52.9,61.19
2025-03-12 14:00,727.35,970.07,1144.05,,1812,40.14,53.54,63.14
2025-03-12 15:00,629.71,905.6,1119.8,,1812,34.75,49.98,61.8
2025-03-12 16:00,490.1,789.19,1020.32,,1812,27.05,43.55,56.31
2025-03-12 17:00,279.66,522.59,694.48,,1812,15.43,28.84,38.33
2025-03-12 18:00,79.45,168.35,226.34,,1812,4.38,9.29,12.49
2025-03-12 19:00,5.4,11.96,16.18,,1812,0.3,0.66,0.89
2025-03-12 20:00,0,0,0,,1812,0,0,0
2025-03-12 21:00,0,0,0,,1812,0,0,0
2025-03-12 22:00,0,0,0,,1812,0,0,0
2025-03-12 23:00,0,0,0,,1812,0,0,0
2025-03-13 00:00,0,0,0,,1812,0,0,0
2025-03-13 01:00,0,0,0,,1812,0,0,0
2025-03-13 02:00,0,0,0,,1812,0,0,0
2025-03-13 03:00,0,0,0,,1812,0,0,0
2025-03-13 04:00,0,0,0,,1812,0,0,0
2025-03-13 05:00,0,0,0,,1812,0,0,0
2025-03-13 06:00,0,0,0,,1812,0,0,0
2025-03-13 07:00,0.01,4.61,9.55,,1812,0,0.25,0.53
2025-03-13 08:00,6.02,125.3,249.21,,1812,0.33,6.92,13.75
2025-03-13 09:00,40.92,403.43,779.16,,1812,2.26,22.26,43
2025-03-13 10:00,102.63,601.4,1120.88,,1812,5.66,33.19,61.86
2025-03-13 11:00,173.27,682.91,1212.42,,1812,9.56,37.69,66.91
2025-03-13 12:00,269.75,728.64,1206.33,,1812,14.89,40.21,66.57
2025-03-13 13:00,353.67,768.56,1201.83,,1812,19.52,42.42,66.33
