Forecast Transaction Date,Min,Most Likely,Max,Actual,MCR,Pct Min,Pct Most Likely,Pct Max
2025-03-06 22:20,0,0,0,0,1812,0,0,0
2025-03-06 22:30,0,0,0,0,1812,0,0,0
2025-03-06 22:40,0,0,0,0,1812,0,0,0
2025-03-06 22:50,0,0,0,0,1812,0,0,0
2025-03-06 23:00,0,0,0,0,1812,0,0,0
2025-03-06 23:10,0,0,0,0,1812,0,0,0
2025-03-06 23:20,0,0,0,0,1812,0,0,0
2025-03-06 23:30,0,0,0,0,1812,0,0,0
2025-03-06 23:40,0,0,0,0,1812,0,0,0
2025-03-06 23:50,0,0,0,0,1812,0,0,0
2025-03-07 00:00,0,0,0,0,1812,0,0,0
2025-03-07 00:10,0,0,0,0,1812,0,0,0
2025-03-07 00:20,0,0,0,,1812,0,0,0
2025-03-07 00:30,0,0,0,,1812,0,0,0
2025-03-07 00:40,0,0,0,,1812,0,0,0
2025-03-07 00:50,0,0,0,,1812,0,0,0
2025-03-07 01:00,0,0,0,,1812,0,0,0
2025-03-07 01:10,0,0,0,,1812,0,0,0
2025-03-07 01:20,0,0,0,,1812,0,0,0
2025-03-07 01:30,0,0,0,,1812,0,0,0
2025-03-07 01:40,0,0,0,,1812,0,0,0
2025-03-07 01:50,0,0,0,,1812,0,0,0
2025-03-07 02:00,0,0,0,,1812,0,0,0
2025-03-07 02:10,0,0,0,,1812,0,0,0
2025-03-07 02:20,0,0,0,,1812,0,0,0
2025-03-07 02:30,0,0,0,,1812,0,0,0
2025-03-07 02:40,0,0,0,,1812,0,0,0
2025-03-07 02:50,0,0,0,,1812,0,0,0
2025-03-07 03:00,0,0,0,,1812,0,0,0
2025-03-07 03:10,0,0,0,,1812,0,0,0
2025-03-07 03:20,0,0,0,,1812,0,0,0
2025-03-07 03:30,0,0,0,,1812,0,0,0
2025-03-07 03:40,0,0,0,,1812,0,0,0
2025-03-07 03:50,0,0,0,,1812,0,0,0
2025-03-07 04:00,0,0,0,,1812,0,0,0
2025-03-07 04:10,0,0,0,,1812,0,0,0
2025-03-07 04:20,0,0,0,,1812,0,0,0
2025-03-07 04:30,0,0,0,,1812,0,0,0
2025-03-07 04:40,0,0,0,,1812,0,0,0
2025-03-07 04:50,0,0,0,,1812,0,0,0
2025-03-07 05:00,0,0,0,,1812,0,0,0
2025-03-07 05:10,0,0,0,,1812,0,0,0
2025-03-07 05:20,0,0,0,,1812,0,0,0
2025-03-07 05:30,0,0,0,,1812,0,0,0
2025-03-07 05:40,0,0,0,,1812,0,0,0
2025-03-07 05:50,0,0,0,,1812,0,0,0
2025-03-07 06:00,0,0,0,,1812,0,0,0
2025-03-07 06:10,0,0,0,,1812,0,0,0
2025-03-07 06:20,0,0,0,,1812,0,0,0
2025-03-07 06:30,0.08,0.26,0.95,,1812,0,0.01,0.05
2025-03-07 06:40,1.06,2.07,4.24,,1812,0.06,0.11,0.23
2025-03-07 06:50,8.05,13.16,16.37,,1812,0.44,0.73,0.9
2025-03-07 07:00,28.7,38.51,43.7,,1812,1.58,2.13,2.41
2025-03-07 07:10,65.56,81.35,90.46,,1812,3.62,4.49,4.99
2025-03-07 07:20,113.08,144.56,162.9,,1812,6.24,7.98,8.99
2025-03-07 07:30,166.34,216.15,246.06,,1812,9.18,11.93,13.58
2025-03-07 07:40,225.57,294.04,336.71,,1812,12.45,16.23,18.58
2025-03-07 07:50,296.32,379.89,432.48,,1812,16.35,20.97,23.87
2025-03-07 08:00,380.38,471.61,525.9,,1812,20.99,26.03,29.02
2025-03-07 08:10,479.98,570.4,615.92,,1812,26.49,31.48,33.99
2025-03-07 08:20,595.27,683.19,711.23,,1812,32.85,37.7,39.25
2025-03-07 08:30,712.89,801.84,827.47,,1812,39.34,44.25,45.67
2025-03-07 08:40,829.43,922.3,964.36,,1812,45.77,50.9,53.22
2025-03-07 08:50,945.18,1028.39,1074.07,,1812,52.16,56.75,59.28
2025-03-07 09:00,1047.05,1119.92,1163.52,,1812,57.78,61.81,64.21
2025-03-07 09:10,1129.59,1195.39,1233.1,,1812,62.34,65.97,68.05
2025-03-07 09:20,1192.98,1257.52,1289.6,,1812,65.84,69.4,71.17
2025-03-07 09:30,1250.4,1310.71,1338.42,,1812,69.01,72.33,73.86
2025-03-07 09:40,1303.71,1354.89,1380.03,,1812,71.95,74.77,76.16
2025-03-07 09:50,1345.63,1389.05,1413.98,,1812,74.26,76.66,78.03
2025-03-07 10:00,1378.73,1416.68,1441.7,,1812,76.09,78.18,79.56
2025-03-07 10:10,1402.26,1437.67,1462.71,,1812,77.39,79.34,80.72
2025-03-07 10:20,1415.42,1451.87,1477.82,,1812,78.11,80.13,81.56
2025-03-07 10:30,1425.13,1462.07,1488.76,,1812,78.65,80.69,82.16
2025-03-07 10:40,1432.81,1468.63,1495.46,,1812,79.07,81.05,82.53
2025-03-07 10:50,1438.91,1473.1,1498.85,,1812,79.41,81.3,82.72
2025-03-07 11:00,1441.74,1474.54,1499.72,,1812,79.57,81.38,82.77
2025-03-07 11:10,1440.71,1472.54,1498.08,,1812,79.51,81.27,82.68
2025-03-07 11:20,1439.55,1470.43,1496.33,,1812,79.45,81.15,82.58
2025-03-07 11:30,1437.57,1468.15,1494.17,,1812,79.34,81.02,82.46
2025-03-07 11:40,1434.44,1465.68,1491.7,,1812,79.16,80.89,82.32
2025-03-07 11:50,1430.55,1463.57,1490.99,,1812,78.95,80.77,82.28
2025-03-07 12:00,1427.27,1461.82,1491.41,,1812,78.77,80.67,82.31
2025-03-07 12:10,1425.26,1460.63,1492.93,,1812,78.66,80.61,82.39
