Forecast Transaction Date,Min,Most Likely,Max,Actual,MCR,Pct Min,Pct Most Likely,Pct Max
2025-03-05 00:00,1999.43,2306.01,2614.83,2076.32,5688,35.15,40.54,45.97
2025-03-05 01:00,1604.32,1909.44,2248.85,1840.45,5688,28.21,33.57,39.54
2025-03-05 02:00,1442.6,1679.06,2090.8,1695.82,5688,25.36,29.52,36.76
2025-03-05 03:00,1342.21,1671.57,2265.02,1362.41,5688,23.6,29.39,39.82
2025-03-05 04:00,1072.47,1491.04,2115.05,1225.68,5688,18.85,26.21,37.18
2025-03-05 05:00,453.45,1197.38,1819.25,1118.91,5688,7.97,21.05,31.98
2025-03-05 06:00,492.76,1180.67,1739.22,931.01,5688,8.66,20.76,30.58
2025-03-05 07:00,547.57,1030.87,1360.03,797.65,5688,9.63,18.12,23.91
2025-03-05 08:00,305.65,683.03,1010.8,634.31,5688,5.37,12.01,17.77
2025-03-05 09:00,292.32,529.23,953.11,525.77,5688,5.14,9.3,16.76
2025-03-05 10:00,201.3,345.29,925.32,386.23,5688,3.54,6.07,16.27
2025-03-05 11:00,119.11,320.12,959.23,451.49,5688,2.09,5.63,16.86
2025-03-05 12:00,218.38,406.4,991.76,556.62,5688,3.84,7.14,17.44
2025-03-05 13:00,385.82,550.95,1041.39,504.95,5688,6.78,9.69,18.31
2025-03-05 14:00,334.39,464.07,849.33,490.07,5688,5.88,8.16,14.93
2025-03-05 15:00,288.39,408.69,738.99,362.92,5688,5.07,7.19,12.99
2025-03-05 16:00,210.4,337.2,650.54,249.39,5688,3.7,5.93,11.44
2025-03-05 17:00,132.03,249.59,528.2,119.25,5688,2.32,4.39,9.29
2025-03-05 18:00,82.88,182.95,478.9,130.57,5688,1.46,3.22,8.42
2025-03-05 19:00,64.88,173.31,536.7,173.29,5688,1.14,3.05,9.44
2025-03-05 20:00,73.77,201.32,397.66,271.27,5688,1.3,3.54,6.99
2025-03-05 21:00,112.51,263.48,339.97,322.77,5688,1.98,4.63,5.98
2025-03-05 22:00,134.76,319.16,416.95,378.79,5688,2.37,5.61,7.33
2025-03-05 23:00,233.43,406.48,530.09,351.68,5688,4.1,7.15,9.32
2025-03-06 00:00,240.12,494.41,738.53,437.67,5688,4.22,8.69,12.98
2025-03-06 01:00,151.48,528.76,849.15,660.17,5688,2.66,9.3,14.93
2025-03-06 02:00,309.74,705.13,1111.46,911.46,5688,5.45,12.4,19.54
2025-03-06 03:00,576.02,983.82,1494.98,1088.27,5688,10.13,17.3,26.28
2025-03-06 04:00,663.38,1204.7,1738.06,1190.99,5688,11.66,21.18,30.56
2025-03-06 05:00,696.5,1273.51,1897.27,1291.25,5688,12.25,22.39,33.36
2025-03-06 06:00,700.51,1317.97,1944.06,1355.47,5688,12.32,23.17,34.18
2025-03-06 07:00,749.72,1303.07,1705.64,1356.55,5688,13.18,22.91,29.99
2025-03-06 08:00,566.06,1212.91,1612.97,1212.32,5688,9.95,21.32,28.36
2025-03-06 09:00,510.71,1035.25,1420.48,931.56,5688,8.98,18.2,24.97
2025-03-06 10:00,406.75,765.05,1144.32,654.4,5688,7.15,13.45,20.12
2025-03-06 11:00,369.7,590.55,836.27,600.8,5688,6.5,10.38,14.7
2025-03-06 12:00,294.8,482.79,681.81,564.48,5688,5.18,8.49,11.99
2025-03-06 13:00,331.02,516.37,643.03,485.3,5688,5.82,9.08,11.31
2025-03-06 14:00,330.9,498.39,618.72,438.34,5688,5.82,8.76,10.88
2025-03-06 15:00,292.98,461.97,570.38,431.09,5688,5.15,8.12,10.03
2025-03-06 16:00,322.16,499.12,649.89,423.23,5688,5.66,8.77,11.43
2025-03-06 17:00,304.42,504.11,626.2,432.95,5688,5.35,8.86,11.01
2025-03-06 18:00,351.48,559.82,733.79,490.16,5688,6.18,9.84,12.9
2025-03-06 19:00,447.49,671.56,873.44,548.35,5688,7.87,11.81,15.36
2025-03-06 20:00,413.9,863.34,1214.77,762.91,5688,7.28,15.18,21.36
2025-03-06 21:00,570.48,1151.21,1774.89,1265,5688,10.03,20.24,31.2
2025-03-06 22:00,937.15,1795.39,2350.82,2130.55,5688,16.48,31.56,41.33
2025-03-06 23:00,1645.55,2557.51,3123.16,2665.11,5688,28.93,44.96,54.91
2025-03-07 00:00,2360.54,2979.01,3269.53,,5688,41.5,52.37,57.48
2025-03-07 01:00,2154.27,3060.11,3503.95,,5688,37.87,53.8,61.6
2025-03-07 02:00,2150.69,3096.83,3538.99,,5688,37.81,54.44,62.22
2025-03-07 03:00,2071.1,3131.97,3602.59,,5688,36.41,55.06,63.34
2025-03-07 04:00,1969.65,3123.86,3583.09,,5688,34.63,54.92,62.99
2025-03-07 05:00,1873.96,3014.08,3391.46,,5688,32.95,52.99,59.62
2025-03-07 06:00,1796.54,2792.19,3174.56,,5688,31.58,49.09,55.81
2025-03-07 07:00,1658.99,2509.78,2989.88,,5688,29.17,44.12,52.56
2025-03-07 08:00,1310.48,2127.69,2720.88,,5688,23.04,37.41,47.84
2025-03-07 09:00,1073.35,1686.09,2353.17,,5688,18.87,29.64,41.37
2025-03-07 10:00,1089.81,1408.29,1980.36,,5688,19.16,24.76,34.82
2025-03-07 11:00,1012.5,1408.16,1833.08,,5688,17.8,24.76,32.23
2025-03-07 12:00,1062.54,1545.15,1904.58,,5688,18.68,27.17,33.48
2025-03-07 13:00,1210.92,1674.89,1993.45,,5688,21.29,29.45,35.05
2025-03-07 14:00,1366.65,1742.77,2065.36,,5688,24.03,30.64,36.31
2025-03-07 15:00,1450.79,1777.42,2080.14,,5688,25.51,31.25,36.57
2025-03-07 16:00,1496.72,1811.79,2063.8,,5688,26.31,31.85,36.28
2025-03-07 17:00,1491.97,1913.45,2139.59,,5688,26.23,33.64,37.62
2025-03-07 18:00,1730,2204.08,2628.25,,5688,30.41,38.75,46.21
2025-03-07 19:00,2153.77,2588.76,3064.11,,5688,37.87,45.51,53.87
2025-03-07 20:00,2402.02,2898.9,3225.36,,5688,42.23,50.97,56.7
2025-03-07 21:00,2677.09,3128.28,3438.05,,5688,47.07,55,60.44
2025-03-07 22:00,2842.55,3302.36,3708.25,,5688,49.97,58.06,65.19
2025-03-07 23:00,2855.96,3413.87,3902.97,,5688,50.21,60.02,68.62
2025-03-08 00:00,2920.99,3557.19,4109.65,,5688,51.35,62.54,72.25
2025-03-08 01:00,2827.86,3598.63,4141.57,,5688,49.72,63.27,72.81
2025-03-08 02:00,2704.08,3612.27,4112.5,,5688,47.54,63.51,72.3
2025-03-08 03:00,2674.55,3572.99,4084.26,,5688,47.02,62.82,71.8
2025-03-08 04:00,2671.78,3549.27,4061.87,,5688,46.97,62.4,71.41
2025-03-08 05:00,2599.92,3559.14,4034.73,,5688,45.71,62.57,70.93
2025-03-08 06:00,2584.39,3567.04,4004.61,,5688,45.44,62.71,70.4
2025-03-08 07:00,2662.06,3547.56,3972.67,,5688,46.8,62.37,69.84
2025-03-08 08:00,2667.31,3539.21,3948.17,,5688,46.89,62.22,69.41
2025-03-08 09:00,2643.62,3458.59,3935.57,,5688,46.48,60.81,69.19
2025-03-08 10:00,2749.23,3410.91,3929.78,,5688,48.33,59.97,69.09
2025-03-08 11:00,2909.21,3585.55,4055.96,,5688,51.15,63.04,71.31
2025-03-08 12:00,3072.84,3805.86,4270.96,,5688,54.02,66.91,75.09
2025-03-08 13:00,3249.95,3973.46,4424.08,,5688,57.14,69.86,77.78
2025-03-08 14:00,3469.95,4074.37,4413.15,,5688,61,71.63,77.59
2025-03-08 15:00,3539.65,4075.32,4376.55,,5688,62.23,71.65,76.94
2025-03-08 16:00,3484.94,4060.61,4431.62,,5688,61.27,71.39,77.91
2025-03-08 17:00,3571.69,4042.48,4540.23,,5688,62.79,71.07,79.82
2025-03-08 18:00,3698.82,4097.08,4616.1,,5688,65.03,72.03,81.16
2025-03-08 19:00,3824.51,4147.41,4639.87,,5688,67.24,72.92,81.57
