,begin_datetime_mpt,alberta_internal_load,forecast_alberta_internal_load
0,2024-06-01 00:00,8703,8662
1,2024-06-01 01:00,8724,8625
2,2024-06-01 02:00,8657,8649
3,2024-06-01 03:00,8634,8632
4,2024-06-01 04:00,8606,8632
5,2024-06-01 05:00,8556,8541
6,2024-06-01 06:00,8643,8599
7,2024-06-01 07:00,8883,8829
8,2024-06-01 08:00,9092,9112
9,2024-06-01 09:00,9268,9262
10,2024-06-01 10:00,9365,9370
11,2024-06-01 11:00,9411,9406
12,2024-06-01 12:00,9450,9444
13,2024-06-01 13:00,9474,9443
14,2024-06-01 14:00,9397,9464
15,2024-06-01 15:00,9404,9382
16,2024-06-01 16:00,9456,9435
17,2024-06-01 17:00,9516,9443
18,2024-06-01 18:00,9497,9455
19,2024-06-01 19:00,9419,9398
20,2024-06-01 20:00,9379,9348
21,2024-06-01 21:00,9349,9317
22,2024-06-01 22:00,9346,9324
23,2024-06-01 23:00,9090,9156
24,2024-06-02 00:00,8841,8920
25,2024-06-02 01:00,8664,8721
26,2024-06-02 02:00,8591,8589
27,2024-06-02 03:00,8579,8555
28,2024-06-02 04:00,8559,8556
29,2024-06-02 05:00,8499,8492
30,2024-06-02 06:00,8479,8499
31,2024-06-02 07:00,8614,8599
32,2024-06-02 08:00,8828,8850
33,2024-06-02 09:00,9005,9031
34,2024-06-02 10:00,9134,9170
35,2024-06-02 11:00,9205,9237
36,2024-06-02 12:00,9341,9247
37,2024-06-02 13:00,9421,9373
38,2024-06-02 14:00,9403,9402
39,2024-06-02 15:00,9500,9426
40,2024-06-02 16:00,9581,9575
41,2024-06-02 17:00,9709,9670
42,2024-06-02 18:00,9659,9680
43,2024-06-02 19:00,9585,9592
44,2024-06-02 20:00,9461,9505
45,2024-06-02 21:00,9481,9384
46,2024-06-02 22:00,9430,9405
47,2024-06-02 23:00,9222,9181
48,2024-06-03 00:00,8928,9012
49,2024-06-03 01:00,8737,8756
50,2024-06-03 02:00,8641,8654
51,2024-06-03 03:00,8650,8633
52,2024-06-03 04:00,8693,8654
53,2024-06-03 05:00,8784,8753
54,2024-06-03 06:00,9139,9052
55,2024-06-03 07:00,9612,9534
56,2024-06-03 08:00,9772,9837
57,2024-06-03 09:00,9965,9931
58,2024-06-03 10:00,10097,10114
59,2024-06-03 11:00,10214,10167
60,2024-06-03 12:00,10222,10221
61,2024-06-03 13:00,10296,10262
62,2024-06-03 14:00,10305,10270
63,2024-06-03 15:00,10307,10349
64,2024-06-03 16:00,10255,10282
65,2024-06-03 17:00,10154,10190
66,2024-06-03 18:00,10023,9965
67,2024-06-03 19:00,9894,9948
68,2024-06-03 20:00,9778,9763
69,2024-06-03 21:00,9612,9648
70,2024-06-03 22:00,9414,9516
71,2024-06-03 23:00,9075,9142
72,2024-06-04 00:00,8863,8875
73,2024-06-04 01:00,8764,8774
74,2024-06-04 02:00,8692,8728
75,2024-06-04 03:00,8722,8679
76,2024-06-04 04:00,8834,8715
77,2024-06-04 05:00,8915,8874
78,2024-06-04 06:00,9254,9139
79,2024-06-04 07:00,9646,9613
80,2024-06-04 08:00,9724,9839
81,2024-06-04 09:00,9883,9825
82,2024-06-04 10:00,9996,10023
83,2024-06-04 11:00,10043,10039
84,2024-06-04 12:00,10068,10057
85,2024-06-04 13:00,10104,10070
86,2024-06-04 14:00,10076,10095
87,2024-06-04 15:00,10100,10083
88,2024-06-04 16:00,10082,10112
89,2024-06-04 17:00,9965,9995
90,2024-06-04 18:00,9887,9814
91,2024-06-04 19:00,9809,9840
92,2024-06-04 20:00,9618,9698
93,2024-06-04 21:00,9415,9478
94,2024-06-04 22:00,9228,9286
95,2024-06-04 23:00,9019,9018
96,2024-06-05 00:00,8856,8810
97,2024-06-05 01:00,8736,8736
98,2024-06-05 02:00,8644,8673
99,2024-06-05 03:00,8617,8623
100,2024-06-05 04:00,8689,8635
101,2024-06-05 05:00,8782,8752
102,2024-06-05 06:00,9094,8993
103,2024-06-05 07:00,9512,9490
104,2024-06-05 08:00,9677,9710
105,2024-06-05 09:00,9789,9767
106,2024-06-05 10:00,9880,9900
107,2024-06-05 11:00,9930,9942
108,2024-06-05 12:00,9940,9945
109,2024-06-05 13:00,9995,9983
110,2024-06-05 14:00,9995,10016
111,2024-06-05 15:00,9950,9979
112,2024-06-05 16:00,10055,9983
113,2024-06-05 17:00,10090,10053
114,2024-06-05 18:00,9913,9931
115,2024-06-05 19:00,9788,9799
116,2024-06-05 20:00,9704,9618
117,2024-06-05 21:00,9597,9631
118,2024-06-05 22:00,9475,9500
119,2024-06-05 23:00,9174,9229
120,2024-06-06 00:00,8893,8963
121,2024-06-06 01:00,8747,8769
122,2024-06-06 02:00,8669,8682
123,2024-06-06 03:00,8672,8657
124,2024-06-06 04:00,8675,8683
125,2024-06-06 05:00,8725,8685
126,2024-06-06 06:00,9004,8969
127,2024-06-06 07:00,9362,9339
128,2024-06-06 08:00,9600,9608
129,2024-06-06 09:00,9693,9720
130,2024-06-06 10:00,9693,9787
131,2024-06-06 11:00,9746,9736
132,2024-06-06 12:00,9746,9747
133,2024-06-06 13:00,9802,9787
134,2024-06-06 14:00,9788,9815
135,2024-06-06 15:00,9883,9821
136,2024-06-06 16:00,10003,9940
137,2024-06-06 17:00,10053,10006
138,2024-06-06 18:00,9920,9922
139,2024-06-06 19:00,9891,9849
140,2024-06-06 20:00,9795,9766
141,2024-06-06 21:00,9630,9694
142,2024-06-06 22:00,9501,9521
143,2024-06-06 23:00,9199,9275
144,2024-06-07 00:00,8969,8983
145,2024-06-07 01:00,8879,8835
146,2024-06-07 02:00,8782,8838
147,2024-06-07 03:00,8744,8767
148,2024-06-07 04:00,8731,8748
149,2024-06-07 05:00,8819,8772
150,2024-06-07 06:00,9164,9041
151,2024-06-07 07:00,9533,9548
152,2024-06-07 08:00,9749,9691
153,2024-06-07 09:00,9825,9876
154,2024-06-07 10:00,9932,9911
155,2024-06-07 11:00,9976,9985
156,2024-06-07 12:00,10042,10027
157,2024-06-07 13:00,10097,10068
158,2024-06-07 14:00,10110,10089
159,2024-06-07 15:00,10065,10077
160,2024-06-07 16:00,10049,10023
161,2024-06-07 17:00,10021,10017
162,2024-06-07 18:00,9916,9854
163,2024-06-07 19:00,9841,9829
164,2024-06-07 20:00,9755,9719
165,2024-06-07 21:00,9620,9654
166,2024-06-07 22:00,9548,9568
167,2024-06-07 23:00,9330,9401
168,2024-06-08 00:00,9012,9105
169,2024-06-08 01:00,8807,8885
170,2024-06-08 02:00,8703,8713
171,2024-06-08 03:00,8734,8684
172,2024-06-08 04:00,8805,8751
173,2024-06-08 05:00,8715,8746
174,2024-06-08 06:00,8742,8731
175,2024-06-08 07:00,9035,8941
176,2024-06-08 08:00,9291,9266
177,2024-06-08 09:00,9509,9506
178,2024-06-08 10:00,9664,9641
179,2024-06-08 11:00,9702,9704
180,2024-06-08 12:00,9759,9736
181,2024-06-08 13:00,9655,9749
182,2024-06-08 14:00,9661,9643
183,2024-06-08 15:00,9628,9636
184,2024-06-08 16:00,9701,9719
185,2024-06-08 17:00,9721,9679
186,2024-06-08 18:00,9621,9669
187,2024-06-08 19:00,9492,9468
188,2024-06-08 20:00,9398,9415
189,2024-06-08 21:00,9351,9332
190,2024-06-08 22:00,9293,9381
191,2024-06-08 23:00,9093,9110
192,2024-06-09 00:00,8922,8912
193,2024-06-09 01:00,8793,8795
194,2024-06-09 02:00,8671,8703
195,2024-06-09 03:00,8681,8644
196,2024-06-09 04:00,8706,8682
197,2024-06-09 05:00,8663,8633
198,2024-06-09 06:00,8658,8648
199,2024-06-09 07:00,8807,8775
200,2024-06-09 08:00,9033,9017
201,2024-06-09 09:00,9219,9223
202,2024-06-09 10:00,9373,9377
203,2024-06-09 11:00,9460,9474
204,2024-06-09 12:00,9474,9501
205,2024-06-09 13:00,9440,9470
206,2024-06-09 14:00,9438,9439
207,2024-06-09 15:00,9459,9465
208,2024-06-09 16:00,9501,9581
209,2024-06-09 17:00,9603,9608
210,2024-06-09 18:00,9597,9540
211,2024-06-09 19:00,9497,9570
212,2024-06-09 20:00,9507,9452
213,2024-06-09 21:00,9488,9471
214,2024-06-09 22:00,9415,9385
215,2024-06-09 23:00,9139,9197
216,2024-06-10 00:00,8917,8914
217,2024-06-10 01:00,8773,8802
218,2024-06-10 02:00,8702,8729
219,2024-06-10 03:00,8689,8674
220,2024-06-10 04:00,8709,8713
221,2024-06-10 05:00,8794,8727
222,2024-06-10 06:00,9069,9054
223,2024-06-10 07:00,9474,9452
224,2024-06-10 08:00,9696,9678
225,2024-06-10 09:00,9832,9840
226,2024-06-10 10:00,9934,9955
227,2024-06-10 11:00,10013,9986
228,2024-06-10 12:00,10089,10090
229,2024-06-10 13:00,10115,10108
230,2024-06-10 14:00,10121,10127
231,2024-06-10 15:00,10095,10122
232,2024-06-10 16:00,10177,10145
233,2024-06-10 17:00,10164,10152
234,2024-06-10 18:00,10035,10026
235,2024-06-10 19:00,9937,9910
236,2024-06-10 20:00,9830,9804
237,2024-06-10 21:00,9692,9663
238,2024-06-10 22:00,9599,9601
239,2024-06-10 23:00,9289,9344
240,2024-06-11 00:00,9048,9050
241,2024-06-11 01:00,8840,8916
242,2024-06-11 02:00,8740,8786
243,2024-06-11 03:00,8720,8699
244,2024-06-11 04:00,8762,8723
245,2024-06-11 05:00,8816,8784
246,2024-06-11 06:00,9093,9048
247,2024-06-11 07:00,9537,9479
248,2024-06-11 08:00,9699,9743
249,2024-06-11 09:00,9899,9860
250,2024-06-11 10:00,10052,10025
251,2024-06-11 11:00,10096,10118
252,2024-06-11 12:00,10126,10163
253,2024-06-11 13:00,10221,10177
254,2024-06-11 14:00,10255,10257
255,2024-06-11 15:00,10285,10313
256,2024-06-11 16:00,10340,10308
257,2024-06-11 17:00,10232,10334
258,2024-06-11 18:00,9977,10035
259,2024-06-11 19:00,9798,9829
260,2024-06-11 20:00,9739,9655
261,2024-06-11 21:00,9655,9663
262,2024-06-11 22:00,9511,9564
263,2024-06-11 23:00,9174,9193
264,2024-06-12 00:00,8944,8974
265,2024-06-12 01:00,8822,8819
266,2024-06-12 02:00,8783,8751
267,2024-06-12 03:00,8778,8769
268,2024-06-12 04:00,8766,8760
269,2024-06-12 05:00,8782,8778
270,2024-06-12 06:00,9064,9018
271,2024-06-12 07:00,9400,9449
272,2024-06-12 08:00,9651,9626
273,2024-06-12 09:00,9888,9842
274,2024-06-12 10:00,10003,9976
275,2024-06-12 11:00,10101,10025
276,2024-06-12 12:00,10092,10130
277,2024-06-12 13:00,10146,10116
278,2024-06-12 14:00,10108,10152
279,2024-06-12 15:00,10138,10083
280,2024-06-12 16:00,10191,10157
281,2024-06-12 17:00,10166,10131
282,2024-06-12 18:00,10051,10009
283,2024-06-12 19:00,9963,9933
284,2024-06-12 20:00,9914,9902
285,2024-06-12 21:00,9751,9794
286,2024-06-12 22:00,9660,9637
287,2024-06-12 23:00,9368,9408
288,2024-06-13 00:00,9107,9139
289,2024-06-13 01:00,8944,8986
290,2024-06-13 02:00,8825,8856
291,2024-06-13 03:00,8795,8800
292,2024-06-13 04:00,8814,8828
293,2024-06-13 05:00,8873,8837
294,2024-06-13 06:00,9154,9120
295,2024-06-13 07:00,9590,9540
296,2024-06-13 08:00,9812,9811
297,2024-06-13 09:00,9920,9923
298,2024-06-13 10:00,10004,10014
299,2024-06-13 11:00,10076,10056
300,2024-06-13 12:00,10135,10093
301,2024-06-13 13:00,10206,10183
302,2024-06-13 14:00,10240,10201
303,2024-06-13 15:00,10292,10276
304,2024-06-13 16:00,10348,10329
305,2024-06-13 17:00,10346,10301
306,2024-06-13 18:00,10177,10181
307,2024-06-13 19:00,9990,9979
308,2024-06-13 20:00,9917,9883
309,2024-06-13 21:00,9772,9795
310,2024-06-13 22:00,9700,9695
311,2024-06-13 23:00,9477,9449
312,2024-06-14 00:00,9227,9220
313,2024-06-14 01:00,9100,9099
314,2024-06-14 02:00,9070,9035
315,2024-06-14 03:00,9007,9045
316,2024-06-14 04:00,9034,9015
317,2024-06-14 05:00,9041,9024
318,2024-06-14 06:00,9327,9238
319,2024-06-14 07:00,9739,9686
320,2024-06-14 08:00,9872,9929
321,2024-06-14 09:00,10072,10017
322,2024-06-14 10:00,10187,10205
323,2024-06-14 11:00,10241,10271
324,2024-06-14 12:00,10270,10246
325,2024-06-14 13:00,10400,10355
326,2024-06-14 14:00,10409,10398
327,2024-06-14 15:00,10409,10411
328,2024-06-14 16:00,10404,10396
329,2024-06-14 17:00,10365,10343
330,2024-06-14 18:00,10253,10203
331,2024-06-14 19:00,10147,10161
332,2024-06-14 20:00,10032,10041
333,2024-06-14 21:00,9890,9902
334,2024-06-14 22:00,9800,9792
335,2024-06-14 23:00,9537,9600
336,2024-06-15 00:00,9225,9293
337,2024-06-15 01:00,9053,9049
338,2024-06-15 02:00,8907,8952
339,2024-06-15 03:00,8819,8837
340,2024-06-15 04:00,8810,8779
341,2024-06-15 05:00,8716,8761
342,2024-06-15 06:00,8806,8763
343,2024-06-15 07:00,8976,8984
344,2024-06-15 08:00,9155,9205
345,2024-06-15 09:00,9323,9340
346,2024-06-15 10:00,9491,9497
347,2024-06-15 11:00,9628,9577
348,2024-06-15 12:00,9688,9679
349,2024-06-15 13:00,9686,9685
350,2024-06-15 14:00,9642,9643
351,2024-06-15 15:00,9649,9629
352,2024-06-15 16:00,9699,9699
353,2024-06-15 17:00,9758,9737
354,2024-06-15 18:00,9759,9690
355,2024-06-15 19:00,9671,9674
356,2024-06-15 20:00,9638,9600
357,2024-06-15 21:00,9586,9539
358,2024-06-15 22:00,9476,9582
359,2024-06-15 23:00,9281,9265
360,2024-06-16 00:00,9019,9072
361,2024-06-16 01:00,8822,8901
362,2024-06-16 02:00,8752,8721
363,2024-06-16 03:00,8751,8743
364,2024-06-16 04:00,8755,8753
365,2024-06-16 05:00,8787,8671
366,2024-06-16 06:00,8798,8817
367,2024-06-16 07:00,8875,8914
368,2024-06-16 08:00,9115,9050
369,2024-06-16 09:00,9334,9335
370,2024-06-16 10:00,9428,9469
371,2024-06-16 11:00,9449,9493
372,2024-06-16 12:00,9455,9495
373,2024-06-16 13:00,9447,9464
374,2024-06-16 14:00,9372,9438
375,2024-06-16 15:00,9377,9373
376,2024-06-16 16:00,9424,9485
377,2024-06-16 17:00,9484,9505
378,2024-06-16 18:00,9445,9431
379,2024-06-16 19:00,9414,9379
380,2024-06-16 20:00,9418,9372
381,2024-06-16 21:00,9392,9355
382,2024-06-16 22:00,9331,9357
383,2024-06-16 23:00,9089,9122
384,2024-06-17 00:00,8872,8883
385,2024-06-17 01:00,8801,8772
386,2024-06-17 02:00,8764,8759
387,2024-06-17 03:00,8756,8749
388,2024-06-17 04:00,8786,8784
389,2024-06-17 05:00,8891,8841
390,2024-06-17 06:00,9166,9058
391,2024-06-17 07:00,9589,9546
392,2024-06-17 08:00,9785,9786
393,2024-06-17 09:00,9874,9891
394,2024-06-17 10:00,9972,9966
395,2024-06-17 11:00,10037,10065
396,2024-06-17 12:00,10022,10027
397,2024-06-17 13:00,10032,10049
398,2024-06-17 14:00,10018,10052
399,2024-06-17 15:00,10034,9990
400,2024-06-17 16:00,10041,10030
401,2024-06-17 17:00,9971,9997
402,2024-06-17 18:00,9904,9806
403,2024-06-17 19:00,9831,9770
404,2024-06-17 20:00,9758,9757
405,2024-06-17 21:00,9641,9653
406,2024-06-17 22:00,9498,9556
407,2024-06-17 23:00,9215,9265
408,2024-06-18 00:00,9095,9029
409,2024-06-18 01:00,8971,8953
410,2024-06-18 02:00,8864,8935
411,2024-06-18 03:00,8832,8819
412,2024-06-18 04:00,8871,8827
413,2024-06-18 05:00,8935,8909
414,2024-06-18 06:00,9238,9143
415,2024-06-18 07:00,9586,9594
416,2024-06-18 08:00,9727,9771
