datetime_,pool_price,forecast_pool_price,rolling_30day_avg_price,alberta_internal_load,forecast_alberta_internal_load,solar_generation,wind_generation,temp_calgary,temp_edmonton,temp_fortmc
2024-06-01 00:00:00,30.83,24.3,35.38,8703,8662,0.0,1017.4027847847674,9.9,4.1,5.9
2024-06-01 01:00:00,20.23,23.25,35.36,8724,8625,0.0,1294.3190268467283,6.5,5.1,5.4
2024-06-01 02:00:00,13.56,18.02,35.34,8657,8649,0.0,1678.9652640716236,5.9,5.7,5.1
2024-06-01 03:00:00,10.53,11.0,35.32,8634,8632,0.0,1959.9307834220597,3.4,5.6,5.4
2024-06-01 04:00:00,12.43,10.09,35.31,8606,8632,0.0,1713.4194084483552,4.2,4.7,4.0
2024-06-01 05:00:00,17.28,15.91,35.3,8556,8541,8.830955419441063,1405.417808941313,3.5,4.9,3.1
2024-06-01 06:00:00,20.34,21.9,35.3,8643,8599,280.06792877935703,1132.5856939209916,6.5,8.0,2.7
2024-06-01 07:00:00,21.92,21.96,35.28,8883,8829,852.7451061074767,719.8184205915779,9.9,11.1,2.2
2024-06-01 08:00:00,22.15,22.24,35.27,9092,9112,1167.8810258817011,333.3944870865345,11.9,12.9,3.0
2024-06-01 09:00:00,21.46,22.62,35.27,9268,9262,1269.2994830187165,322.96334658674067,12.6,14.9,4.1
2024-06-01 10:00:00,19.21,19.68,35.26,9365,9370,1348.018761979441,414.3923691432509,15.0,16.7,4.7
2024-06-01 11:00:00,16.95,17.68,35.27,9411,9406,1320.015785090377,661.9098612882486,16.0,17.8,5.2
2024-06-01 12:00:00,14.1,9.15,35.27,9450,9444,1241.3036587637662,833.7501215453115,16.9,18.0,6.0
2024-06-01 13:00:00,21.52,23.36,35.28,9474,9443,1186.1185255800683,789.0843737665813,16.1,18.6,6.6
2024-06-01 14:00:00,22.23,22.27,35.29,9397,9464,1012.1363437514171,762.3939337820435,17.1,19.7,6.8
2024-06-01 15:00:00,22.75,23.2,35.3,9404,9382,947.1625142657756,696.9232280721433,16.8,19.5,7.7
2024-06-01 16:00:00,22.54,22.45,35.29,9456,9435,830.7860733255412,814.8325309497325,16.9,19.4,8.0
2024-06-01 17:00:00,26.0,22.15,35.3,9516,9443,573.3253393060465,939.588702860723,17.3,19.7,7.8
2024-06-01 18:00:00,23.98,26.83,35.3,9497,9455,417.3320759811335,1274.7472661554027,17.2,19.3,8.0
2024-06-01 19:00:00,33.46,21.39,35.32,9419,9398,304.5786082974407,1228.729145857162,15.7,18.3,7.3
2024-06-01 20:00:00,33.38,22.55,35.32,9379,9348,148.8984135992825,1325.6386742393424,15.3,17.3,6.6
2024-06-01 21:00:00,36.24,35.52,35.32,9349,9317,7.884777622355354,1359.9279161526802,14.3,15.6,6.2
2024-06-01 22:00:00,32.59,39.98,35.31,9346,9324,0.2202777777777777,1435.9912351137525,13.3,15.6,5.9
2024-06-01 23:00:00,22.84,25.26,35.25,9090,9156,0.5798332999812232,1713.8778515650497,11.8,13.2,5.7
2024-06-02 00:00:00,25.85,24.31,35.23,8841,8920,0.0,1680.00403377415,9.8,11.8,5.3
2024-06-02 01:00:00,17.58,22.35,35.2,8664,8721,0.0,1958.018490703292,8.8,6.5,4.6
2024-06-02 02:00:00,15.96,14.23,35.17,8591,8589,0.0,1923.1471695498292,8.8,4.5,3.9
2024-06-02 03:00:00,13.34,14.23,35.14,8579,8555,0.0,1968.111105173561,8.5,3.7,3.4
2024-06-02 04:00:00,17.2,14.23,35.11,8559,8556,0.5181666555338436,1672.24511201486,8.6,2.8,3.5
2024-06-02 05:00:00,21.73,22.23,35.08,8499,8492,8.555055419703324,1302.4935098788392,7.2,3.7,3.6
2024-06-02 06:00:00,21.94,22.51,34.97,8479,8499,242.23500742609303,1028.3600599366964,8.0,7.5,4.4
2024-06-02 07:00:00,20.25,20.47,34.89,8614,8599,803.4674660483499,732.0607996068853,10.7,9.8,5.4
2024-06-02 08:00:00,18.89,15.65,34.86,8828,8850,1125.2224750110177,556.0289208705889,12.8,12.2,5.7
2024-06-02 09:00:00,21.07,21.13,34.84,9005,9031,1223.2708324758212,481.9685186598781,14.1,13.2,6.4
2024-06-02 10:00:00,31.51,35.83,34.84,9134,9170,1373.9012007878223,469.5680194580762,15.0,14.6,7.3
2024-06-02 11:00:00,36.14,35.05,34.84,9205,9237,1376.31760661708,430.2016161019603,16.3,15.2,8.1
2024-06-02 12:00:00,37.32,41.14,34.85,9341,9247,1315.6082378762464,739.0179949024362,15.7,15.9,9.3
2024-06-02 13:00:00,37.03,24.13,34.84,9421,9373,1219.7154961512151,952.408827214775,16.4,19.0,9.6
2024-06-02 14:00:00,38.01,37.96,34.85,9403,9402,1190.57406335935,844.9732407486315,17.5,19.5,11.9
2024-06-02 15:00:00,39.0,37.6,34.85,9500,9426,1174.102953153683,701.7584193127271,18.9,20.7,12.3
2024-06-02 16:00:00,39.42,39.97,34.85,9581,9575,1135.629110227012,729.9265005631082,18.4,20.2,13.3
2024-06-02 17:00:00,42.84,38.67,34.86,9709,9670,999.235542195224,901.3272210826436,18.6,19.5,13.3
2024-06-02 18:00:00,65.46,40.61,34.88,9659,9680,706.4104209234317,918.4363984033384,18.3,18.8,12.9
2024-06-02 19:00:00,85.3,74.21,34.91,9585,9592,385.0455744669504,953.9878351228518,17.9,19.0,12.2
2024-06-02 20:00:00,80.17,81.25,34.96,9461,9505,91.65119462632472,1152.1108612474302,16.8,15.5,11.7
2024-06-02 21:00:00,42.41,56.95,34.97,9481,9384,2.7895554958780604,1565.5012703075674,15.7,10.9,9.7
2024-06-02 22:00:00,36.86,37.01,34.97,9430,9405,1.062666647500462,1953.7697840973733,16.4,13.3,9.0
2024-06-02 23:00:00,28.32,33.71,34.97,9222,9181,0.3522222188446257,2200.6575572435227,13.5,13.9,8.5
2024-06-03 00:00:00,30.45,32.61,34.98,8928,9012,0.0202777777777777,2079.4217461068347,11.1,13.6,7.7
2024-06-03 01:00:00,24.4,21.47,34.97,8737,8756,0.0,2046.2440366027336,11.8,13.5,7.9
2024-06-03 02:00:00,19.54,16.38,34.95,8641,8654,0.0,2032.237187589647,10.4,13.1,7.6
2024-06-03 03:00:00,19.5,18.97,34.93,8650,8633,0.0,2008.5915089461537,11.1,12.3,7.4
2024-06-03 04:00:00,19.97,19.79,34.91,8693,8654,0.0,1984.2502405266464,11.7,11.9,6.8
2024-06-03 05:00:00,28.24,23.55,34.88,8784,8753,1.899222199353907,1931.4202211696904,10.3,12.1,7.0
2024-06-03 06:00:00,35.72,35.0,34.88,9139,9052,182.55312091365457,1839.1759432518647,11.9,12.7,7.5
2024-06-03 07:00:00,45.14,38.88,34.9,9612,9534,403.5869387404621,1618.785551011289,12.9,13.2,7.2
2024-06-03 08:00:00,40.32,75.94,34.92,9772,9837,658.9161561055813,1428.5371564799464,14.9,12.2,7.5
2024-06-03 09:00:00,36.19,39.22,34.92,9965,9931,873.5974309640792,1688.401748407566,16.0,10.6,8.8
2024-06-03 10:00:00,20.1,19.52,34.9,10097,10114,1005.6182601330844,1903.1581385316283,16.5,10.9,9.2
2024-06-03 11:00:00,22.91,16.37,34.88,10214,10167,1055.255591518614,1860.7666785752608,17.6,11.9,11.3
2024-06-03 12:00:00,18.09,19.79,34.85,10222,10221,1119.1091488555403,1993.294334844384,17.3,11.7,13.3
2024-06-03 13:00:00,35.83,36.8,34.85,10296,10262,1080.0067620404066,2060.925043518179,17.7,11.4,15.4
2024-06-03 14:00:00,29.68,37.04,34.8,10305,10270,1077.3520374643638,2368.9544968506034,19.2,12.5,17.0
2024-06-03 15:00:00,36.52,36.11,34.79,10307,10349,927.6790956812516,2472.333072841532,18.0,11.9,18.0
2024-06-03 16:00:00,37.22,36.07,34.79,10255,10282,668.9215439824926,2536.0642566086435,13.3,12.9,17.8
2024-06-03 17:00:00,36.74,37.43,34.8,10154,10190,510.0543253262838,2567.778811726065,14.1,13.1,18.6
2024-06-03 18:00:00,21.18,33.76,34.78,10023,9965,365.6777719124945,2672.667269693582,11.7,13.7,17.3
2024-06-03 19:00:00,11.55,12.65,34.74,9894,9948,216.5046068512731,2879.526571862108,10.9,13.7,17.2
2024-06-03 20:00:00,10.99,9.9,34.73,9778,9763,51.08461037105984,2892.154162825876,11.7,12.9,16.2
2024-06-03 21:00:00,11.6,11.25,34.71,9612,9648,1.2710555492507083,2909.5662232862246,11.4,11.5,
2024-06-03 22:00:00,10.91,11.08,34.71,9414,9516,0.0,3012.265046285589,10.6,11.2,13.1
2024-06-03 23:00:00,9.05,8.18,34.7,9075,9142,0.2093888884451654,2910.837783062193,11.5,11.0,12.1
2024-06-04 00:00:00,0.0,0.0,34.68,8863,8875,0.0,2997.649784963727,10.6,10.1,10.6
2024-06-04 01:00:00,0.0,0.0,34.66,8764,8774,0.0,3130.412202683008,9.5,10.2,9.6
2024-06-04 02:00:00,0.0,0.0,34.64,8692,8728,0.0,3225.887468630208,8.4,10.4,8.6
2024-06-04 03:00:00,0.0,0.0,34.63,8722,8679,0.0,3203.676980453068,9.6,10.3,8.0
2024-06-04 04:00:00,0.0,0.0,34.61,8834,8715,0.0,3175.762266377078,7.4,10.1,7.6
2024-06-04 05:00:00,0.0,0.0,34.58,8915,8874,4.804111063629388,3119.2792914719053,5.2,9.9,7.9
2024-06-04 06:00:00,0.0,0.0,34.56,9254,9139,245.18871864596173,2908.751154656849,9.6,10.1,8.8
2024-06-04 07:00:00,1.11,0.0,34.54,9646,9613,684.6083219428691,2800.351645120134,12.3,10.2,9.3
2024-06-04 08:00:00,0.73,0.0,34.51,9724,9839,738.1481528436641,2133.7434259663028,13.7,10.8,10.4
2024-06-04 09:00:00,4.92,21.02,34.48,9883,9825,946.4464263936214,2242.4479624373384,14.9,12.1,11.2
2024-06-04 10:00:00,0.0,0.0,34.44,9996,10023,1171.6588263217773,2585.491761157728,15.4,14.2,11.3
2024-06-04 11:00:00,0.12,0.0,34.41,10043,10039,1171.1838812728226,2570.9482664680645,16.4,15.7,10.7
2024-06-04 12:00:00,3.93,0.0,34.37,10068,10057,1107.1683791482617,2559.3674082440803,17.3,17.7,10.8
2024-06-04 13:00:00,0.0,0.0,34.33,10104,10070,1242.006711697115,2532.2807691855896,17.9,17.3,10.8
2024-06-04 14:00:00,7.69,0.0,34.28,10076,10095,1215.4142622843715,2432.1586474807227,17.6,14.7,11.0
2024-06-04 15:00:00,16.0,18.67,34.21,10100,10083,1247.6819897331463,2409.193510237171,18.6,18.1,11.3
2024-06-04 16:00:00,15.54,16.23,33.83,10082,10112,1217.059259717411,2341.419239129598,17.6,19.1,11.5
2024-06-04 17:00:00,17.88,13.94,33.55,9965,9995,1122.4295946517586,2179.015222745128,16.8,17.9,11.3
2024-06-04 18:00:00,16.57,17.38,33.41,9887,9814,1028.803378472262,2298.7524597979627,16.5,16.1,10.9
2024-06-04 19:00:00,14.16,16.49,33.24,9809,9840,709.6232676915163,2378.121156438589,15.5,15.1,10.2
2024-06-04 20:00:00,20.13,17.04,33.15,9618,9698,224.04407445795005,2301.430114543703,13.3,10.5,9.7
2024-06-04 21:00:00,61.08,29.57,33.11,9415,9478,9.41627763568941,1929.162309415804,10.9,9.3,9.2
2024-06-04 22:00:00,44.23,151.22,33.12,9228,9286,0.0,1919.4449680834512,10.0,9.1,9.0
2024-06-04 23:00:00,17.77,21.77,33.1,9019,9018,0.0,2157.728170603249,10.0,9.5,8.8
2024-06-05 00:00:00,2.44,7.67,33.06,8856,8810,0.0,2662.3185693078817,9.6,8.3,8.7
2024-06-05 01:00:00,0.0,0.0,33.01,8736,8736,0.0,2786.587227269278,10.2,10.0,8.6
2024-06-05 02:00:00,0.0,0.0,32.94,8644,8673,0.0,2827.242447771496,9.6,9.4,8.4
2024-06-05 03:00:00,0.0,0.0,32.82,8617,8623,0.0,2882.454169591268,8.0,9.3,8.4
2024-06-05 04:00:00,0.0,0.0,32.77,8689,8635,0.0,2947.401684188313,8.0,8.6,8.1
2024-06-05 05:00:00,0.0,0.0,32.73,8782,8752,7.8643332834210655,2960.530247451464,8.2,9.0,8.1
2024-06-05 06:00:00,0.0,1.87,32.68,9094,8993,196.0683304793636,2918.3954774422614,10.2,9.6,8.3
2024-06-05 07:00:00,1.28,6.36,32.63,9512,9490,710.9828808775378,2799.614575152265,11.7,11.4,8.6
2024-06-05 08:00:00,0.0,1.87,32.58,9677,9710,1049.684548314876,2587.883622991029,13.3,12.8,9.3
2024-06-05 09:00:00,0.0,0.0,32.54,9789,9767,1194.347868112276,2558.716538930254,14.4,13.8,9.6
2024-06-05 10:00:00,0.0,0.0,32.51,9880,9900,1270.407424636152,2521.9616542341973,15.0,15.4,9.3
2024-06-05 11:00:00,4.08,3.58,32.49,9930,9942,1287.68164816262,2479.630519054466,15.5,16.8,10.0
2024-06-05 12:00:00,7.39,5.12,32.47,9940,9945,1281.2555351068906,2408.8207143591508,16.6,17.9,10.5
