,begin_datetime_mpt,pool_price,forecast_pool_price,rolling_30day_avg
0,2024-06-01 00:00,30.83,24.30,35.38
1,2024-06-01 01:00,20.23,23.25,35.36
2,2024-06-01 02:00,13.56,18.02,35.34
3,2024-06-01 03:00,10.53,11.00,35.32
4,2024-06-01 04:00,12.43,10.09,35.31
5,2024-06-01 05:00,17.28,15.91,35.30
6,2024-06-01 06:00,20.34,21.90,35.30
7,2024-06-01 07:00,21.92,21.96,35.28
8,2024-06-01 08:00,22.15,22.24,35.27
9,2024-06-01 09:00,21.46,22.62,35.27
10,2024-06-01 10:00,19.21,19.68,35.26
11,2024-06-01 11:00,16.95,17.68,35.27
12,2024-06-01 12:00,14.10,9.15,35.27
13,2024-06-01 13:00,21.52,23.36,35.28
14,2024-06-01 14:00,22.23,22.27,35.29
15,2024-06-01 15:00,22.75,23.20,35.30
16,2024-06-01 16:00,22.54,22.45,35.29
17,2024-06-01 17:00,26.00,22.15,35.30
18,2024-06-01 18:00,23.98,26.83,35.30
19,2024-06-01 19:00,33.46,21.39,35.32
20,2024-06-01 20:00,33.38,22.55,35.32
21,2024-06-01 21:00,36.24,35.52,35.32
22,2024-06-01 22:00,32.59,39.98,35.31
23,2024-06-01 23:00,22.84,25.26,35.25
24,2024-06-02 00:00,25.85,24.31,35.23
25,2024-06-02 01:00,17.58,22.35,35.20
26,2024-06-02 02:00,15.96,14.23,35.17
27,2024-06-02 03:00,13.34,14.23,35.14
28,2024-06-02 04:00,17.20,14.23,35.11
29,2024-06-02 05:00,21.73,22.23,35.08
30,2024-06-02 06:00,21.94,22.51,34.97
31,2024-06-02 07:00,20.25,20.47,34.89
32,2024-06-02 08:00,18.89,15.65,34.86
33,2024-06-02 09:00,21.07,21.13,34.84
34,2024-06-02 10:00,31.51,35.83,34.84
35,2024-06-02 11:00,36.14,35.05,34.84
36,2024-06-02 12:00,37.32,41.14,34.85
37,2024-06-02 13:00,37.03,24.13,34.84
38,2024-06-02 14:00,38.01,37.96,34.85
39,2024-06-02 15:00,39.00,37.60,34.85
40,2024-06-02 16:00,39.42,39.97,34.85
41,2024-06-02 17:00,42.84,38.67,34.86
42,2024-06-02 18:00,65.46,40.61,34.88
43,2024-06-02 19:00,85.30,74.21,34.91
44,2024-06-02 20:00,80.17,81.25,34.96
45,2024-06-02 21:00,42.41,56.95,34.97
46,2024-06-02 22:00,36.86,37.01,34.97
47,2024-06-02 23:00,28.32,33.71,34.97
48,2024-06-03 00:00,30.45,32.61,34.98
49,2024-06-03 01:00,24.40,21.47,34.97
50,2024-06-03 02:00,19.54,16.38,34.95
51,2024-06-03 03:00,19.50,18.97,34.93
52,2024-06-03 04:00,19.97,19.79,34.91
53,2024-06-03 05:00,28.24,23.55,34.88
54,2024-06-03 06:00,35.72,35.00,34.88
55,2024-06-03 07:00,45.14,38.88,34.90
56,2024-06-03 08:00,40.32,75.94,34.92
57,2024-06-03 09:00,36.19,39.22,34.92
58,2024-06-03 10:00,20.10,19.52,34.90
59,2024-06-03 11:00,22.91,16.37,34.88
60,2024-06-03 12:00,18.09,19.79,34.85
61,2024-06-03 13:00,35.83,36.80,34.85
62,2024-06-03 14:00,29.68,37.04,34.80
63,2024-06-03 15:00,36.52,36.11,34.79
64,2024-06-03 16:00,37.22,36.07,34.79
65,2024-06-03 17:00,36.74,37.43,34.80
66,2024-06-03 18:00,21.18,33.76,34.78
67,2024-06-03 19:00,11.55,12.65,34.74
68,2024-06-03 20:00,10.99,9.90,34.73
69,2024-06-03 21:00,11.60,11.25,34.71
70,2024-06-03 22:00,10.91,11.08,34.71
71,2024-06-03 23:00,9.05,8.18,34.70
72,2024-06-04 00:00,0.00,0.00,34.68
73,2024-06-04 01:00,0.00,0.00,34.66
74,2024-06-04 02:00,0.00,0.00,34.64
75,2024-06-04 03:00,0.00,0.00,34.63
76,2024-06-04 04:00,0.00,0.00,34.61
77,2024-06-04 05:00,0.00,0.00,34.58
78,2024-06-04 06:00,0.00,0.00,34.56
79,2024-06-04 07:00,1.11,0.00,34.54
