,Timestamp_mst,Temperature (degree C)
96,2024-06-01 00:00:00,9.9
97,2024-06-01 01:00:00,6.5
98,2024-06-01 02:00:00,5.9
99,2024-06-01 03:00:00,3.4
100,2024-06-01 04:00:00,4.2
101,2024-06-01 05:00:00,3.5
102,2024-06-01 06:00:00,6.5
103,2024-06-01 07:00:00,9.9
104,2024-06-01 08:00:00,11.9
105,2024-06-01 09:00:00,12.6
106,2024-06-01 10:00:00,15.0
107,2024-06-01 11:00:00,16.0
108,2024-06-01 12:00:00,16.9
109,2024-06-01 13:00:00,16.1
110,2024-06-01 14:00:00,17.1
111,2024-06-01 15:00:00,16.8
112,2024-06-01 16:00:00,16.9
113,2024-06-01 17:00:00,17.3
114,2024-06-01 18:00:00,17.2
115,2024-06-01 19:00:00,15.7
116,2024-06-01 20:00:00,15.3
117,2024-06-01 21:00:00,14.3
118,2024-06-01 22:00:00,13.3
119,2024-06-01 23:00:00,11.8
120,2024-06-02 00:00:00,9.8
121,2024-06-02 01:00:00,8.8
122,2024-06-02 02:00:00,8.8
123,2024-06-02 03:00:00,8.5
124,2024-06-02 04:00:00,8.6
125,2024-06-02 05:00:00,7.2
126,2024-06-02 06:00:00,8.0
127,2024-06-02 07:00:00,10.7
128,2024-06-02 08:00:00,12.8
129,2024-06-02 09:00:00,14.1
130,2024-06-02 10:00:00,15.0
131,2024-06-02 11:00:00,16.3
132,2024-06-02 12:00:00,15.7
133,2024-06-02 13:00:00,16.4
134,2024-06-02 14:00:00,17.5
135,2024-06-02 15:00:00,18.9
136,2024-06-02 16:00:00,18.4
137,2024-06-02 17:00:00,18.6
138,2024-06-02 18:00:00,18.3
139,2024-06-02 19:00:00,17.9
140,2024-06-02 20:00:00,16.8
141,2024-06-02 21:00:00,15.7
142,2024-06-02 22:00:00,16.4
143,2024-06-02 23:00:00,13.5
24,2024-06-03 00:00:00,11.1
25,2024-06-03 01:00:00,11.8
26,2024-06-03 02:00:00,10.4
27,2024-06-03 03:00:00,11.1
28,2024-06-03 04:00:00,11.7
29,2024-06-03 05:00:00,10.3
30,2024-06-03 06:00:00,11.9
31,2024-06-03 07:00:00,12.9
32,2024-06-03 08:00:00,14.9
33,2024-06-03 09:00:00,16.0
34,2024-06-03 10:00:00,16.5
35,2024-06-03 11:00:00,17.6
36,2024-06-03 12:00:00,17.3
37,2024-06-03 13:00:00,17.7
38,2024-06-03 14:00:00,19.2
39,2024-06-03 15:00:00,18.0
40,2024-06-03 16:00:00,13.3
41,2024-06-03 17:00:00,14.1
42,2024-06-03 18:00:00,11.7
43,2024-06-03 19:00:00,10.9
44,2024-06-03 20:00:00,11.7
45,2024-06-03 21:00:00,11.4
46,2024-06-03 22:00:00,10.6
47,2024-06-03 23:00:00,11.5
0,2024-06-04 00:00:00,10.6
1,2024-06-04 01:00:00,9.5
2,2024-06-04 02:00:00,8.4
3,2024-06-04 03:00:00,9.6
4,2024-06-04 04:00:00,7.4
5,2024-06-04 05:00:00,5.2
6,2024-06-04 06:00:00,9.6
7,2024-06-04 07:00:00,12.3
8,2024-06-04 08:00:00,13.7
9,2024-06-04 09:00:00,14.9
10,2024-06-04 10:00:00,15.4
11,2024-06-04 11:00:00,16.4
12,2024-06-04 12:00:00,17.3
13,2024-06-04 13:00:00,17.9
14,2024-06-04 14:00:00,17.6
15,2024-06-04 15:00:00,18.6
16,2024-06-04 16:00:00,17.6
17,2024-06-04 17:00:00,16.8
18,2024-06-04 18:00:00,16.5
19,2024-06-04 19:00:00,15.5
20,2024-06-04 20:00:00,13.3
21,2024-06-04 21:00:00,10.9
22,2024-06-04 22:00:00,10.0
23,2024-06-04 23:00:00,10.0
72,2024-06-05 00:00:00,9.6
73,2024-06-05 01:00:00,10.2
74,2024-06-05 02:00:00,9.6
75,2024-06-05 03:00:00,8.0
76,2024-06-05 04:00:00,8.0
77,2024-06-05 05:00:00,8.2
78,2024-06-05 06:00:00,10.2
79,2024-06-05 07:00:00,11.7
80,2024-06-05 08:00:00,13.3
81,2024-06-05 09:00:00,14.4
82,2024-06-05 10:00:00,15.0
83,2024-06-05 11:00:00,15.5
84,2024-06-05 12:00:00,16.6
85,2024-06-05 13:00:00,17.3
86,2024-06-05 14:00:00,18.1
87,2024-06-05 15:00:00,18.6
88,2024-06-05 16:00:00,18.6
89,2024-06-05 17:00:00,18.4
90,2024-06-05 18:00:00,18.2
91,2024-06-05 19:00:00,17.5
92,2024-06-05 20:00:00,16.2
93,2024-06-05 21:00:00,14.4
94,2024-06-05 22:00:00,13.1
95,2024-06-05 23:00:00,11.8
144,2024-06-06 00:00:00,7.7
145,2024-06-06 01:00:00,8.9
146,2024-06-06 02:00:00,5.9
147,2024-06-06 03:00:00,5.4
148,2024-06-06 04:00:00,3.3
149,2024-06-06 05:00:00,5.0
150,2024-06-06 06:00:00,6.6
151,2024-06-06 07:00:00,10.5
152,2024-06-06 08:00:00,12.8
153,2024-06-06 09:00:00,13.7
154,2024-06-06 10:00:00,15.4
155,2024-06-06 11:00:00,16.9
156,2024-06-06 12:00:00,17.9
157,2024-06-06 13:00:00,18.1
158,2024-06-06 14:00:00,19.1
159,2024-06-06 15:00:00,21.1
160,2024-06-06 16:00:00,21.6
161,2024-06-06 17:00:00,20.1
162,2024-06-06 18:00:00,18.2
163,2024-06-06 19:00:00,17.1
164,2024-06-06 20:00:00,16.0
165,2024-06-06 21:00:00,14.9
166,2024-06-06 22:00:00,12.7
167,2024-06-06 23:00:00,12.9
48,2024-06-07 00:00:00,12.0
49,2024-06-07 01:00:00,11.3
50,2024-06-07 02:00:00,9.2
51,2024-06-07 03:00:00,7.8
52,2024-06-07 04:00:00,8.3
53,2024-06-07 05:00:00,8.9
54,2024-06-07 06:00:00,9.4
55,2024-06-07 07:00:00,10.4
56,2024-06-07 08:00:00,12.2
57,2024-06-07 09:00:00,13.2
58,2024-06-07 10:00:00,13.8
59,2024-06-07 11:00:00,14.9
60,2024-06-07 12:00:00,16.1
61,2024-06-07 13:00:00,17.1
62,2024-06-07 14:00:00,18.3
63,2024-06-07 15:00:00,18.5
64,2024-06-07 16:00:00,19.3
65,2024-06-07 17:00:00,19.0
66,2024-06-07 18:00:00,18.0
67,2024-06-07 19:00:00,17.6
68,2024-06-07 20:00:00,15.4
69,2024-06-07 21:00:00,14.1
70,2024-06-07 22:00:00,12.1
71,2024-06-07 23:00:00,13.1
2350,2024-06-08 00:00:00,12.2
2351,2024-06-08 01:00:00,11.4
2352,2024-06-08 02:00:00,10.7
2353,2024-06-08 03:00:00,10.7
2354,2024-06-08 04:00:00,10.0
2355,2024-06-08 05:00:00,11.2
2356,2024-06-08 06:00:00,12.8
2357,2024-06-08 07:00:00,13.7
2358,2024-06-08 08:00:00,12.8
2359,2024-06-08 09:00:00,12.4
2360,2024-06-08 10:00:00,12.1
2361,2024-06-08 11:00:00,10.2
2362,2024-06-08 12:00:00,9.5
2363,2024-06-08 13:00:00,8.8
2364,2024-06-08 14:00:00,9.4
2365,2024-06-08 15:00:00,10.1
2366,2024-06-08 16:00:00,8.8
2367,2024-06-08 17:00:00,8.7
2368,2024-06-08 18:00:00,7.6
2369,2024-06-08 19:00:00,7.0
2370,2024-06-08 20:00:00,6.5
2371,2024-06-08 21:00:00,5.9
2372,2024-06-08 22:00:00,5.9
2373,2024-06-08 23:00:00,6.0
2302,2024-06-09 00:00:00,5.9
2303,2024-06-09 01:00:00,6.2
2304,2024-06-09 02:00:00,6.1
2305,2024-06-09 03:00:00,6.0
2306,2024-06-09 04:00:00,5.4
2307,2024-06-09 05:00:00,5.1
2308,2024-06-09 06:00:00,5.8
2309,2024-06-09 07:00:00,6.6
2310,2024-06-09 08:00:00,7.7
2311,2024-06-09 09:00:00,9.0
2312,2024-06-09 10:00:00,11.8
2313,2024-06-09 11:00:00,12.0
2314,2024-06-09 12:00:00,14.0
2315,2024-06-09 13:00:00,15.5
2316,2024-06-09 14:00:00,17.0
2317,2024-06-09 15:00:00,17.3
2318,2024-06-09 16:00:00,17.8
2319,2024-06-09 17:00:00,18.6
2320,2024-06-09 18:00:00,18.3
2321,2024-06-09 19:00:00,17.7
2322,2024-06-09 20:00:00,17.0
2323,2024-06-09 21:00:00,16.1
2324,2024-06-09 22:00:00,15.3
2325,2024-06-09 23:00:00,14.6
2278,2024-06-10 00:00:00,14.1
2279,2024-06-10 01:00:00,13.6
2280,2024-06-10 02:00:00,12.7
2281,2024-06-10 03:00:00,12.5
2282,2024-06-10 04:00:00,12.1
2283,2024-06-10 05:00:00,11.5
2284,2024-06-10 06:00:00,11.6
2285,2024-06-10 07:00:00,13.7
2286,2024-06-10 08:00:00,15.9
2287,2024-06-10 09:00:00,14.5
2288,2024-06-10 10:00:00,18.0
2289,2024-06-10 11:00:00,19.1
2290,2024-06-10 12:00:00,19.5
2291,2024-06-10 13:00:00,20.7
2292,2024-06-10 14:00:00,20.7
2293,2024-06-10 15:00:00,19.9
2294,2024-06-10 16:00:00,21.7
2295,2024-06-10 17:00:00,22.0
2296,2024-06-10 18:00:00,20.5
2297,2024-06-10 19:00:00,22.3
2298,2024-06-10 20:00:00,20.5
2299,2024-06-10 21:00:00,18.9
2300,2024-06-10 22:00:00,17.1
2301,2024-06-10 23:00:00,14.9
2398,2024-06-11 00:00:00,16.0
2399,2024-06-11 01:00:00,15.7
2400,2024-06-11 02:00:00,12.3
2401,2024-06-11 03:00:00,11.9
2402,2024-06-11 04:00:00,10.3
2403,2024-06-11 05:00:00,12.6
2404,2024-06-11 06:00:00,11.5
2405,2024-06-11 07:00:00,14.8
2406,2024-06-11 08:00:00,17.2
2407,2024-06-11 09:00:00,19.4
2408,2024-06-11 10:00:00,21.3
2409,2024-06-11 11:00:00,22.8
2410,2024-06-11 12:00:00,23.1
2411,2024-06-11 13:00:00,23.0
2412,2024-06-11 14:00:00,23.6
2413,2024-06-11 15:00:00,26.1
2414,2024-06-11 16:00:00,24.2
2415,2024-06-11 17:00:00,16.0
2416,2024-06-11 18:00:00,17.4
2417,2024-06-11 19:00:00,19.1
2418,2024-06-11 20:00:00,18.1
2419,2024-06-11 21:00:00,16.5
2420,2024-06-11 22:00:00,14.9
2421,2024-06-11 23:00:00,14.9
2374,2024-06-12 00:00:00,12.5
2375,2024-06-12 01:00:00,11.1
2376,2024-06-12 02:00:00,9.1
2377,2024-06-12 03:00:00,6.6
2378,2024-06-12 04:00:00,7.0
2379,2024-06-12 05:00:00,6.3
2380,2024-06-12 06:00:00,9.1
2381,2024-06-12 07:00:00,11.9
2382,2024-06-12 08:00:00,14.1
2383,2024-06-12 09:00:00,15.9
2384,2024-06-12 10:00:00,16.8
2385,2024-06-12 11:00:00,17.6
2386,2024-06-12 12:00:00,17.9
2387,2024-06-12 13:00:00,19.1
2388,2024-06-12 14:00:00,19.8
2389,2024-06-12 15:00:00,20.4
2390,2024-06-12 16:00:00,17.8
2391,2024-06-12 17:00:00,17.0
2392,2024-06-12 18:00:00,18.6
2393,2024-06-12 19:00:00,17.8
2394,2024-06-12 20:00:00,17.5
2395,2024-06-12 21:00:00,15.6
2396,2024-06-12 22:00:00,13.4
2397,2024-06-12 23:00:00,12.3
2206,2024-06-13 00:00:00,10.7
2207,2024-06-13 01:00:00,10.2
2208,2024-06-13 02:00:00,9.5
2209,2024-06-13 03:00:00,5.8
2210,2024-06-13 04:00:00,6.6
2211,2024-06-13 05:00:00,6.3
2212,2024-06-13 06:00:00,9.3
2213,2024-06-13 07:00:00,11.6
2214,2024-06-13 08:00:00,13.6
2215,2024-06-13 09:00:00,14.9
2216,2024-06-13 10:00:00,16.8
2217,2024-06-13 11:00:00,16.3
2218,2024-06-13 12:00:00,18.3
2219,2024-06-13 13:00:00,19.4
2220,2024-06-13 14:00:00,20.7
2221,2024-06-13 15:00:00,21.2
2222,2024-06-13 16:00:00,22.0
2223,2024-06-13 17:00:00,21.7
2224,2024-06-13 18:00:00,20.7
2225,2024-06-13 19:00:00,20.4
2226,2024-06-13 20:00:00,19.6
2227,2024-06-13 21:00:00,17.9
2228,2024-06-13 22:00:00,16.4
2229,2024-06-13 23:00:00,15.0
2230,2024-06-14 00:00:00,14.6
2231,2024-06-14 01:00:00,14.8
2232,2024-06-14 02:00:00,14.2
2233,2024-06-14 03:00:00,13.6
2234,2024-06-14 04:00:00,12.2
2235,2024-06-14 05:00:00,11.7
2236,2024-06-14 06:00:00,13.2
2237,2024-06-14 07:00:00,13.8
2238,2024-06-14 08:00:00,16.0
2239,2024-06-14 09:00:00,18.4
2240,2024-06-14 10:00:00,21.2
2241,2024-06-14 11:00:00,21.7
2242,2024-06-14 12:00:00,22.6
2243,2024-06-14 13:00:00,23.8
2244,2024-06-14 14:00:00,24.3
2245,2024-06-14 15:00:00,25.2
2246,2024-06-14 16:00:00,25.0
2247,2024-06-14 17:00:00,24.1
2248,2024-06-14 18:00:00,22.4
2249,2024-06-14 19:00:00,21.4
2250,2024-06-14 20:00:00,19.8
2251,2024-06-14 21:00:00,16.0
2252,2024-06-14 22:00:00,14.4
2253,2024-06-14 23:00:00,13.9
2326,2024-06-15 00:00:00,12.9
2327,2024-06-15 01:00:00,12.3
2328,2024-06-15 02:00:00,10.6
2329,2024-06-15 03:00:00,9.9
2330,2024-06-15 04:00:00,10.3
2331,2024-06-15 05:00:00,10.2
2332,2024-06-15 06:00:00,10.4
2333,2024-06-15 07:00:00,10.5
2334,2024-06-15 08:00:00,12.5
2335,2024-06-15 09:00:00,13.8
2336,2024-06-15 10:00:00,15.0
2337,2024-06-15 11:00:00,14.1
2338,2024-06-15 12:00:00,14.0
2339,2024-06-15 13:00:00,13.6
2340,2024-06-15 14:00:00,13.2
2341,2024-06-15 15:00:00,11.9
2342,2024-06-15 16:00:00,7.0
2343,2024-06-15 17:00:00,7.8
2344,2024-06-15 18:00:00,7.1
2345,2024-06-15 19:00:00,6.8
2346,2024-06-15 20:00:00,6.6
2347,2024-06-15 21:00:00,6.8
2348,2024-06-15 22:00:00,7.3
2349,2024-06-15 23:00:00,6.8
2254,2024-06-16 00:00:00,7.2
2255,2024-06-16 01:00:00,7.4
2256,2024-06-16 02:00:00,7.3
2257,2024-06-16 03:00:00,7.0
2258,2024-06-16 04:00:00,7.4
2259,2024-06-16 05:00:00,7.1
2260,2024-06-16 06:00:00,7.5
2261,2024-06-16 07:00:00,7.0
2262,2024-06-16 08:00:00,6.5
2263,2024-06-16 09:00:00,6.3
2264,2024-06-16 10:00:00,8.1
2265,2024-06-16 11:00:00,8.7
2266,2024-06-16 12:00:00,10.1
2267,2024-06-16 13:00:00,11.8
2268,2024-06-16 14:00:00,11.8
2269,2024-06-16 15:00:00,8.4
2270,2024-06-16 16:00:00,10.3
2271,2024-06-16 17:00:00,8.0
2272,2024-06-16 18:00:00,9.0
2273,2024-06-16 19:00:00,9.7
2274,2024-06-16 20:00:00,9.3
2275,2024-06-16 21:00:00,8.0
2276,2024-06-16 22:00:00,7.4
2277,2024-06-16 23:00:00,6.6
2182,2024-06-17 00:00:00,6.1
2183,2024-06-17 01:00:00,5.3
2184,2024-06-17 02:00:00,4.0
2185,2024-06-17 03:00:00,3.6
2186,2024-06-17 04:00:00,3.4
2187,2024-06-17 05:00:00,3.2
2188,2024-06-17 06:00:00,4.9
2189,2024-06-17 07:00:00,7.5
2190,2024-06-17 08:00:00,9.2
2191,2024-06-17 09:00:00,9.8
2192,2024-06-17 10:00:00,11.3
2193,2024-06-17 11:00:00,12.0
2194,2024-06-17 12:00:00,13.0
2195,2024-06-17 13:00:00,11.9
2196,2024-06-17 14:00:00,11.5
2197,2024-06-17 15:00:00,11.0
2198,2024-06-17 16:00:00,9.8
2199,2024-06-17 17:00:00,9.2
2200,2024-06-17 18:00:00,6.4
2201,2024-06-17 19:00:00,5.9
2202,2024-06-17 20:00:00,5.8
2203,2024-06-17 21:00:00,6.1
2204,2024-06-17 22:00:00,5.5
2205,2024-06-17 23:00:00,5.6
2805,2024-06-18 00:00:00,5.4
2806,2024-06-18 01:00:00,5.2
2807,2024-06-18 02:00:00,4.9
2808,2024-06-18 03:00:00,4.7
2809,2024-06-18 04:00:00,4.0
2810,2024-06-18 05:00:00,3.9
2811,2024-06-18 06:00:00,4.1
2812,2024-06-18 07:00:00,5.5
2813,2024-06-18 08:00:00,6.8
2814,2024-06-18 09:00:00,7.5
2815,2024-06-18 10:00:00,8.5
2816,2024-06-18 11:00:00,7.4
2817,2024-06-18 12:00:00,6.6
2818,2024-06-18 13:00:00,7.7
2819,2024-06-18 14:00:00,7.9
2820,2024-06-18 15:00:00,9.9
2821,2024-06-18 16:00:00,11.1
2822,2024-06-18 17:00:00,10.4
2823,2024-06-18 18:00:00,8.9
2824,2024-06-18 19:00:00,8.7
2825,2024-06-18 20:00:00,7.9
2826,2024-06-18 21:00:00,8.3
2827,2024-06-18 22:00:00,6.7
2828,2024-06-18 23:00:00,7.1
1942,2024-06-19 00:00:00,5.9
1943,2024-06-19 01:00:00,5.7
1944,2024-06-19 02:00:00,5.0
1945,2024-06-19 03:00:00,4.2
1946,2024-06-19 04:00:00,3.1
1947,2024-06-19 05:00:00,2.5
1948,2024-06-19 06:00:00,3.4
1949,2024-06-19 07:00:00,5.5
1950,2024-06-19 08:00:00,7.9
1951,2024-06-19 09:00:00,9.8
1952,2024-06-19 10:00:00,10.7
1953,2024-06-19 11:00:00,12.4
1954,2024-06-19 12:00:00,12.6
1955,2024-06-19 13:00:00,15.2
1956,2024-06-19 14:00:00,13.4
