,Timestamp_mst,Temperature (degree C)
96,2024-06-01 00:00:00,4.1
97,2024-06-01 01:00:00,5.1
98,2024-06-01 02:00:00,5.7
99,2024-06-01 03:00:00,5.6
100,2024-06-01 04:00:00,4.7
101,2024-06-01 05:00:00,4.9
102,2024-06-01 06:00:00,8.0
103,2024-06-01 07:00:00,11.1
104,2024-06-01 08:00:00,12.9
105,2024-06-01 09:00:00,14.9
106,2024-06-01 10:00:00,16.7
107,2024-06-01 11:00:00,17.8
108,2024-06-01 12:00:00,18.0
109,2024-06-01 13:00:00,18.6
110,2024-06-01 14:00:00,19.7
111,2024-06-01 15:00:00,19.5
112,2024-06-01 16:00:00,19.4
113,2024-06-01 17:00:00,19.7
114,2024-06-01 18:00:00,19.3
115,2024-06-01 19:00:00,18.3
116,2024-06-01 20:00:00,17.3
117,2024-06-01 21:00:00,15.6
118,2024-06-01 22:00:00,15.6
119,2024-06-01 23:00:00,13.2
120,2024-06-02 00:00:00,11.8
133,2024-06-02 01:00:00,6.5
134,2024-06-02 02:00:00,4.5
121,2024-06-02 03:00:00,3.7
122,2024-06-02 04:00:00,2.8
123,2024-06-02 05:00:00,3.7
124,2024-06-02 06:00:00,7.5
125,2024-06-02 07:00:00,9.8
126,2024-06-02 08:00:00,12.2
135,2024-06-02 09:00:00,13.2
136,2024-06-02 10:00:00,14.6
137,2024-06-02 11:00:00,15.2
138,2024-06-02 12:00:00,15.9
139,2024-06-02 13:00:00,19.0
140,2024-06-02 14:00:00,19.5
127,2024-06-02 15:00:00,20.7
141,2024-06-02 16:00:00,20.2
128,2024-06-02 17:00:00,19.5
142,2024-06-02 18:00:00,18.8
143,2024-06-02 19:00:00,19.0
129,2024-06-02 20:00:00,15.5
130,2024-06-02 21:00:00,10.9
131,2024-06-02 22:00:00,13.3
132,2024-06-02 23:00:00,13.9
24,2024-06-03 00:00:00,13.6
25,2024-06-03 01:00:00,13.5
26,2024-06-03 02:00:00,13.1
27,2024-06-03 03:00:00,12.3
28,2024-06-03 04:00:00,11.9
29,2024-06-03 05:00:00,12.1
30,2024-06-03 06:00:00,12.7
31,2024-06-03 07:00:00,13.2
32,2024-06-03 08:00:00,12.2
33,2024-06-03 09:00:00,10.6
34,2024-06-03 10:00:00,10.9
35,2024-06-03 11:00:00,11.9
36,2024-06-03 12:00:00,11.7
37,2024-06-03 13:00:00,11.4
38,2024-06-03 14:00:00,12.5
39,2024-06-03 15:00:00,11.9
40,2024-06-03 16:00:00,12.9
41,2024-06-03 17:00:00,13.1
42,2024-06-03 18:00:00,13.7
43,2024-06-03 19:00:00,13.7
44,2024-06-03 20:00:00,12.9
45,2024-06-03 21:00:00,11.5
46,2024-06-03 22:00:00,11.2
47,2024-06-03 23:00:00,11.0
0,2024-06-04 00:00:00,10.1
1,2024-06-04 01:00:00,10.2
2,2024-06-04 02:00:00,10.4
3,2024-06-04 03:00:00,10.3
4,2024-06-04 04:00:00,10.1
5,2024-06-04 05:00:00,9.9
6,2024-06-04 06:00:00,10.1
7,2024-06-04 07:00:00,10.2
8,2024-06-04 08:00:00,10.8
9,2024-06-04 09:00:00,12.1
10,2024-06-04 10:00:00,14.2
11,2024-06-04 11:00:00,15.7
