,begin_datetime_mpt,AC_WIND,AC_SOLAR,AC_HYDRO
0,2024-06-01 00:00,4227,1524,767
1,2024-06-01 01:00,4227,1524,767
2,2024-06-01 02:00,4227,1524,767
3,2024-06-01 03:00,4227,1524,767
4,2024-06-01 04:00,4227,1524,767
5,2024-06-01 05:00,4227,1524,767
6,2024-06-01 06:00,4227,1524,767
7,2024-06-01 07:00,4227,1499,767
8,2024-06-01 08:00,4222,1490,767
9,2024-06-01 09:00,4232,1490,767
10,2024-06-01 10:00,4227,1467,767
11,2024-06-01 11:00,4232,1484,767
12,2024-06-01 12:00,4266,1498,767
13,2024-06-01 13:00,4311,1484,767
14,2024-06-01 14:00,4311,1484,767
15,2024-06-01 15:00,4316,1548,767
16,2024-06-01 16:00,4322,1548,767
17,2024-06-01 17:00,4316,1548,767
18,2024-06-01 18:00,4322,1548,767
19,2024-06-01 19:00,4291,1548,767
20,2024-06-01 20:00,4291,1548,767
21,2024-06-01 21:00,4296,1548,767
22,2024-06-01 22:00,4296,1509,767
23,2024-06-01 23:00,4296,1509,767
24,2024-06-02 00:00,4296,1509,766
25,2024-06-02 01:00,4296,1509,766
26,2024-06-02 02:00,4296,1509,766
27,2024-06-02 03:00,4296,1509,766
28,2024-06-02 04:00,4296,1509,766
29,2024-06-02 05:00,4296,1509,766
30,2024-06-02 06:00,4296,1509,766
31,2024-06-02 07:00,4296,1531,766
32,2024-06-02 08:00,4290,1531,767
33,2024-06-02 09:00,4290,1548,767
34,2024-06-02 10:00,4290,1548,767
35,2024-06-02 11:00,4311,1548,763
36,2024-06-02 12:00,4164,1530,763
37,2024-06-02 13:00,4164,1505,762
38,2024-06-02 14:00,4159,1523,762
39,2024-06-02 15:00,4159,1548,762
40,2024-06-02 16:00,4164,1526,758
41,2024-06-02 17:00,4164,1526,758
42,2024-06-02 18:00,4170,1526,758
43,2024-06-02 19:00,4170,1526,758
44,2024-06-02 20:00,4170,1526,758
45,2024-06-02 21:00,4170,1526,758
46,2024-06-02 22:00,4170,1487,758
47,2024-06-02 23:00,4170,1487,758
48,2024-06-03 00:00,4170,1487,756
49,2024-06-03 01:00,4170,1487,756
50,2024-06-03 02:00,4170,1487,756
51,2024-06-03 03:00,4170,1487,756
52,2024-06-03 04:00,4170,1487,756
53,2024-06-03 05:00,4170,1487,756
54,2024-06-03 06:00,4170,1487,756
55,2024-06-03 07:00,4170,1549,756
