datetime_,alberta_internal_load,forecast_alberta_internal_load,pool_price,forecast_pool_price,rolling_30day_avg_price,solar_generation,temp_calgary,temp_edmonton,temp_fortmc,wind_generation,ws_calgary,ws_edmonton,ws_fortmc,hour_of_day,day_of_week,day_of_month,week_of_month,month,year,is_winter,pool_price_lag_1,pool_price_lag_2,pool_price_lag_3,pool_price_lag_4,pool_price_lag_5,pool_price_lag_6,pool_price_lag_7,pool_price_lag_8,pool_price_lag_9,pool_price_lag_10,pool_price_lag_11,pool_price_lag_12,pool_price_lag_13,pool_price_lag_14,pool_price_lag_15,pool_price_lag_16,pool_price_lag_17,pool_price_lag_18,pool_price_lag_19,pool_price_lag_20,pool_price_lag_21,pool_price_lag_22,pool_price_lag_23,pool_price_lag_24,alberta_internal_load_lag_1,alberta_internal_load_lag_2,alberta_internal_load_lag_3,alberta_internal_load_lag_4,alberta_internal_load_lag_5,alberta_internal_load_lag_6,alberta_internal_load_lag_7,alberta_internal_load_lag_8,alberta_internal_load_lag_9,alberta_internal_load_lag_10,alberta_internal_load_lag_11,alberta_internal_load_lag_12,alberta_internal_load_lag_13,alberta_internal_load_lag_14,alberta_internal_load_lag_15,alberta_internal_load_lag_16,alberta_internal_load_lag_17,alberta_internal_load_lag_18,alberta_internal_load_lag_19,alberta_internal_load_lag_20,alberta_internal_load_lag_21,alberta_internal_load_lag_22,alberta_internal_load_lag_23,alberta_internal_load_lag_24
2019-01-01 00:00:00,10008.0,9753.0,32.9,33.14,43.16,0.0,-11.1,-10.1,-18.1,1126.5097563812467,7.0,,11.0,0,1,1,1,1,2019,1,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0
2019-01-01 01:00:00,9868.0,9604.0,32.78,32.79,43.13,0.0,-8.7,-8.9,-17.0,1148.336475364897,7.0,,9.0,1,1,1,1,1,2019,1,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0
2019-01-01 02:00:00,9736.0,9473.0,32.78,32.79,43.1,0.0,-7.4,-7.5,-15.2,1091.4699601014456,6.0,,8.0,2,1,1,1,1,2019,1,32.78,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,9868.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0
2019-01-01 03:00:00,9597.0,9401.0,32.78,32.79,43.07,0.0,-4.9,-5.7,-13.2,1122.6133983861077,8.0,,12.0,3,1,1,1,1,2019,1,32.78,32.78,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,9736.0,9868.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0
2019-01-01 04:00:00,9530.0,9402.0,32.13,32.78,43.04,0.0,-0.9,-3.5,-11.5,1101.1010225190055,4.0,,9.0,4,1,1,1,1,2019,1,32.78,32.78,32.78,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,9597.0,9736.0,9868.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0
2019-01-01 05:00:00,9526.0,9450.0,27.19,27.18,43.01,0.0,1.1,-4.8,-6.2,1055.3224364397265,8.0,,10.0,5,1,1,1,1,2019,1,32.13,32.78,32.78,32.78,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,9530.0,9597.0,9736.0,9868.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0
2019-01-01 06:00:00,9601.0,9592.0,27.19,27.18,42.97,0.0,0.0,-5.5,-4.9,1067.6791985019051,13.0,,17.0,6,1,1,1,1,2019,1,27.19,32.13,32.78,32.78,32.78,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,9526.0,9530.0,9597.0,9736.0,9868.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0
2019-01-01 07:00:00,9654.0,9752.0,27.17,27.22,42.94,0.0,0.2,-5.8,-4.7,1193.5076101409065,8.0,,15.0,7,1,1,1,1,2019,1,27.19,27.19,32.13,32.78,32.78,32.78,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,9601.0,9526.0,9530.0,9597.0,9736.0,9868.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0
2019-01-01 08:00:00,9714.0,9872.0,27.15,27.13,42.9,0.0,2.7,-0.9,-3.0,1217.5045278538596,22.0,,21.0,8,1,1,1,1,2019,1,27.17,27.19,27.19,32.13,32.78,32.78,32.78,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,9654.0,9601.0,9526.0,9530.0,9597.0,9736.0,9868.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0
2019-01-01 09:00:00,9726.0,9914.0,27.16,26.97,42.87,0.08222221992082067,1.2,-1.9,-2.1,1206.89609278414,7.0,,22.0,9,1,1,1,1,2019,1,27.15,27.17,27.19,27.19,32.13,32.78,32.78,32.78,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,9714.0,9654.0,9601.0,9526.0,9530.0,9597.0,9736.0,9868.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0,10008.0
