,Timestamp_mst,Temperature (degree C)
16,2019-01-01 00:00:00,-10.1
17,2019-01-01 01:00:00,-8.9
18,2019-01-01 02:00:00,-7.5
0,2019-01-01 03:00:00,-5.7
19,2019-01-01 04:00:00,-3.5
1,2019-01-01 05:00:00,-4.8
20,2019-01-01 06:00:00,-5.5
21,2019-01-01 07:00:00,-5.8
22,2019-01-01 08:00:00,-0.9
23,2019-01-01 09:00:00,-1.9
24,2019-01-01 10:00:00,-1.2
25,2019-01-01 11:00:00,-0.2
26,2019-01-01 12:00:00,0.9
27,2019-01-01 13:00:00,1.3
28,2019-01-01 14:00:00,0.9
29,2019-01-01 15:00:00,1.3
30,2019-01-01 16:00:00,1.9
31,2019-01-01 17:00:00,2.4
32,2019-01-01 18:00:00,1.4
2,2019-01-01 19:00:00,0.4
33,2019-01-01 20:00:00,-1.7
34,2019-01-01 21:00:00,-1.2
35,2019-01-01 22:00:00,1.6
36,2019-01-01 23:00:00,1.4
37,2019-01-02 00:00:00,2.2
38,2019-01-02 01:00:00,2.8
3,2019-01-02 02:00:00,3.0
39,2019-01-02 03:00:00,2.2
40,2019-01-02 04:00:00,-0.9
41,2019-01-02 05:00:00,-1.9
42,2019-01-02 06:00:00,-0.5
43,2019-01-02 07:00:00,0.6
44,2019-01-02 08:00:00,2.4
45,2019-01-02 09:00:00,2.3
46,2019-01-02 10:00:00,1.5
4,2019-01-02 11:00:00,1.9
5,2019-01-02 12:00:00,5.7
47,2019-01-02 13:00:00,4.1
6,2019-01-02 14:00:00,1.8
7,2019-01-02 15:00:00,1.7
48,2019-01-02 16:00:00,2.8
49,2019-01-02 17:00:00,-1.1
50,2019-01-02 18:00:00,-2.4
51,2019-01-02 19:00:00,1.5
8,2019-01-02 20:00:00,2.2
52,2019-01-02 21:00:00,5.1
9,2019-01-02 22:00:00,3.9
53,2019-01-02 23:00:00,2.3
54,2019-01-03 00:00:00,2.9
55,2019-01-03 01:00:00,1.8
56,2019-01-03 02:00:00,1.1
57,2019-01-03 03:00:00,-0.9
58,2019-01-03 04:00:00,0.0
10,2019-01-03 05:00:00,-1.0
59,2019-01-03 06:00:00,-2.8
60,2019-01-03 07:00:00,-3.7
