datetime_,alberta_internal_load,forecast_alberta_internal_load,pool_price,forecast_pool_price,rolling_30day_avg_price,solar_generation,temp_calgary,temp_edmonton,temp_fortmc,wind_generation,ws_calgary,ws_edmonton,ws_fortmc,hour_of_day,day_of_week,day_of_month,week_of_month,month,year,is_winter,pool_price_lag_1,pool_price_lag_2,pool_price_lag_3,pool_price_lag_4,pool_price_lag_5,pool_price_lag_6,pool_price_lag_7,pool_price_lag_8,pool_price_lag_9,pool_price_lag_10,pool_price_lag_11,pool_price_lag_12,pool_price_lag_13,pool_price_lag_14,pool_price_lag_15,pool_price_lag_16,pool_price_lag_17,pool_price_lag_18,pool_price_lag_19,pool_price_lag_20,pool_price_lag_21,pool_price_lag_22,pool_price_lag_23,pool_price_lag_24,alberta_internal_load_lag_1,alberta_internal_load_lag_2,alberta_internal_load_lag_3,alberta_internal_load_lag_4,alberta_internal_load_lag_5,alberta_internal_load_lag_6,alberta_internal_load_lag_7,alberta_internal_load_lag_8,alberta_internal_load_lag_9,alberta_internal_load_lag_10,alberta_internal_load_lag_11,alberta_internal_load_lag_12,alberta_internal_load_lag_13,alberta_internal_load_lag_14,alberta_internal_load_lag_15,alberta_internal_load_lag_16,alberta_internal_load_lag_17,alberta_internal_load_lag_18,alberta_internal_load_lag_19,alberta_internal_load_lag_20,alberta_internal_load_lag_21,alberta_internal_load_lag_22,alberta_internal_load_lag_23,alberta_internal_load_lag_24
2020-01-01 00:00:00,9467.0,9688.0,30.24,28.79,43.49,0.0,2.2,-0.6,-2.7,875.6379826417648,10.0,,7.0,0,2,1,1,1,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01 01:00:00,9361.0,9541.0,29.43,28.19,43.49,0.0,1.4,1.1,-4.6,778.6955054810312,7.0,,3.0,1,2,1,1,1,2020,1,30.24,,,,,,,,,,,,,,,,,,,,,,,,9467.0,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01 02:00:00,9286.0,9410.0,29.66,31.19,43.49,0.0,2.5,1.3,-7.0,717.3395276700622,8.0,,6.0,2,2,1,1,1,2020,1,29.43,30.24,,,,,,,,,,,,,,,,,,,,,,,9361.0,9467.0,,,,,,,,,,,,,,,,,,,,,,
2020-01-01 03:00:00,9209.0,9328.0,28.19,28.19,43.49,0.0,1.4,0.2,-5.2,691.6708633965584,3.0,,0.0,3,2,1,1,1,2020,1,29.66,29.43,30.24,,,,,,,,,,,,,,,,,,,,,,9286.0,9361.0,9467.0,,,,,,,,,,,,,,,,,,,,,
2020-01-01 04:00:00,9195.0,9319.0,31.17,28.19,43.49,0.0,-0.3,0.4,-4.1,553.9709982144418,0.0,,4.0,4,2,1,1,1,2020,1,28.19,29.66,29.43,30.24,,,,,,,,,,,,,,,,,,,,,9209.0,9286.0,9361.0,9467.0,,,,,,,,,,,,,,,,,,,,
2020-01-01 05:00:00,9224.0,9363.0,31.8,33.54,43.49,0.0,-1.5,0.7,-3.4,602.8907372490896,6.0,,0.0,5,2,1,1,1,2020,1,31.17,28.19,29.66,29.43,30.24,,,,,,,,,,,,,,,,,,,,9195.0,9209.0,9286.0,9361.0,9467.0,,,,,,,,,,,,,,,,,,,
2020-01-01 06:00:00,9342.0,9495.0,28.9,30.08,43.49,0.0,-2.0,1.1,-3.4,604.18898748676,4.0,,0.0,6,2,1,1,1,2020,1,31.8,31.17,28.19,29.66,29.43,30.24,,,,,,,,,,,,,,,,,,,9224.0,9195.0,9209.0,9286.0,9361.0,9467.0,,,,,,,,,,,,,,,,,,
2020-01-01 07:00:00,9514.0,9719.0,30.5,28.54,43.49,0.0,-2.3,0.3,-3.3,526.9373532638285,11.0,,0.0,7,2,1,1,1,2020,1,28.9,31.8,31.17,28.19,29.66,29.43,30.24,,,,,,,,,,,,,,,,,,9342.0,9224.0,9195.0,9209.0,9286.0,9361.0,9467.0,,,,,,,,,,,,,,,,,
2020-01-01 08:00:00,9648.0,9831.0,34.68,34.73,43.48,0.0,-2.9,-0.9,-3.3,470.3375974537598,13.0,,8.0,8,2,1,1,1,2020,1,30.5,28.9,31.8,31.17,28.19,29.66,29.43,30.24,,,,,,,,,,,,,,,,,9514.0,9342.0,9224.0,9195.0,9209.0,9286.0,9361.0,9467.0,,,,,,,,,,,,,,,,
2020-01-01 09:00:00,9745.0,9867.0,34.41,34.38,43.49,0.432333312349187,-1.7,-3.4,-3.8,397.15327685034106,17.0,,4.0,9,2,1,1,1,2020,1,34.68,30.5,28.9,31.8,31.17,28.19,29.66,29.43,30.24,,,,,,,,,,,,,,,,9648.0,9514.0,9342.0,9224.0,9195.0,9209.0,9286.0,9361.0,9467.0,,,,,,,,,,,,,,,
