,Timestamp_mst,Temperature (degree C)
46,2020-01-01 00:00:00,2.2
0,2020-01-01 01:00:00,1.4
1,2020-01-01 02:00:00,2.5
2,2020-01-01 03:00:00,1.4
3,2020-01-01 04:00:00,-0.3
4,2020-01-01 05:00:00,-1.5
5,2020-01-01 06:00:00,-2.0
6,2020-01-01 07:00:00,-2.3
7,2020-01-01 08:00:00,-2.9
8,2020-01-01 09:00:00,-1.7
9,2020-01-01 10:00:00,-0.7
47,2020-01-01 11:00:00,0.4
48,2020-01-01 12:00:00,2.0
10,2020-01-01 13:00:00,2.2
11,2020-01-01 14:00:00,2.0
49,2020-01-01 15:00:00,1.2
12,2020-01-01 16:00:00,0.8
50,2020-01-01 17:00:00,-1.1
13,2020-01-01 18:00:00,-1.0
14,2020-01-01 19:00:00,-1.8
15,2020-01-01 20:00:00,-1.7
16,2020-01-01 21:00:00,-1.9
17,2020-01-01 22:00:00,-1.9
18,2020-01-01 23:00:00,-1.5
19,2020-01-02 00:00:00,-1.9
51,2020-01-02 01:00:00,-1.6
52,2020-01-02 02:00:00,3.4
53,2020-01-02 03:00:00,0.6
20,2020-01-02 04:00:00,-0.8
21,2020-01-02 05:00:00,-1.0
22,2020-01-02 06:00:00,-1.7
23,2020-01-02 07:00:00,-1.8
54,2020-01-02 08:00:00,-3.6
24,2020-01-02 09:00:00,-4.3
25,2020-01-02 10:00:00,-4.6
26,2020-01-02 11:00:00,-3.9
27,2020-01-02 12:00:00,-3.1
55,2020-01-02 13:00:00,-2.2
56,2020-01-02 14:00:00,-0.9
28,2020-01-02 15:00:00,-0.9
29,2020-01-02 16:00:00,-1.5
57,2020-01-02 17:00:00,-3.1
58,2020-01-02 18:00:00,-4.2
30,2020-01-02 19:00:00,-7.6
31,2020-01-02 20:00:00,-7.0
32,2020-01-02 21:00:00,-4.8
59,2020-01-02 22:00:00,-8.3
60,2020-01-02 23:00:00,-8.6
61,2020-01-03 00:00:00,-7.3
62,2020-01-03 01:00:00,-6.3
33,2020-01-03 02:00:00,-5.8
34,2020-01-03 03:00:00,-6.1
35,2020-01-03 04:00:00,-5.9
63,2020-01-03 05:00:00,-6.0
36,2020-01-03 06:00:00,-6.1
64,2020-01-03 07:00:00,-6.3
37,2020-01-03 08:00:00,-6.5
65,2020-01-03 09:00:00,-7.1
38,2020-01-03 10:00:00,-6.8
66,2020-01-03 11:00:00,-6.1
39,2020-01-03 12:00:00,-4.7
67,2020-01-03 13:00:00,-2.0
40,2020-01-03 14:00:00,-0.7
41,2020-01-03 15:00:00,0.4
68,2020-01-03 16:00:00,6.8
42,2020-01-03 17:00:00,8.9
69,2020-01-03 18:00:00,0.9
43,2020-01-03 19:00:00,9.1
44,2020-01-03 20:00:00,4.2
45,2020-01-03 21:00:00,3.1
134,2020-01-03 22:00:00,1.8
135,2020-01-04 00:00:00,-0.4
136,2020-01-04 01:00:00,-1.9
137,2020-01-04 02:00:00,-0.4
70,2020-01-04 03:00:00,7.6
71,2020-01-04 04:00:00,8.7
138,2020-01-04 05:00:00,7.3
72,2020-01-04 06:00:00,6.5
139,2020-01-04 07:00:00,8.1
73,2020-01-04 08:00:00,5.3
74,2020-01-04 09:00:00,5.3
75,2020-01-04 10:00:00,5.5
76,2020-01-04 11:00:00,-0.4
77,2020-01-04 12:00:00,-1.0
78,2020-01-04 13:00:00,-0.6
79,2020-01-04 14:00:00,0.4
80,2020-01-04 15:00:00,0.5
81,2020-01-04 16:00:00,1.0
140,2020-01-04 17:00:00,-1.2
82,2020-01-04 18:00:00,-1.8
83,2020-01-04 19:00:00,-1.4
84,2020-01-04 20:00:00,-1.2
141,2020-01-04 21:00:00,-1.2
142,2020-01-04 22:00:00,-1.3
85,2020-01-04 23:00:00,-0.2
86,2020-01-05 00:00:00,-0.2
143,2020-01-05 01:00:00,-3.9
87,2020-01-05 02:00:00,-3.0
88,2020-01-05 03:00:00,-4.7
144,2020-01-05 04:00:00,-6.3
89,2020-01-05 05:00:00,-6.9
90,2020-01-05 06:00:00,-9.5
145,2020-01-05 07:00:00,-7.2
146,2020-01-05 08:00:00,-7.0
147,2020-01-05 09:00:00,-7.0
91,2020-01-05 10:00:00,-6.1
92,2020-01-05 11:00:00,-2.6
93,2020-01-05 12:00:00,-0.2
94,2020-01-05 13:00:00,0.7
95,2020-01-05 14:00:00,1.8
148,2020-01-05 15:00:00,3.7
149,2020-01-05 16:00:00,2.8
150,2020-01-05 17:00:00,1.0
96,2020-01-05 18:00:00,-1.7
97,2020-01-05 19:00:00,-2.3
98,2020-01-05 20:00:00,-3.6
99,2020-01-05 21:00:00,-2.5
100,2020-01-05 22:00:00,0.1
151,2020-01-05 23:00:00,-0.1
