,Timestamp_mst,Temperature (degree C)
1,2021-01-01 00:00:00,-8.9
2,2021-01-01 01:00:00,-8.6
3,2021-01-01 02:00:00,-8.5
4,2021-01-01 03:00:00,-8.5
5,2021-01-01 04:00:00,-8.9
6,2021-01-01 05:00:00,-9.2
7,2021-01-01 06:00:00,-9.5
8,2021-01-01 07:00:00,-8.9
9,2021-01-01 08:00:00,-9.0
10,2021-01-01 09:00:00,-10.4
11,2021-01-01 10:00:00,-10.3
12,2021-01-01 11:00:00,-10.3
13,2021-01-01 12:00:00,-9.8
14,2021-01-01 13:00:00,-9.1
15,2021-01-01 14:00:00,-8.4
16,2021-01-01 15:00:00,-8.6
17,2021-01-01 16:00:00,-8.8
18,2021-01-01 17:00:00,-8.8
19,2021-01-01 18:00:00,-9.0
20,2021-01-01 19:00:00,-9.2
21,2021-01-01 20:00:00,-9.4
22,2021-01-01 21:00:00,-9.8
23,2021-01-01 22:00:00,-10.4
24,2021-01-01 23:00:00,-10.7
25,2021-01-02 00:00:00,-10.3
26,2021-01-02 01:00:00,-9.9
27,2021-01-02 02:00:00,-9.4
28,2021-01-02 03:00:00,-9.3
29,2021-01-02 04:00:00,-9.0
30,2021-01-02 05:00:00,-8.8
31,2021-01-02 06:00:00,-8.8
32,2021-01-02 07:00:00,-8.5
33,2021-01-02 08:00:00,-8.4
34,2021-01-02 09:00:00,-8.3
35,2021-01-02 10:00:00,-9.2
36,2021-01-02 11:00:00,-11.3
37,2021-01-02 12:00:00,-10.7
38,2021-01-02 13:00:00,-11.5
39,2021-01-02 14:00:00,-11.2
40,2021-01-02 15:00:00,-10.1
41,2021-01-02 16:00:00,-10.7
42,2021-01-02 17:00:00,-10.9
43,2021-01-02 18:00:00,-10.5
44,2021-01-02 19:00:00,-10.6
45,2021-01-02 20:00:00,-10.1
46,2021-01-02 21:00:00,-10.2
47,2021-01-02 22:00:00,-10.8
48,2021-01-02 23:00:00,-10.6
49,2021-01-03 00:00:00,-10.9
50,2021-01-03 01:00:00,-11.2
51,2021-01-03 02:00:00,-11.5
