,begin_datetime_mpt,pool_price,forecast_pool_price,rolling_30day_avg
0,2022-01-01 00:00,65.64,68.22,127.10
1,2022-01-01 01:00,61.59,63.52,127.10
2,2022-01-01 02:00,56.67,54.71,127.11
3,2022-01-01 03:00,45.58,51.36,127.12
4,2022-01-01 04:00,57.39,59.30,127.12
5,2022-01-01 05:00,58.11,58.71,127.12
6,2022-01-01 06:00,53.37,54.02,127.09
7,2022-01-01 07:00,41.23,36.62,127.02
8,2022-01-01 08:00,40.92,40.93,127.00
9,2022-01-01 09:00,39.58,39.74,126.97
10,2022-01-01 10:00,41.14,42.39,126.97
11,2022-01-01 11:00,51.16,53.50,126.98
12,2022-01-01 12:00,50.88,54.59,126.97
13,2022-01-01 13:00,54.35,50.30,126.95
14,2022-01-01 14:00,52.48,59.92,126.94
15,2022-01-01 15:00,53.93,51.81,126.49
16,2022-01-01 16:00,62.89,62.69,125.83
17,2022-01-01 17:00,83.49,69.26,124.73
18,2022-01-01 18:00,69.75,69.15,123.58
19,2022-01-01 19:00,66.28,67.75,122.42
20,2022-01-01 20:00,55.82,65.38,121.58
21,2022-01-01 21:00,47.65,50.29,121.29
22,2022-01-01 22:00,46.66,46.73,121.23
23,2022-01-01 23:00,55.65,61.72,121.17
24,2022-01-02 00:00,48.74,42.35,121.12
25,2022-01-02 01:00,32.45,30.38,121.07
26,2022-01-02 02:00,33.48,32.44,121.03
27,2022-01-02 03:00,38.35,44.00,121.00
28,2022-01-02 04:00,36.12,33.94,120.97
29,2022-01-02 05:00,40.34,34.33,120.91
30,2022-01-02 06:00,46.45,38.35,120.82
31,2022-01-02 07:00,46.29,45.53,120.38
32,2022-01-02 08:00,48.44,51.31,120.07
33,2022-01-02 09:00,42.75,51.03,119.66
34,2022-01-02 10:00,38.62,40.57,119.23
35,2022-01-02 11:00,47.67,52.01,118.71
36,2022-01-02 12:00,48.09,46.81,118.19
37,2022-01-02 13:00,49.11,40.98,117.34
38,2022-01-02 14:00,51.94,52.33,116.60
39,2022-01-02 15:00,49.52,53.57,116.55
40,2022-01-02 16:00,59.43,52.79,116.49
41,2022-01-02 17:00,70.95,68.16,116.48
42,2022-01-02 18:00,151.42,122.00,116.60
43,2022-01-02 19:00,96.94,71.63,116.65
44,2022-01-02 20:00,107.75,84.56,116.72
45,2022-01-02 21:00,77.41,71.65,116.74
46,2022-01-02 22:00,100.08,72.59,116.80
47,2022-01-02 23:00,90.69,108.16,116.84
48,2022-01-03 00:00,70.43,74.78,116.86
49,2022-01-03 01:00,70.25,69.74,116.88
50,2022-01-03 02:00,67.91,67.91,116.89
51,2022-01-03 03:00,68.25,67.16,116.91
52,2022-01-03 04:00,70.66,84.33,116.93
53,2022-01-03 05:00,71.98,75.46,116.95
54,2022-01-03 06:00,74.25,87.96,116.97
55,2022-01-03 07:00,64.38,67.23,116.98
