,Timestamp_mst,WIND_SPEED
109,2022-01-01 00:00:00,9
110,2022-01-01 01:00:00,10
0,2022-01-01 02:00:00,14
111,2022-01-01 03:00:00,7
1,2022-01-01 04:00:00,5
2,2022-01-01 05:00:00,10
3,2022-01-01 06:00:00,11
4,2022-01-01 07:00:00,8
5,2022-01-01 08:00:00,8
112,2022-01-01 09:00:00,7
113,2022-01-01 10:00:00,7
6,2022-01-01 11:00:00,11
7,2022-01-01 12:00:00,12
8,2022-01-01 13:00:00,9
9,2022-01-01 14:00:00,9
10,2022-01-01 15:00:00,8
114,2022-01-01 16:00:00,8
11,2022-01-01 17:00:00,20
12,2022-01-01 18:00:00,22
13,2022-01-01 19:00:00,35
14,2022-01-01 20:00:00,30
15,2022-01-01 21:00:00,8
115,2022-01-01 22:00:00,22
116,2022-01-01 23:00:00,11
16,2022-01-02 00:00:00,17
17,2022-01-02 01:00:00,32
18,2022-01-02 02:00:00,41
117,2022-01-02 03:00:00,36
19,2022-01-02 04:00:00,35
118,2022-01-02 05:00:00,23
20,2022-01-02 06:00:00,41
21,2022-01-02 07:00:00,41
22,2022-01-02 08:00:00,39
23,2022-01-02 09:00:00,32
24,2022-01-02 10:00:00,36
25,2022-01-02 11:00:00,39
26,2022-01-02 12:00:00,30
27,2022-01-02 13:00:00,18
28,2022-01-02 14:00:00,8
29,2022-01-02 15:00:00,5
30,2022-01-02 16:00:00,7
31,2022-01-02 17:00:00,6
32,2022-01-02 18:00:00,30
33,2022-01-02 19:00:00,23
34,2022-01-02 20:00:00,28
35,2022-01-02 21:00:00,25
36,2022-01-02 22:00:00,24
119,2022-01-02 23:00:00,21
120,2022-01-03 00:00:00,18
121,2022-01-03 01:00:00,18
122,2022-01-03 02:00:00,23
123,2022-01-03 03:00:00,19
37,2022-01-03 04:00:00,17
38,2022-01-03 05:00:00,14
39,2022-01-03 06:00:00,14
40,2022-01-03 07:00:00,12
41,2022-01-03 08:00:00,12
42,2022-01-03 09:00:00,15
43,2022-01-03 10:00:00,13
44,2022-01-03 11:00:00,16
45,2022-01-03 12:00:00,19
46,2022-01-03 13:00:00,16
47,2022-01-03 14:00:00,25
48,2022-01-03 15:00:00,24
124,2022-01-03 16:00:00,30
49,2022-01-03 17:00:00,31
50,2022-01-03 18:00:00,32
51,2022-01-03 19:00:00,34
52,2022-01-03 20:00:00,30
53,2022-01-03 21:00:00,26
125,2022-01-03 22:00:00,28
126,2022-01-03 23:00:00,31
127,2022-01-04 00:00:00,39
128,2022-01-04 01:00:00,33
54,2022-01-04 02:00:00,29
55,2022-01-04 03:00:00,34
56,2022-01-04 04:00:00,39
57,2022-01-04 05:00:00,34
58,2022-01-04 06:00:00,35
59,2022-01-04 07:00:00,33
60,2022-01-04 08:00:00,26
61,2022-01-04 09:00:00,28
62,2022-01-04 10:00:00,21
129,2022-01-04 11:00:00,28
63,2022-01-04 12:00:00,28
64,2022-01-04 13:00:00,23
130,2022-01-04 14:00:00,23
65,2022-01-04 15:00:00,19
66,2022-01-04 16:00:00,13
67,2022-01-04 17:00:00,12
68,2022-01-04 18:00:00,8
69,2022-01-04 19:00:00,9
70,2022-01-04 20:00:00,7
71,2022-01-04 21:00:00,10
72,2022-01-04 22:00:00,6
73,2022-01-04 23:00:00,7
131,2022-01-05 00:00:00,8
132,2022-01-05 01:00:00,8
74,2022-01-05 02:00:00,8
75,2022-01-05 03:00:00,10
76,2022-01-05 04:00:00,11
77,2022-01-05 05:00:00,13
133,2022-01-05 06:00:00,11
78,2022-01-05 07:00:00,10
79,2022-01-05 08:00:00,10
80,2022-01-05 09:00:00,7
81,2022-01-05 10:00:00,10
82,2022-01-05 11:00:00,9
134,2022-01-05 12:00:00,5
83,2022-01-05 13:00:00,8
84,2022-01-05 14:00:00,5
85,2022-01-05 15:00:00,8
86,2022-01-05 16:00:00,13
87,2022-01-05 17:00:00,10
88,2022-01-05 18:00:00,11
89,2022-01-05 19:00:00,11
90,2022-01-05 20:00:00,12
135,2022-01-05 21:00:00,11
136,2022-01-05 22:00:00,9
137,2022-01-05 23:00:00,10
138,2022-01-06 00:00:00,13
