,begin_datetime_mpt,alberta_internal_load,forecast_alberta_internal_load
0,2023-01-01 00:00,9824,9832
1,2023-01-01 01:00,9712,9723
2,2023-01-01 02:00,9623,9634
3,2023-01-01 03:00,9578,9578
4,2023-01-01 04:00,9599,9541
5,2023-01-01 05:00,9649,9539
6,2023-01-01 06:00,9705,9638
7,2023-01-01 07:00,9743,9686
8,2023-01-01 08:00,9859,9782
9,2023-01-01 09:00,9918,9954
10,2023-01-01 10:00,9993,10069
11,2023-01-01 11:00,10039,10056
12,2023-01-01 12:00,10028,10087
13,2023-01-01 13:00,10012,10022
14,2023-01-01 14:00,10009,10015
15,2023-01-01 15:00,10082,10074
16,2023-01-01 16:00,10341,10418
17,2023-01-01 17:00,10603,10600
18,2023-01-01 18:00,10503,10569
19,2023-01-01 19:00,10380,10445
20,2023-01-01 20:00,10279,10238
21,2023-01-01 21:00,10140,10091
22,2023-01-01 22:00,9947,9927
23,2023-01-01 23:00,9766,9755
24,2023-01-02 00:00,9624,9633
25,2023-01-02 01:00,9488,9526
26,2023-01-02 02:00,9462,9453
27,2023-01-02 03:00,9471,9481
28,2023-01-02 04:00,9501,9539
29,2023-01-02 05:00,9625,9640
30,2023-01-02 06:00,9846,9958
31,2023-01-02 07:00,10077,10207
32,2023-01-02 08:00,10306,10236
33,2023-01-02 09:00,10397,10383
34,2023-01-02 10:00,10444,10473
35,2023-01-02 11:00,10467,10467
36,2023-01-02 12:00,10394,10421
37,2023-01-02 13:00,10380,10373
38,2023-01-02 14:00,10449,10388
39,2023-01-02 15:00,10472,10504
40,2023-01-02 16:00,10638,10604
41,2023-01-02 17:00,10940,10926
42,2023-01-02 18:00,10750,10789
43,2023-01-02 19:00,10690,10622
44,2023-01-02 20:00,10645,10571
45,2023-01-02 21:00,10480,10452
46,2023-01-02 22:00,10199,10207
47,2023-01-02 23:00,9941,9964
48,2023-01-03 00:00,9768,9810
49,2023-01-03 01:00,9656,9654
50,2023-01-03 02:00,9608,9604
51,2023-01-03 03:00,9626,9589
52,2023-01-03 04:00,9652,9651
53,2023-01-03 05:00,9834,9793
54,2023-01-03 06:00,10164,10108
55,2023-01-03 07:00,10537,10546
56,2023-01-03 08:00,10795,10695
57,2023-01-03 09:00,10835,10817
58,2023-01-03 10:00,10802,10828
59,2023-01-03 11:00,10814,10802
60,2023-01-03 12:00,10815,10782
61,2023-01-03 13:00,10777,10762
62,2023-01-03 14:00,10726,10759
63,2023-01-03 15:00,10754,10744
64,2023-01-03 16:00,10960,10908
65,2023-01-03 17:00,11168,11197
66,2023-01-03 18:00,11084,11067
67,2023-01-03 19:00,10996,10953
68,2023-01-03 20:00,10885,10861
69,2023-01-03 21:00,10624,10678
70,2023-01-03 22:00,10413,10408
71,2023-01-03 23:00,10176,10193
72,2023-01-04 00:00,10016,10030
73,2023-01-04 01:00,9899,9908
74,2023-01-04 02:00,9839,9846
75,2023-01-04 03:00,9775,9829
76,2023-01-04 04:00,9833,9817
77,2023-01-04 05:00,10034,9974
78,2023-01-04 06:00,10418,10378
79,2023-01-04 07:00,10718,10718
80,2023-01-04 08:00,10934,10887
81,2023-01-04 09:00,10932,10930
82,2023-01-04 10:00,10905,10940
83,2023-01-04 11:00,10900,10894
84,2023-01-04 12:00,10825,10849
85,2023-01-04 13:00,10710,10795
86,2023-01-04 14:00,10758,10707
87,2023-01-04 15:00,10787,10783
88,2023-01-04 16:00,10948,10926
89,2023-01-04 17:00,11121,11189
90,2023-01-04 18:00,10973,11005
91,2023-01-04 19:00,10934,10830
92,2023-01-04 20:00,10874,10826
93,2023-01-04 21:00,10610,10695
94,2023-01-04 22:00,10316,10381
95,2023-01-04 23:00,10099,10064
96,2023-01-05 00:00,9928,9970
97,2023-01-05 01:00,9797,9865
98,2023-01-05 02:00,9732,9771
99,2023-01-05 03:00,9721,9717
100,2023-01-05 04:00,9805,9763
101,2023-01-05 05:00,9914,9939
102,2023-01-05 06:00,10240,10210
103,2023-01-05 07:00,10612,10638
104,2023-01-05 08:00,10868,10792
105,2023-01-05 09:00,10947,10943
106,2023-01-05 10:00,10963,10967
107,2023-01-05 11:00,10917,10937
108,2023-01-05 12:00,10947,10885
109,2023-01-05 13:00,10884,10912
110,2023-01-05 14:00,10941,10801
111,2023-01-05 15:00,10995,10994
112,2023-01-05 16:00,11100,11136
113,2023-01-05 17:00,11187,11267
114,2023-01-05 18:00,11080,11053
115,2023-01-05 19:00,10998,10983
116,2023-01-05 20:00,10881,10886
117,2023-01-05 21:00,10699,10702
118,2023-01-05 22:00,10392,10441
119,2023-01-05 23:00,10071,10150
120,2023-01-06 00:00,9881,9903
121,2023-01-06 01:00,9789,9793
122,2023-01-06 02:00,9648,9728
123,2023-01-06 03:00,9639,9630
124,2023-01-06 04:00,9705,9680
125,2023-01-06 05:00,9827,9836
126,2023-01-06 06:00,10103,10057
127,2023-01-06 07:00,10499,10470
128,2023-01-06 08:00,10727,10649
129,2023-01-06 09:00,10830,10740
130,2023-01-06 10:00,10834,10847
131,2023-01-06 11:00,10829,10837
132,2023-01-06 12:00,10778,10775
133,2023-01-06 13:00,10784,10756
134,2023-01-06 14:00,10646,10719
135,2023-01-06 15:00,10706,10630
136,2023-01-06 16:00,10779,10840
137,2023-01-06 17:00,10931,10942
138,2023-01-06 18:00,10833,10822
139,2023-01-06 19:00,10771,10730
140,2023-01-06 20:00,10677,10627
141,2023-01-06 21:00,10518,10492
142,2023-01-06 22:00,10287,10297
143,2023-01-06 23:00,10085,10092
144,2023-01-07 00:00,9891,9921
