datetime_,pool_price,forecast_pool_price,rolling_30day_avg_price,alberta_internal_load,forecast_alberta_internal_load,solar_generation,wind_generation,temp_calgary,temp_edmonton,temp_fortmc,ws_calgary,ws_edmonton,ws_fortmc,hour_of_day,day_of_week,week_of_month,month,season,pool_price_lag_1,pool_price_lag_2,pool_price_lag_3,pool_price_lag_4,pool_price_lag_5,pool_price_lag_6,pool_price_lag_7,pool_price_lag_8,pool_price_lag_9,pool_price_lag_10,pool_price_lag_11,pool_price_lag_12,pool_price_lag_13,pool_price_lag_14,pool_price_lag_15,pool_price_lag_16,pool_price_lag_17,pool_price_lag_18,pool_price_lag_19,pool_price_lag_20,pool_price_lag_21,pool_price_lag_22,pool_price_lag_23,pool_price_lag_24,alberta_internal_load_lag_1,alberta_internal_load_lag_2,alberta_internal_load_lag_3,alberta_internal_load_lag_4,alberta_internal_load_lag_5,alberta_internal_load_lag_6,alberta_internal_load_lag_7,alberta_internal_load_lag_8,alberta_internal_load_lag_9,alberta_internal_load_lag_10,alberta_internal_load_lag_11,alberta_internal_load_lag_12,alberta_internal_load_lag_13,alberta_internal_load_lag_14,alberta_internal_load_lag_15,alberta_internal_load_lag_16,alberta_internal_load_lag_17,alberta_internal_load_lag_18,alberta_internal_load_lag_19,alberta_internal_load_lag_20,alberta_internal_load_lag_21,alberta_internal_load_lag_22,alberta_internal_load_lag_23,alberta_internal_load_lag_24
2024-01-01 00:00:00,23.05,20.57,51.98,9809.0,9779.0,0.0,2905.627906360295,3.0,-0.5,2.5,8.0,10.0,16.0,0,0,1,1,winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 01:00:00,22.67,19.69,51.97,9702.0,9709.0,0.0,2857.0321516460385,3.0,-2.5,2.0,5.0,7.0,16.0,1,0,1,1,winter,23.05,,,,,,,,,,,,,,,,,,,,,,,,9809.0,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 02:00:00,24.07,21.46,51.96,9560.0,9615.0,0.0,2519.8033392695256,3.2,-4.3,0.7,5.0,9.0,16.0,2,0,1,1,winter,22.67,23.05,,,,,,,,,,,,,,,,,,,,,,,9702.0,9809.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 03:00:00,24.33,24.21,51.93,9547.0,9510.0,0.0,2386.924303370052,2.9,-3.5,-0.5,16.0,12.0,14.0,3,0,1,1,winter,24.07,22.67,23.05,,,,,,,,,,,,,,,,,,,,,,9560.0,9702.0,9809.0,,,,,,,,,,,,,,,,,,,,,
2024-01-01 04:00:00,24.7,24.48,51.93,9511.0,9545.0,0.0,2222.338042613061,2.4,-4.7,0.1,19.0,5.0,16.0,4,0,1,1,winter,24.33,24.07,22.67,23.05,,,,,,,,,,,,,,,,,,,,,9547.0,9560.0,9702.0,9809.0,,,,,,,,,,,,,,,,,,,,
2024-01-01 05:00:00,26.86,25.03,51.92,9542.0,9548.0,0.0,2074.0746126873296,1.7,-5.5,-1.9,9.0,10.0,18.0,5,0,1,1,winter,24.7,24.33,24.07,22.67,23.05,,,,,,,,,,,,,,,,,,,,9511.0,9547.0,9560.0,9702.0,9809.0,,,,,,,,,,,,,,,,,,,
2024-01-01 06:00:00,30.42,31.84,51.9,9659.0,9654.0,0.0,2002.1774735832296,1.7,-6.8,-3.2,8.0,12.0,19.0,6,0,1,1,winter,26.86,24.7,24.33,24.07,22.67,23.05,,,,,,,,,,,,,,,,,,,9542.0,9511.0,9547.0,9560.0,9702.0,9809.0,,,,,,,,,,,,,,,,,,
2024-01-01 07:00:00,27.32,28.3,51.84,9785.0,9795.0,0.0,2081.1428861700497,1.3,-6.4,-4.4,4.0,12.0,16.0,7,0,1,1,winter,30.42,26.86,24.7,24.33,24.07,22.67,23.05,,,,,,,,,,,,,,,,,,9659.0,9542.0,9511.0,9547.0,9560.0,9702.0,9809.0,,,,,,,,,,,,,,,,,
2024-01-01 08:00:00,37.66,30.18,51.78,9914.0,9913.0,2.2737777483959998,1879.0625919565227,0.6,-5.4,-5.3,3.0,14.0,20.0,8,0,1,1,winter,27.32,30.42,26.86,24.7,24.33,24.07,22.67,23.05,,,,,,,,,,,,,,,,,9785.0,9659.0,9542.0,9511.0,9547.0,9560.0,9702.0,9809.0,,,,,,,,,,,,,,,,
2024-01-01 09:00:00,39.17,39.8,51.7,9988.0,10002.0,172.609526604265,1685.7640829430438,-0.7,-6.0,-5.4,1.0,16.0,11.0,9,0,1,1,winter,37.66,27.32,30.42,26.86,24.7,24.33,24.07,22.67,23.05,,,,,,,,,,,,,,,,9914.0,9785.0,9659.0,9542.0,9511.0,9547.0,9560.0,9702.0,9809.0,,,,,,,,,,,,,,,
2024-01-01 10:00:00,36.83,37.04,51.22,10069.0,10132.0,430.142710572448,1547.6309545677984,-0.6,-3.4,-5.7,2.0,15.0,8.0,10,0,1,1,winter,39.17,37.66,27.32,30.42,26.86,24.7,24.33,24.07,22.67,23.05,,,,,,,,,,,,,,,9988.0,9914.0,9785.0,9659.0,9542.0,9511.0,9547.0,9560.0,9702.0,9809.0,,,,,,,,,,,,,,
2024-01-01 11:00:00,37.5,38.69,51.11,10160.0,10163.0,596.7823496648007,1331.6028420151897,1.3,-1.5,-5.7,4.0,12.0,6.0,11,0,1,1,winter,36.83,39.17,37.66,27.32,30.42,26.86,24.7,24.33,24.07,22.67,23.05,,,,,,,,,,,,,,10069.0,9988.0,9914.0,9785.0,9659.0,9542.0,9511.0,9547.0,9560.0,9702.0,9809.0,,,,,,,,,,,,,
2024-01-01 12:00:00,37.92,36.65,51.01,10206.0,10215.0,608.4205204499099,1143.6039545549493,2.8,-0.1,-5.7,6.0,14.0,9.0,12,0,1,1,winter,37.5,36.83,39.17,37.66,27.32,30.42,26.86,24.7,24.33,24.07,22.67,23.05,,,,,,,,,,,,,10160.0,10069.0,9988.0,9914.0,9785.0,9659.0,9542.0,9511.0,9547.0,9560.0,9702.0,9809.0,,,,,,,,,,,,
2024-01-01 13:00:00,37.09,38.42,50.94,10235.0,10215.0,662.1721104026503,1171.3213535845446,3.5,1.3,-5.8,3.0,16.0,12.0,13,0,1,1,winter,37.92,37.5,36.83,39.17,37.66,27.32,30.42,26.86,24.7,24.33,24.07,22.67,23.05,,,,,,,,,,,,10206.0,10160.0,10069.0,9988.0,9914.0,9785.0,9659.0,9542.0,9511.0,9547.0,9560.0,9702.0,9809.0,,,,,,,,,,,
2024-01-01 14:00:00,27.43,25.87,50.88,10262.0,10253.0,645.5197958809138,1245.1093741606423,4.0,2.1,-5.8,9.0,14.0,12.0,14,0,1,1,winter,37.09,37.92,37.5,36.83,39.17,37.66,27.32,30.42,26.86,24.7,24.33,24.07,22.67,23.05,,,,,,,,,,,10235.0,10206.0,10160.0,10069.0,9988.0,9914.0,9785.0,9659.0,9542.0,9511.0,9547.0,9560.0,9702.0,9809.0,,,,,,,,,,
2024-01-01 15:00:00,27.59,18.48,50.83,10384.0,10378.0,317.01018139936855,1285.043825829733,3.6,1.4,-6.2,13.0,9.0,12.0,15,0,1,1,winter,27.43,37.09,37.92,37.5,36.83,39.17,37.66,27.32,30.42,26.86,24.7,24.33,24.07,22.67,23.05,,,,,,,,,,10262.0,10235.0,10206.0,10160.0,10069.0,9988.0,9914.0,9785.0,9659.0,9542.0,9511.0,9547.0,9560.0,9702.0,9809.0,,,,,,,,,
2024-01-01 16:00:00,37.64,32.76,50.81,10696.0,10678.0,19.01838858264188,1224.193210841823,2.0,-0.2,-6.5,9.0,6.0,5.0,16,0,1,1,winter,27.59,27.43,37.09,37.92,37.5,36.83,39.17,37.66,27.32,30.42,26.86,24.7,24.33,24.07,22.67,23.05,,,,,,,,,10384.0,10262.0,10235.0,10206.0,10160.0,10069.0,9988.0,9914.0,9785.0,9659.0,9542.0,9511.0,9547.0,9560.0,9702.0,9809.0,,,,,,,,
2024-01-01 17:00:00,42.24,44.4,50.77,10973.0,10955.0,0.0,1130.6958402448313,0.9,-4.9,-6.5,8.0,3.0,6.0,17,0,1,1,winter,37.64,27.59,27.43,37.09,37.92,37.5,36.83,39.17,37.66,27.32,30.42,26.86,24.7,24.33,24.07,22.67,23.05,,,,,,,,10696.0,10384.0,10262.0,10235.0,10206.0,10160.0,10069.0,9988.0,9914.0,9785.0,9659.0,9542.0,9511.0,9547.0,9560.0,9702.0,9809.0,,,,,,,
2024-01-01 18:00:00,42.25,42.9,50.75,10811.0,10854.0,0.0,1024.5719115701029,0.2,-6.8,-6.7,8.0,6.0,9.0,18,0,1,1,winter,42.24,37.64,27.59,27.43,37.09,37.92,37.5,36.83,39.17,37.66,27.32,30.42,26.86,24.7,24.33,24.07,22.67,23.05,,,,,,,10973.0,10696.0,10384.0,10262.0,10235.0,10206.0,10160.0,10069.0,9988.0,9914.0,9785.0,9659.0,9542.0,9511.0,9547.0,9560.0,9702.0,9809.0,,,,,,
