,begin_datetime_mpt,alberta_internal_load,forecast_alberta_internal_load
0,2024-01-01 00:00,9809,9779
1,2024-01-01 01:00,9702,9709
2,2024-01-01 02:00,9560,9615
3,2024-01-01 03:00,9547,9510
4,2024-01-01 04:00,9511,9545
5,2024-01-01 05:00,9542,9548
6,2024-01-01 06:00,9659,9654
7,2024-01-01 07:00,9785,9795
8,2024-01-01 08:00,9914,9913
9,2024-01-01 09:00,9988,10002
10,2024-01-01 10:00,10069,10132
11,2024-01-01 11:00,10160,10163
12,2024-01-01 12:00,10206,10215
13,2024-01-01 13:00,10235,10215
14,2024-01-01 14:00,10262,10253
15,2024-01-01 15:00,10384,10378
16,2024-01-01 16:00,10696,10678
17,2024-01-01 17:00,10973,10955
18,2024-01-01 18:00,10811,10854
19,2024-01-01 19:00,10707,10688
20,2024-01-01 20:00,10627,10584
21,2024-01-01 21:00,10470,10453
22,2024-01-01 22:00,10197,10230
23,2024-01-01 23:00,9965,9999
24,2024-01-02 00:00,9804,9821
25,2024-01-02 01:00,9735,9711
26,2024-01-02 02:00,9675,9672
27,2024-01-02 03:00,9706,9672
28,2024-01-02 04:00,9752,9734
29,2024-01-02 05:00,9930,9906
30,2024-01-02 06:00,10303,10231
31,2024-01-02 07:00,10692,10698
32,2024-01-02 08:00,10917,10838
33,2024-01-02 09:00,10966,10934
34,2024-01-02 10:00,11035,10981
35,2024-01-02 11:00,11070,11030
36,2024-01-02 12:00,11077,11026
37,2024-01-02 13:00,11076,11046
38,2024-01-02 14:00,11044,11054
39,2024-01-02 15:00,11087,11075
40,2024-01-02 16:00,11189,11231
41,2024-01-02 17:00,11356,11412
42,2024-01-02 18:00,11179,11226
43,2024-01-02 19:00,11100,11033
44,2024-01-02 20:00,11079,10964
45,2024-01-02 21:00,10927,10883
46,2024-01-02 22:00,10662,10664
47,2024-01-02 23:00,10389,10401
48,2024-01-03 00:00,10181,10215
49,2024-01-03 01:00,10109,10090
50,2024-01-03 02:00,10046,10050
51,2024-01-03 03:00,10043,10031
52,2024-01-03 04:00,10075,10067
53,2024-01-03 05:00,10168,10193
54,2024-01-03 06:00,10488,10472
55,2024-01-03 07:00,10831,10869
56,2024-01-03 08:00,11100,10982
57,2024-01-03 09:00,11134,11104
58,2024-01-03 10:00,11195,11156
59,2024-01-03 11:00,11238,11181
60,2024-01-03 12:00,11270,11208
61,2024-01-03 13:00,11251,11252
62,2024-01-03 14:00,11254,11224
63,2024-01-03 15:00,11275,11275
64,2024-01-03 16:00,11431,11401
65,2024-01-03 17:00,11588,11618
66,2024-01-03 18:00,11403,11446
67,2024-01-03 19:00,11303,11275
68,2024-01-03 20:00,11139,11150
69,2024-01-03 21:00,10940,10919
70,2024-01-03 22:00,10638,10662
71,2024-01-03 23:00,10343,10371
72,2024-01-04 00:00,10165,10174
73,2024-01-04 01:00,10039,10065
74,2024-01-04 02:00,9957,9981
75,2024-01-04 03:00,9947,9950
76,2024-01-04 04:00,9995,9978
77,2024-01-04 05:00,10120,10128
78,2024-01-04 06:00,10418,10433
79,2024-01-04 07:00,10857,10814
80,2024-01-04 08:00,11099,11015
81,2024-01-04 09:00,11174,11113
82,2024-01-04 10:00,11208,11192
83,2024-01-04 11:00,11237,11218
84,2024-01-04 12:00,11278,11237
85,2024-01-04 13:00,11273,11246
86,2024-01-04 14:00,11254,11255
87,2024-01-04 15:00,11286,11263
88,2024-01-04 16:00,11382,11404
89,2024-01-04 17:00,11556,11567
90,2024-01-04 18:00,11415,11418
91,2024-01-04 19:00,11350,11314
92,2024-01-04 20:00,11193,11206
93,2024-01-04 21:00,10994,10972
94,2024-01-04 22:00,10736,10750
95,2024-01-04 23:00,10439,10469
96,2024-01-05 00:00,10225,10259
97,2024-01-05 01:00,10119,10111
98,2024-01-05 02:00,10043,10054
99,2024-01-05 03:00,10039,10019
100,2024-01-05 04:00,10026,10066
