,datetime_,solar_generation
0,2025-03-10 00:00,0.0
1,2025-03-10 01:00,0.0
2,2025-03-10 02:00,0.0
3,2025-03-10 03:00,0.0
4,2025-03-10 04:00,0.0
5,2025-03-10 05:00,0.0
6,2025-03-10 06:00,0.0
7,2025-03-10 07:00,1.63
8,2025-03-10 08:00,90.55
9,2025-03-10 09:00,333.41
10,2025-03-10 10:00,612.1
11,2025-03-10 11:00,799.41
12,2025-03-10 12:00,908.91
13,2025-03-10 13:00,1044.13
14,2025-03-10 14:00,1159.99
15,2025-03-10 15:00,1225.37
16,2025-03-10 16:00,1165.09
17,2025-03-10 17:00,798.8
18,2025-03-10 18:00,261.18
19,2025-03-10 19:00,17.66
20,2025-03-10 20:00,0.0
21,2025-03-10 21:00,0.0
22,2025-03-10 22:00,0.0
23,2025-03-10 23:00,0.0
