,Timestamp,Temperature (°C)
0,2025-03-10 00:00:00,3.9
1,2025-03-10 01:00:00,3.6
2,2025-03-10 02:00:00,2.7
3,2025-03-10 03:00:00,0.2
4,2025-03-10 04:00:00,-1.5
5,2025-03-10 05:00:00,-2.9
6,2025-03-10 06:00:00,-5.2
7,2025-03-10 07:00:00,-6.7
8,2025-03-10 08:00:00,-6.0
9,2025-03-10 09:00:00,-4.9
10,2025-03-10 10:00:00,-4.4
11,2025-03-10 11:00:00,-3.5
12,2025-03-10 12:00:00,-2.5
13,2025-03-10 13:00:00,-0.4
14,2025-03-10 14:00:00,1.1
15,2025-03-10 15:00:00,2.3
16,2025-03-10 16:00:00,3.1
17,2025-03-10 17:00:00,4.3
18,2025-03-10 18:00:00,4.2
19,2025-03-10 19:00:00,3.1
20,2025-03-10 20:00:00,0.5
21,2025-03-10 21:00:00,-0.7
22,2025-03-10 22:00:00,-2.4
23,2025-03-10 23:00:00,-3.1
