,Timestamp,Temperature (°C)
0,2025-03-10 00:00:00,-5.3
1,2025-03-10 01:00:00,-5.9
2,2025-03-10 02:00:00,-6.3
3,2025-03-10 03:00:00,-6.7
4,2025-03-10 04:00:00,-7.1
5,2025-03-10 05:00:00,-7.6
6,2025-03-10 06:00:00,-7.7
7,2025-03-10 07:00:00,-7.8
8,2025-03-10 08:00:00,-7.7
9,2025-03-10 09:00:00,-7.5
10,2025-03-10 10:00:00,-6.9
11,2025-03-10 11:00:00,-5.8
12,2025-03-10 12:00:00,-4.5
13,2025-03-10 13:00:00,-3.1
14,2025-03-10 14:00:00,-1.5
15,2025-03-10 15:00:00,-0.2
16,2025-03-10 16:00:00,0.9
17,2025-03-10 17:00:00,1.4
18,2025-03-10 18:00:00,1.4
19,2025-03-10 19:00:00,0.4
20,2025-03-10 20:00:00,-1.0
21,2025-03-10 21:00:00,-2.1
22,2025-03-10 22:00:00,-3.2
23,2025-03-10 23:00:00,-4.3
