,Timestamp,Temperature (°C)
0,2025-03-10 00:00:00,-20.4
1,2025-03-10 01:00:00,-20.9
2,2025-03-10 02:00:00,-21.3
3,2025-03-10 03:00:00,-21.8
4,2025-03-10 04:00:00,-22.2
5,2025-03-10 05:00:00,-22.7
6,2025-03-10 06:00:00,-23.0
7,2025-03-10 07:00:00,-23.4
8,2025-03-10 08:00:00,-23.7
9,2025-03-10 09:00:00,-23.8
10,2025-03-10 10:00:00,-23.1
11,2025-03-10 11:00:00,-21.8
12,2025-03-10 12:00:00,-20.1
13,2025-03-10 13:00:00,-18.3
14,2025-03-10 14:00:00,-16.6
15,2025-03-10 15:00:00,-15.1
16,2025-03-10 16:00:00,-14.1
17,2025-03-10 17:00:00,-13.4
18,2025-03-10 18:00:00,-13.1
19,2025-03-10 19:00:00,-13.2
20,2025-03-10 20:00:00,-13.6
21,2025-03-10 21:00:00,-14.1
22,2025-03-10 22:00:00,-14.5
23,2025-03-10 23:00:00,-14.8
