,Timestamp,Wind Speed (km/h)
0,2025-03-10 00:00:00,25.0
1,2025-03-10 01:00:00,18.1
2,2025-03-10 02:00:00,17.4
3,2025-03-10 03:00:00,21.4
4,2025-03-10 04:00:00,18.3
5,2025-03-10 05:00:00,18.6
6,2025-03-10 06:00:00,11.9
7,2025-03-10 07:00:00,6.6
8,2025-03-10 08:00:00,3.6
9,2025-03-10 09:00:00,1.6
10,2025-03-10 10:00:00,3.4
11,2025-03-10 11:00:00,1.1
12,2025-03-10 12:00:00,0.8
13,2025-03-10 13:00:00,4.7
14,2025-03-10 14:00:00,8.4
15,2025-03-10 15:00:00,12.6
16,2025-03-10 16:00:00,13.4
17,2025-03-10 17:00:00,9.5
18,2025-03-10 18:00:00,18.1
19,2025-03-10 19:00:00,15.3
20,2025-03-10 20:00:00,6.6
21,2025-03-10 21:00:00,3.4
22,2025-03-10 22:00:00,6.6
23,2025-03-10 23:00:00,3.9
