,Timestamp,Wind Speed (km/h)
0,2025-03-10 00:00:00,7.2
1,2025-03-10 01:00:00,6.3
2,2025-03-10 02:00:00,6.1
3,2025-03-10 03:00:00,5.8
4,2025-03-10 04:00:00,5.3
5,2025-03-10 05:00:00,4.8
6,2025-03-10 06:00:00,4.0
7,2025-03-10 07:00:00,3.2
8,2025-03-10 08:00:00,2.3
9,2025-03-10 09:00:00,1.8
10,2025-03-10 10:00:00,1.6
11,2025-03-10 11:00:00,2.1
12,2025-03-10 12:00:00,3.8
13,2025-03-10 13:00:00,4.9
14,2025-03-10 14:00:00,5.9
15,2025-03-10 15:00:00,7.2
16,2025-03-10 16:00:00,8.4
17,2025-03-10 17:00:00,9.0
18,2025-03-10 18:00:00,9.7
19,2025-03-10 19:00:00,9.4
20,2025-03-10 20:00:00,9.0
21,2025-03-10 21:00:00,8.4
22,2025-03-10 22:00:00,8.0
23,2025-03-10 23:00:00,8.1
