,begin_datetime_mpt,pool_price,forecast_pool_price,rolling_30day_avg
0,2024-01-01 00:00,23.05,20.57,51.98
1,2024-01-01 01:00,22.67,19.69,51.97
2,2024-01-01 02:00,24.07,21.46,51.96
3,2024-01-01 03:00,24.33,24.21,51.93
4,2024-01-01 04:00,24.70,24.48,51.93
5,2024-01-01 05:00,26.86,25.03,51.92
6,2024-01-01 06:00,30.42,31.84,51.90
7,2024-01-01 07:00,27.32,28.30,51.84
8,2024-01-01 08:00,37.66,30.18,51.78
9,2024-01-01 09:00,39.17,39.80,51.70
10,2024-01-01 10:00,36.83,37.04,51.22
11,2024-01-01 11:00,37.50,38.69,51.11
12,2024-01-01 12:00,37.92,36.65,51.01
13,2024-01-01 13:00,37.09,38.42,50.94
14,2024-01-01 14:00,27.43,25.87,50.88
15,2024-01-01 15:00,27.59,18.48,50.83
16,2024-01-01 16:00,37.64,32.76,50.81
17,2024-01-01 17:00,42.24,44.40,50.77
18,2024-01-01 18:00,42.25,42.90,50.75
19,2024-01-01 19:00,43.75,44.44,50.74
20,2024-01-01 20:00,44.49,44.48,50.65
21,2024-01-01 21:00,45.35,78.06,50.64
22,2024-01-01 22:00,51.25,76.64,50.65
23,2024-01-01 23:00,40.71,40.03,50.66
24,2024-01-02 00:00,40.66,41.28,50.67
25,2024-01-02 01:00,37.96,38.99,50.67
26,2024-01-02 02:00,34.87,31.61,50.66
27,2024-01-02 03:00,37.31,38.49,50.65
28,2024-01-02 04:00,40.78,39.88,50.63
29,2024-01-02 05:00,44.11,47.21,50.55
30,2024-01-02 06:00,62.65,42.15,50.47
31,2024-01-02 07:00,44.07,43.70,50.47
32,2024-01-02 08:00,53.44,43.78,50.49
33,2024-01-02 09:00,48.45,66.66,50.50
34,2024-01-02 10:00,44.22,44.05,50.49
35,2024-01-02 11:00,45.16,50.00,50.47
36,2024-01-02 12:00,43.40,44.82,50.47
37,2024-01-02 13:00,42.57,41.93,50.46
38,2024-01-02 14:00,68.56,43.34,50.48
39,2024-01-02 15:00,123.34,100.05,50.35
40,2024-01-02 16:00,376.28,295.31,50.66
41,2024-01-02 17:00,325.97,414.68,51.00
42,2024-01-02 18:00,115.20,63.59,51.09
43,2024-01-02 19:00,45.19,44.25,51.06
44,2024-01-02 20:00,45.75,44.29,50.86
45,2024-01-02 21:00,61.61,205.65,50.84
46,2024-01-02 22:00,100.00,263.07,50.90
47,2024-01-02 23:00,154.37,143.39,51.07
48,2024-01-03 00:00,83.48,60.83,51.14
49,2024-01-03 01:00,85.18,90.82,51.22
50,2024-01-03 02:00,68.23,70.50,51.29
51,2024-01-03 03:00,65.73,52.82,51.35
52,2024-01-03 04:00,91.87,85.56,51.43
53,2024-01-03 05:00,176.24,251.83,51.61
54,2024-01-03 06:00,100.11,170.25,51.63
55,2024-01-03 07:00,51.08,54.50,51.59
56,2024-01-03 08:00,83.08,79.66,51.57
57,2024-01-03 09:00,65.00,71.50,51.59
58,2024-01-03 10:00,76.00,191.50,51.64
59,2024-01-03 11:00,80.31,284.72,51.70
60,2024-01-03 12:00,47.09,40.30,51.70
61,2024-01-03 13:00,40.91,51.32,51.67
62,2024-01-03 14:00,32.51,32.37,51.58
63,2024-01-03 15:00,54.35,35.01,51.52
64,2024-01-03 16:00,54.92,343.53,51.47
65,2024-01-03 17:00,52.54,79.10,51.38
66,2024-01-03 18:00,38.04,38.26,51.24
67,2024-01-03 19:00,32.48,35.05,51.15
68,2024-01-03 20:00,33.09,32.49,51.08
69,2024-01-03 21:00,39.93,41.71,51.04
70,2024-01-03 22:00,39.98,39.68,51.04
71,2024-01-03 23:00,39.12,36.71,51.00
72,2024-01-04 00:00,39.61,37.34,50.99
73,2024-01-04 01:00,39.98,39.98,50.97
74,2024-01-04 02:00,28.76,38.71,50.93
75,2024-01-04 03:00,26.87,37.40,50.91
76,2024-01-04 04:00,31.93,43.53,50.89
77,2024-01-04 05:00,40.84,55.39,50.89
78,2024-01-04 06:00,60.75,112.77,50.91
79,2024-01-04 07:00,51.38,49.97,50.93
80,2024-01-04 08:00,53.81,48.85,50.93
81,2024-01-04 09:00,50.40,52.57,50.93
82,2024-01-04 10:00,46.13,49.54,50.93
83,2024-01-04 11:00,38.93,38.29,50.92
84,2024-01-04 12:00,39.23,43.65,50.90
85,2024-01-04 13:00,39.21,49.84,50.89
86,2024-01-04 14:00,35.95,38.24,50.87
87,2024-01-04 15:00,40.53,33.81,50.86
88,2024-01-04 16:00,53.89,65.04,50.86
89,2024-01-04 17:00,54.03,92.15,50.86
90,2024-01-04 18:00,40.63,51.72,50.84
91,2024-01-04 19:00,34.11,38.15,50.81
92,2024-01-04 20:00,30.79,29.31,50.78
93,2024-01-04 21:00,32.21,29.19,50.76
94,2024-01-04 22:00,34.88,32.10,50.76
95,2024-01-04 23:00,33.25,30.35,50.75
96,2024-01-05 00:00,30.53,29.73,50.74
97,2024-01-05 01:00,30.39,31.08,50.72
98,2024-01-05 02:00,28.74,28.72,50.71
99,2024-01-05 03:00,28.70,28.52,50.70
100,2024-01-05 04:00,31.31,28.96,50.70
101,2024-01-05 05:00,66.22,38.42,50.75
102,2024-01-05 06:00,212.73,116.12,51.00
103,2024-01-05 07:00,257.92,212.04,51.30
104,2024-01-05 08:00,75.25,57.55,51.15
105,2024-01-05 09:00,89.11,344.95,51.20
106,2024-01-05 10:00,51.32,42.40,51.19
107,2024-01-05 11:00,53.09,60.13,51.19
108,2024-01-05 12:00,51.22,59.13,51.19
109,2024-01-05 13:00,49.85,51.36,51.04
110,2024-01-05 14:00,47.16,42.01,50.74
111,2024-01-05 15:00,49.55,39.91,50.50
112,2024-01-05 16:00,101.54,160.81,50.33
113,2024-01-05 17:00,111.08,807.09,50.17
114,2024-01-05 18:00,39.74,42.65,50.16
115,2024-01-05 19:00,31.91,34.76,50.13
116,2024-01-05 20:00,35.87,39.70,50.01
117,2024-01-05 21:00,38.36,38.80,49.94
118,2024-01-05 22:00,34.18,34.78,49.87
119,2024-01-05 23:00,39.46,34.09,49.70
120,2024-01-06 00:00,38.95,32.05,49.51
121,2024-01-06 01:00,38.35,37.97,49.32
122,2024-01-06 02:00,37.98,37.34,49.27
123,2024-01-06 03:00,38.26,37.73,49.26
124,2024-01-06 04:00,38.51,38.01,49.26
125,2024-01-06 05:00,34.06,30.98,49.25
126,2024-01-06 06:00,46.44,35.71,49.14
127,2024-01-06 07:00,61.77,52.38,49.11
128,2024-01-06 08:00,77.71,58.39,48.85
129,2024-01-06 09:00,60.24,115.80,48.86
130,2024-01-06 10:00,48.59,41.72,48.77
131,2024-01-06 11:00,62.59,41.71,48.80
132,2024-01-06 12:00,94.44,93.04,48.88
133,2024-01-06 13:00,129.78,106.12,49.00
134,2024-01-06 14:00,171.03,163.02,49.18
135,2024-01-06 15:00,332.26,345.90,49.57
136,2024-01-06 16:00,198.92,224.34,49.65
137,2024-01-06 17:00,204.58,946.25,49.78
138,2024-01-06 18:00,60.87,63.43,49.74
139,2024-01-06 19:00,58.75,57.46,49.70
140,2024-01-06 20:00,80.64,77.68,49.38
141,2024-01-06 21:00,99.36,112.40,49.08
142,2024-01-06 22:00,58.83,59.16,48.92
143,2024-01-06 23:00,59.76,59.64,48.90
144,2024-01-07 00:00,60.18,59.78,48.88
145,2024-01-07 01:00,85.80,67.19,48.93
146,2024-01-07 02:00,93.72,95.44,48.93
147,2024-01-07 03:00,68.25,68.25,48.90
148,2024-01-07 04:00,71.38,80.00,48.84
149,2024-01-07 05:00,72.09,65.07,48.81
150,2024-01-07 06:00,111.17,96.91,48.70
151,2024-01-07 07:00,78.36,66.87,48.32
152,2024-01-07 08:00,92.31,91.52,48.00
153,2024-01-07 09:00,73.49,103.45,47.75
154,2024-01-07 10:00,60.75,59.51,47.69
155,2024-01-07 11:00,59.48,60.14,47.63
156,2024-01-07 12:00,59.33,58.41,47.45
157,2024-01-07 13:00,60.11,59.58,47.28
158,2024-01-07 14:00,60.08,60.27,47.24
159,2024-01-07 15:00,84.05,58.40,47.19
160,2024-01-07 16:00,380.17,237.31,47.46
161,2024-01-07 17:00,822.99,961.18,48.47
162,2024-01-07 18:00,583.30,754.75,49.21
163,2024-01-07 19:00,555.01,538.52,49.92
164,2024-01-07 20:00,298.19,455.35,50.26
165,2024-01-07 21:00,118.73,391.12,50.36
166,2024-01-07 22:00,93.01,166.34,50.42
167,2024-01-07 23:00,78.79,81.64,50.47
168,2024-01-08 00:00,104.49,110.05,50.55
169,2024-01-08 01:00,123.60,145.76,50.66
