,Timestamp_mst,Temperature (degree C)
5178,2024-01-01 00:00:00,-0.5
5179,2024-01-01 01:00:00,-2.5
5180,2024-01-01 02:00:00,-4.3
5181,2024-01-01 03:00:00,-3.5
5182,2024-01-01 04:00:00,-4.7
5183,2024-01-01 05:00:00,-5.5
5184,2024-01-01 06:00:00,-6.8
5185,2024-01-01 07:00:00,-6.4
5186,2024-01-01 08:00:00,-5.4
5187,2024-01-01 09:00:00,-6.0
5188,2024-01-01 10:00:00,-3.4
5189,2024-01-01 11:00:00,-1.5
5190,2024-01-01 12:00:00,-0.1
5191,2024-01-01 13:00:00,1.3
5192,2024-01-01 14:00:00,2.1
5193,2024-01-01 15:00:00,1.4
5194,2024-01-01 16:00:00,-0.2
5195,2024-01-01 17:00:00,-4.9
5196,2024-01-01 18:00:00,-6.8
5197,2024-01-01 19:00:00,-6.0
5198,2024-01-01 20:00:00,-6.6
5199,2024-01-01 21:00:00,-8.5
5200,2024-01-01 22:00:00,-9.2
5201,2024-01-01 23:00:00,-9.9
5154,2024-01-02 00:00:00,-10.8
5155,2024-01-02 01:00:00,-11.0
5156,2024-01-02 02:00:00,-11.9
5157,2024-01-02 03:00:00,-11.5
5158,2024-01-02 04:00:00,-11.7
5159,2024-01-02 05:00:00,-12.0
5160,2024-01-02 06:00:00,-12.7
5161,2024-01-02 07:00:00,-12.9
5162,2024-01-02 08:00:00,-14.5
5163,2024-01-02 09:00:00,-13.5
5164,2024-01-02 10:00:00,-11.5
5165,2024-01-02 11:00:00,-8.1
5166,2024-01-02 12:00:00,-5.2
5167,2024-01-02 13:00:00,-4.1
5168,2024-01-02 14:00:00,-2.3
5169,2024-01-02 15:00:00,-1.8
5170,2024-01-02 16:00:00,-4.0
5171,2024-01-02 17:00:00,-6.5
5172,2024-01-02 18:00:00,-7.8
5173,2024-01-02 19:00:00,-9.6
5174,2024-01-02 20:00:00,-8.8
5175,2024-01-02 21:00:00,-10.1
5176,2024-01-02 22:00:00,-10.1
5177,2024-01-02 23:00:00,-9.9
5106,2024-01-03 00:00:00,-9.7
5107,2024-01-03 01:00:00,-11.0
5108,2024-01-03 02:00:00,-11.4
5109,2024-01-03 03:00:00,-11.1
5110,2024-01-03 04:00:00,-10.5
5111,2024-01-03 05:00:00,-10.6
5112,2024-01-03 06:00:00,-10.6
5113,2024-01-03 07:00:00,-10.1
5114,2024-01-03 08:00:00,-9.7
5115,2024-01-03 09:00:00,-9.9
5116,2024-01-03 10:00:00,-9.8
5117,2024-01-03 11:00:00,-9.3
5118,2024-01-03 12:00:00,-9.1
5119,2024-01-03 13:00:00,-8.4
5120,2024-01-03 14:00:00,-7.8
5121,2024-01-03 15:00:00,-7.4
5122,2024-01-03 16:00:00,-7.2
5123,2024-01-03 17:00:00,-7.0
5124,2024-01-03 18:00:00,-6.7
5125,2024-01-03 19:00:00,-6.3
5126,2024-01-03 20:00:00,-6.0
5127,2024-01-03 21:00:00,-5.9
5128,2024-01-03 22:00:00,-6.0
5129,2024-01-03 23:00:00,-5.9
5082,2024-01-04 00:00:00,-5.7
5083,2024-01-04 01:00:00,-5.7
5084,2024-01-04 02:00:00,-6.5
5085,2024-01-04 03:00:00,-6.9
5086,2024-01-04 04:00:00,-11.0
5087,2024-01-04 05:00:00,-7.6
5088,2024-01-04 06:00:00,-9.2
5089,2024-01-04 07:00:00,-10.7
5090,2024-01-04 08:00:00,-11.6
5091,2024-01-04 09:00:00,-8.9
5092,2024-01-04 10:00:00,-7.9
5093,2024-01-04 11:00:00,-7.9
5094,2024-01-04 12:00:00,-7.3
5095,2024-01-04 13:00:00,-6.8
5096,2024-01-04 14:00:00,-6.4
5097,2024-01-04 15:00:00,-6.3
5098,2024-01-04 16:00:00,-6.8
5099,2024-01-04 17:00:00,-7.0
5100,2024-01-04 18:00:00,-6.9
5101,2024-01-04 19:00:00,-6.8
5102,2024-01-04 20:00:00,-6.7
5103,2024-01-04 21:00:00,-6.9
5104,2024-01-04 22:00:00,-6.6
5105,2024-01-04 23:00:00,-7.5
5130,2024-01-05 00:00:00,-8.1
5153,2024-01-05 01:00:00,-7.3
5131,2024-01-05 02:00:00,-7.1
5132,2024-01-05 03:00:00,-8.0
5133,2024-01-05 04:00:00,-9.6
5134,2024-01-05 05:00:00,-11.4
5135,2024-01-05 06:00:00,-11.1
5136,2024-01-05 07:00:00,-9.8
5137,2024-01-05 08:00:00,-11.7
5138,2024-01-05 09:00:00,-12.8
5152,2024-01-05 10:00:00,-11.6
5151,2024-01-05 11:00:00,-6.7
5150,2024-01-05 12:00:00,-4.3
5139,2024-01-05 13:00:00,-5.3
5140,2024-01-05 14:00:00,-3.5
5141,2024-01-05 15:00:00,-3.4
5142,2024-01-05 16:00:00,-6.7
5143,2024-01-05 17:00:00,-4.6
5144,2024-01-05 18:00:00,-5.6
5145,2024-01-05 19:00:00,-6.6
5146,2024-01-05 20:00:00,-5.0
5147,2024-01-05 21:00:00,-6.8
5148,2024-01-05 22:00:00,-6.9
5149,2024-01-05 23:00:00,-7.2
5202,2024-01-06 00:00:00,-7.9
5203,2024-01-06 01:00:00,-8.3
5204,2024-01-06 02:00:00,-7.8
5205,2024-01-06 03:00:00,-9.7
5206,2024-01-06 04:00:00,-11.1
5207,2024-01-06 05:00:00,-14.4
5208,2024-01-06 06:00:00,-14.6
5209,2024-01-06 07:00:00,-13.2
5210,2024-01-06 08:00:00,-9.4
5211,2024-01-06 09:00:00,-9.6
5212,2024-01-06 10:00:00,-9.5
5213,2024-01-06 11:00:00,-9.1
5214,2024-01-06 12:00:00,-8.6
5215,2024-01-06 13:00:00,-8.4
5216,2024-01-06 14:00:00,-8.1
5217,2024-01-06 15:00:00,-7.7
5218,2024-01-06 16:00:00,-7.6
5219,2024-01-06 17:00:00,-8.2
5220,2024-01-06 18:00:00,-8.1
5221,2024-01-06 19:00:00,-8.2
5222,2024-01-06 20:00:00,-8.5
5223,2024-01-06 21:00:00,-9.9
5224,2024-01-06 22:00:00,-11.5
5225,2024-01-06 23:00:00,-12.3
5226,2024-01-07 00:00:00,-13.0
5227,2024-01-07 01:00:00,-13.7
5228,2024-01-07 02:00:00,-14.0
5229,2024-01-07 03:00:00,-14.3
