,Timestamp_mst,Temperature (degree C)
95,2024-06-01 00:00:00,5.9
96,2024-06-01 01:00:00,5.4
97,2024-06-01 02:00:00,5.1
98,2024-06-01 03:00:00,5.4
99,2024-06-01 04:00:00,4.0
100,2024-06-01 05:00:00,3.1
101,2024-06-01 06:00:00,2.7
102,2024-06-01 07:00:00,2.2
103,2024-06-01 08:00:00,3.0
104,2024-06-01 09:00:00,4.1
105,2024-06-01 10:00:00,4.7
106,2024-06-01 11:00:00,5.2
107,2024-06-01 12:00:00,6.0
108,2024-06-01 13:00:00,6.6
109,2024-06-01 14:00:00,6.8
110,2024-06-01 15:00:00,7.7
111,2024-06-01 16:00:00,8.0
112,2024-06-01 17:00:00,7.8
113,2024-06-01 18:00:00,8.0
114,2024-06-01 19:00:00,7.3
115,2024-06-01 20:00:00,6.6
116,2024-06-01 21:00:00,6.2
117,2024-06-01 22:00:00,5.9
118,2024-06-01 23:00:00,5.7
119,2024-06-02 00:00:00,5.3
120,2024-06-02 01:00:00,4.6
121,2024-06-02 02:00:00,3.9
122,2024-06-02 03:00:00,3.4
123,2024-06-02 04:00:00,3.5
124,2024-06-02 05:00:00,3.6
125,2024-06-02 06:00:00,4.4
126,2024-06-02 07:00:00,5.4
127,2024-06-02 08:00:00,5.7
128,2024-06-02 09:00:00,6.4
129,2024-06-02 10:00:00,7.3
130,2024-06-02 11:00:00,8.1
131,2024-06-02 12:00:00,9.3
132,2024-06-02 13:00:00,9.6
133,2024-06-02 14:00:00,11.9
134,2024-06-02 15:00:00,12.3
135,2024-06-02 16:00:00,13.3
136,2024-06-02 17:00:00,13.3
137,2024-06-02 18:00:00,12.9
138,2024-06-02 19:00:00,12.2
139,2024-06-02 20:00:00,11.7
140,2024-06-02 21:00:00,9.7
141,2024-06-02 22:00:00,9.0
142,2024-06-02 23:00:00,8.5
24,2024-06-03 00:00:00,7.7
25,2024-06-03 01:00:00,7.9
26,2024-06-03 02:00:00,7.6
27,2024-06-03 03:00:00,7.4
28,2024-06-03 04:00:00,6.8
29,2024-06-03 05:00:00,7.0
30,2024-06-03 06:00:00,7.5
31,2024-06-03 07:00:00,7.2
32,2024-06-03 08:00:00,7.5
33,2024-06-03 09:00:00,8.8
34,2024-06-03 10:00:00,9.2
35,2024-06-03 11:00:00,11.3
36,2024-06-03 12:00:00,13.3
37,2024-06-03 13:00:00,15.4
38,2024-06-03 14:00:00,17.0
39,2024-06-03 15:00:00,18.0
40,2024-06-03 16:00:00,17.8
41,2024-06-03 17:00:00,18.6
42,2024-06-03 18:00:00,17.3
43,2024-06-03 19:00:00,17.2
44,2024-06-03 20:00:00,16.2
45,2024-06-03 22:00:00,13.1
46,2024-06-03 23:00:00,12.1
0,2024-06-04 00:00:00,10.6
1,2024-06-04 01:00:00,9.6
2,2024-06-04 02:00:00,8.6
3,2024-06-04 03:00:00,8.0
4,2024-06-04 04:00:00,7.6
5,2024-06-04 05:00:00,7.9
6,2024-06-04 06:00:00,8.8
7,2024-06-04 07:00:00,9.3
8,2024-06-04 08:00:00,10.4
9,2024-06-04 09:00:00,11.2
10,2024-06-04 10:00:00,11.3
11,2024-06-04 11:00:00,10.7
12,2024-06-04 12:00:00,10.8
13,2024-06-04 13:00:00,10.8
14,2024-06-04 14:00:00,11.0
15,2024-06-04 15:00:00,11.3
16,2024-06-04 16:00:00,11.5
17,2024-06-04 17:00:00,11.3
18,2024-06-04 18:00:00,10.9
19,2024-06-04 19:00:00,10.2
20,2024-06-04 20:00:00,9.7
21,2024-06-04 21:00:00,9.2
22,2024-06-04 22:00:00,9.0
23,2024-06-04 23:00:00,8.8
71,2024-06-05 00:00:00,8.7
72,2024-06-05 01:00:00,8.6
73,2024-06-05 02:00:00,8.4
74,2024-06-05 03:00:00,8.4
